ID,Name,Parameter,Language,Frequency,Confidence,References
36A-afr,Unique periphrastic associative plural,The Associative Plural,Afrikaans,,,den Besten 1996
41A-afr,Two-way contrast,Distance Contrasts in Demonstratives,Afrikaans,,,Raidt 1991
42A-afr,Identical,Pronominal and Adnominal Demonstratives,Afrikaans,,,Raidt 1991
47A-afr,Identical,Intensifiers and Reflexive Pronouns,Afrikaans,,,Donaldson 1993
52A-afr,Identity,Comitatives and Instrumentals,Afrikaans,,,Donaldson 1993
53A-afr,"First, two-th, three-th",Ordinal Numerals,Afrikaans,,,Donaldson 1993
54A-afr,No distributive numerals,Distributive Numerals,Afrikaans,,,
65A-afr,No grammatical marking,Perfective/Imperfective Aspect,Afrikaans,,,Dahl 1985
66A-afr,"Present, no remoteness distinctions",The Past Tense,Afrikaans,,,Dahl 1985
67A-afr,No inflectional future,The Future Tense,Afrikaans,,,Dahl 1985
68A-afr,"From 'finish', 'already'",The Perfect,Afrikaans,,,Dahl 1985
77A-afr,Indirect only,Semantic Distinctions of Evidentiality,Afrikaans,,,
78A-afr,Separate particle,Coding of Evidentiality,Afrikaans,,,
129A-afr,Different,Hand and Arm,Afrikaans,,,Potgieter and Potgieter 1932
130A-afr,Different,Finger and Hand,Afrikaans,,,Potgieter and Potgieter 1932
138A-afr,Words derived from Min Nan Chinese te,Tea,Afrikaans,,,Malherbe and Rosenberg 1996
