ID,Name,Parameter,Language,Frequency,Confidence,References
14A-scr,No fixed stress,Fixed Stress Locations,Serbian-Croatian,,,Gvozdanovic 1999;Hodge 1946
15A-scr,Unbounded: Stress can be anywhere,Weight-Sensitive Stress,Serbian-Croatian,,,Gvozdanovic 1999;Hodge 1946
16A-scr,Prominence,Weight Factors in Weight-Sensitive Stress Systems,Serbian-Croatian,,,Gvozdanovic 1999;Hodge 1946
17A-scr,No rhythmic stress,Rhythm Types,Serbian-Croatian,,,Gvozdanovic 1999;Hodge 1946
26A-scr,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Serbian-Croatian,,,Partridge 1964;Browne 1974;Javarek and Sudjic 1972
33A-scr,Plural suffix,Coding of Nominal Plurality,Serbian-Croatian,,,Partridge 1964
34A-scr,"All nouns, always obligatory",Occurrence of Nominal Plurality,Serbian-Croatian,,,Hamm 1981
37A-scr,No definite or indefinite article,Definite Articles,Serbian-Croatian,,,Partridge 1964
38A-scr,No definite or indefinite article,Indefinite Articles,Serbian-Croatian,,,Partridge 1964
43A-scr,Unrelated,Third Person Pronouns and Demonstratives,Serbian-Croatian,,,Kordic 1997
46A-scr,Interrogative-based,Indefinite Pronouns,Serbian-Croatian,,,Haspelmath 1997
49A-scr,5 cases,Number of Cases,Serbian-Croatian,,,Hamm 1981;Browne 1993
50A-scr,Syncretism in relevant NP-types,Asymmetrical Case-Marking,Serbian-Croatian,,,Hamm 1981;Browne 1993
51A-scr,Case suffixes,Position of Case Affixes,Serbian-Croatian,,,Partridge 1964
53A-scr,"First, second, three-th",Ordinal Numerals,Serbian-Croatian,,,Schmaus 1983;Subotic and Forbes 1918
57A-scr,No possessive affixes,Position of Pronominal Possessive Affixes,Serbian-Croatian,,,Partridge 1964
63A-scr,'And' different from 'with',Noun Phrase Conjunction,Serbian-Croatian,,,
69A-scr,No tense-aspect inflection,Position of Tense-Aspect Affixes,Serbian-Croatian,,,Partridge 1964
70A-scr,Second singular and second plural,The Morphological Imperative,Serbian-Croatian,,,Kordic 1997
71A-scr,Normal imperative + normal negative,The Prohibitive,Serbian-Croatian,,,Kordic 1997
72A-scr,Neither type of system,Imperative-Hortative Systems,Serbian-Croatian,,,Browne 1993
74A-scr,Verbal constructions,Situational Possibility,Serbian-Croatian,,,Kalogjera 1982
75A-scr,Verbal constructions,Epistemic Possibility,Serbian-Croatian,,,Kalogjera 1982
76A-scr,Overlap for both possibility and necessity,Overlap between Situational and Epistemic Modal Marking,Serbian-Croatian,,,Kalogjera 1982
79A-scr,Tense and aspect,Suppletion According to Tense and Aspect,Serbian-Croatian,,,Subotic and Forbes 1918
79B-scr,A regular and a suppletive form alternate,Suppletion in Imperatives and Hortatives,Serbian-Croatian,,,
80A-scr,None,Verbal Number and Suppletion,Serbian-Croatian,,,Subotic and Forbes 1918
81A-scr,SVO,"Order of Subject, Object and Verb",Serbian-Croatian,,,Browne 1974
82A-scr,SV,Order of Subject and Verb,Serbian-Croatian,,,Browne 1974
83A-scr,VO,Order of Object and Verb,Serbian-Croatian,,,Browne 1974
85A-scr,Prepositions,Order of Adposition and Noun Phrase,Serbian-Croatian,,,Partridge 1964
86A-scr,No dominant order,Order of Genitive and Noun,Serbian-Croatian,,,Partridge 1964;Browne 1974;Javarek and Sudjic 1972
87A-scr,Adjective-Noun,Order of Adjective and Noun,Serbian-Croatian,,,Partridge 1964;Browne 1974
88A-scr,Demonstrative-Noun,Order of Demonstrative and Noun,Serbian-Croatian,,,Partridge 1964;Javarek and Sudjic 1972
89A-scr,Numeral-Noun,Order of Numeral and Noun,Serbian-Croatian,,,Partridge 1964
91A-scr,Degree word-Adjective,Order of Degree Word and Adjective,Serbian-Croatian,,,Partridge 1964
92A-scr,In either of two positions,Position of Polar Question Particles,Serbian-Croatian,,,Partridge 1964
