ID,Name,Parameter,Language,Frequency,Confidence,References
14A-dut,No fixed stress,Fixed Stress Locations,Dutch,,,Kager 1989;Trommelen and Zonneveld 1999a;van der Hulst 1984
15A-dut,Right-oriented: One of the last three,Weight-Sensitive Stress,Dutch,,,Kager 1989;Trommelen and Zonneveld 1999a;van der Hulst 1984
16A-dut,Coda consonant,Weight Factors in Weight-Sensitive Stress Systems,Dutch,,,Kager 1989;Trommelen and Zonneveld 1999a;van der Hulst 1984
17A-dut,Trochaic,Rhythm Types,Dutch,,,Kager 1989;Trommelen and Zonneveld 1999a;van der Hulst 1984
26A-dut,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Dutch,,,Koolhoven 1968;Donaldson 1997b;Shetter 1958
33A-dut,Plural suffix,Coding of Nominal Plurality,Dutch,,,Shetter 1958
34A-dut,"All nouns, always obligatory",Occurrence of Nominal Plurality,Dutch,,,
36A-dut,No associative plural,The Associative Plural,Dutch,,,
37A-dut,Definite word distinct from demonstrative,Definite Articles,Dutch,,,Shetter 1958
38A-dut,Indefinite word distinct from 'one',Indefinite Articles,Dutch,,,Shetter 1958
44A-dut,3rd person singular only,Gender Distinctions in Independent Personal Pronouns,Dutch,,,Donaldson 1997b
45A-dut,Binary politeness distinction,Politeness Distinctions in Pronouns,Dutch,,,Donaldson 1987
46A-dut,Special,Indefinite Pronouns,Dutch,,,
47A-dut,Identical,Intensifiers and Reflexive Pronouns,Dutch,,,Donaldson 1997b
48A-dut,No person marking,Person Marking on Adpositions,Dutch,,,Donaldson 1997b
49A-dut,No morphological case-marking,Number of Cases,Dutch,,,Donaldson 1997b
50A-dut,Additive-quantitatively asymmetrical,Asymmetrical Case-Marking,Dutch,,,Donaldson 1997b
51A-dut,No case affixes or adpositional clitics,Position of Case Affixes,Dutch,,,Shetter 1958
53A-dut,"First, two-th, three-th",Ordinal Numerals,Dutch,,,
54A-dut,No distributive numerals,Distributive Numerals,Dutch,,,
56A-dut,"Formally similar, without interrogative",Conjunctions and Universal Quantifiers,Dutch,,,Haspelmath 1997
57A-dut,No possessive affixes,Position of Pronominal Possessive Affixes,Dutch,,,Shetter 1958
62A-dut,Ergative-Possessive,Action Nominal Constructions,Dutch,,,Dik 1985
63A-dut,'And' different from 'with',Noun Phrase Conjunction,Dutch,,,
69A-dut,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Dutch,,,Shetter 1958
70A-dut,Second person number-neutral,The Morphological Imperative,Dutch,,,
71A-dut,Normal imperative + normal negative,The Prohibitive,Dutch,,,
72A-dut,Neither type of system,Imperative-Hortative Systems,Dutch,,,
74A-dut,Verbal constructions,Situational Possibility,Dutch,,,Haeseryn et al. 1997
75A-dut,Verbal constructions,Epistemic Possibility,Dutch,,,Haeseryn et al. 1997
76A-dut,Overlap for both possibility and necessity,Overlap between Situational and Epistemic Modal Marking,Dutch,,,Haeseryn et al. 1997
