ID,Name,Parameter,Language,Frequency,Confidence,References
1A-eng,Average,Consonant Inventories,English,,,Gimson 1970
2A-eng,Large (7-14),Vowel Quality Inventories,English,,,Gimson 1970
3A-eng,Low,Consonant-Vowel Ratio,English,,,Gimson 1970
4A-eng,In both plosives and fricatives,Voicing in Plosives and Fricatives,English,,,Gimson 1970
5A-eng,None missing in /p t k b d g/,Voicing and Gaps in Plosive Systems,English,,,Gimson 1970
6A-eng,None,Uvular Consonants,English,,,Gimson 1970
7A-eng,No glottalized consonants,Glottalized Consonants,English,,,Gimson 1970
8A-eng,"/l/, no obstruent laterals",Lateral Consonants,English,,,Gimson 1970
9A-eng,No initial velar nasal,The Velar Nasal,English,,,
10A-eng,Contrast absent,Vowel Nasalization,English,,,Moulton 1962
11A-eng,None,Front Rounded Vowels,English,,,Gimson 1970
12A-eng,Complex,Syllable Structure,English,,,Gimson 1970
13A-eng,No tones,Tone,English,,,Gimson 1970
14A-eng,No fixed stress,Fixed Stress Locations,English,,,Trommelen and Zonneveld 1999b
15A-eng,Right-oriented: One of the last three,Weight-Sensitive Stress,English,,,Trommelen and Zonneveld 1999b
16A-eng,Long vowel or coda consonant,Weight Factors in Weight-Sensitive Stress Systems,English,,,Trommelen and Zonneveld 1999b
17A-eng,Trochaic,Rhythm Types,English,,,Trommelen and Zonneveld 1999b
18A-eng,All present,Absence of Common Consonants,English,,,Gimson 1970
19A-eng,'Th' sounds,Presence of Uncommon Consonants,English,,,Gimson 1970
20A-eng,Exclusively concatenative,Fusion of Selected Inflectional Formatives,English,,,
21A-eng,No case,Exponence of Selected Inflectional Formatives,English,,,
21B-eng,monoexponential TAM,Exponence of Tense-Aspect-Mood Inflection,English,,,
22A-eng,2-3 categories per word,Inflectional Synthesis of the Verb,English,,,
23A-eng,Dependent marking,Locus of Marking in the Clause,English,,,
24A-eng,Dependent marking,Locus of Marking in Possessive Noun Phrases,English,,,
25A-eng,Dependent-marking,Locus of Marking: Whole-language Typology,English,,,
25B-eng,Non-zero marking,Zero Marking of A and P Arguments,English,,,
26A-eng,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,English,,,
27A-eng,No productive reduplication,Reduplication,English,,,Erickson 2001
28A-eng,Core cases only,Case Syncretism,English,,,
29A-eng,Syncretic,Syncretism in Verbal Person/Number Marking,English,,,
