ID,Name,Parameter,Language,Frequency,Confidence,References
14A-est,Initial,Fixed Stress Locations,Estonian,,,Eek 1975;Hint 1973
15A-est,Fixed stress (no weight-sensitivity),Weight-Sensitive Stress,Estonian,,,Eek 1975;Hint 1973
16A-est,Long vowel,Weight Factors in Weight-Sensitive Stress Systems,Estonian,,,Eek 1975;Hint 1973
17A-est,Trochaic,Rhythm Types,Estonian,,,Eek 1975;Hint 1973
26A-est,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Estonian,,,Tauli 1973;de Sivers 1969;Tauli 1983
33A-est,Plural suffix,Coding of Nominal Plurality,Estonian,,,de Sivers 1969
36A-est,No associative plural,The Associative Plural,Estonian,,,
37A-est,No definite or indefinite article,Definite Articles,Estonian,,,de Sivers 1969
38A-est,No definite or indefinite article,Indefinite Articles,Estonian,,,de Sivers 1969
46A-est,Interrogative-based,Indefinite Pronouns,Estonian,,,Kask 1966
49A-est,10 or more cases,Number of Cases,Estonian,,,Viitso 1998
50A-est,Symmetrical,Asymmetrical Case-Marking,Estonian,,,Viitso 1998
51A-est,Case suffixes,Position of Case Affixes,Estonian,,,de Sivers 1969;Tauli 1973
52A-est,Identity,Comitatives and Instrumentals,Estonian,,,Laanest 1982
53A-est,"First, second, three-th",Ordinal Numerals,Estonian,,,Laanest 1982
62A-est,Mixed,Action Nominal Constructions,Estonian,,,
63A-est,'And' different from 'with',Noun Phrase Conjunction,Estonian,,,Oinas 1966
69A-est,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Estonian,,,de Sivers 1969;Tauli 1973
70A-est,Second singular and second plural,The Morphological Imperative,Estonian,,,Oinas 1966
71A-est,Special imperative + normal negative,The Prohibitive,Estonian,,,Oinas 1966
72A-est,Maximal system,Imperative-Hortative Systems,Estonian,,,Oinas 1966
73A-est,Inflectional optative absent,The Optative,Estonian,,,Oinas 1966
77A-est,Indirect only,Semantic Distinctions of Evidentiality,Estonian,,,Valmet et al. 1981
78A-est,Verbal affix or clitic,Coding of Evidentiality,Estonian,,,Valmet et al. 1981
81A-est,SVO,"Order of Subject, Object and Verb",Estonian,,,de Sivers 1969;Tauli 1983
82A-est,SV,Order of Subject and Verb,Estonian,,,Tauli 1983;de Sivers 1969
83A-est,VO,Order of Object and Verb,Estonian,,,Tauli 1983
84A-est,VOX,"Order of Object, Oblique, and Verb",Estonian,,,Tauli 1983
85A-est,Postpositions,Order of Adposition and Noun Phrase,Estonian,,,Tauli 1983;Tauli 1973;de Sivers 1969
86A-est,Genitive-Noun,Order of Genitive and Noun,Estonian,,,Tauli 1983;de Sivers 1969
