ID,Name,Parameter,Language,Frequency,Confidence,References
1A-fre,Average,Consonant Inventories,French,,,Sten 1963;Fougeron and Smith 1999
2A-fre,Large (7-14),Vowel Quality Inventories,French,,,Fougeron and Smith 1999;Sten 1963
3A-fre,Low,Consonant-Vowel Ratio,French,,,Sten 1963;Fougeron and Smith 1999
4A-fre,In both plosives and fricatives,Voicing in Plosives and Fricatives,French,,,Fougeron and Smith 1999;Sten 1963
5A-fre,None missing in /p t k b d g/,Voicing and Gaps in Plosive Systems,French,,,Fougeron and Smith 1999;Sten 1963
6A-fre,Uvular continuants only,Uvular Consonants,French,,,Fougeron and Smith 1999;Sten 1963
7A-fre,No glottalized consonants,Glottalized Consonants,French,,,Fougeron and Smith 1999;Sten 1963
8A-fre,"/l/, no obstruent laterals",Lateral Consonants,French,,,Sten 1963;Fougeron and Smith 1999
9A-fre,No velar nasal,The Velar Nasal,French,,,Byrne et al. 1986
10A-fre,Contrast present,Vowel Nasalization,French,,,Harris 1988
11A-fre,High and mid,Front Rounded Vowels,French,,,Sten 1963;Fougeron and Smith 1999
12A-fre,Complex,Syllable Structure,French,,,Sten 1963;Fougeron and Smith 1999
13A-fre,No tones,Tone,French,,,Sten 1963;Fougeron and Smith 1999
14A-fre,No fixed stress,Fixed Stress Locations,French,,,Dell 1984;Roca 1999;van Oostendorp 1995
15A-fre,Right-edge: Ultimate or penultimate,Weight-Sensitive Stress,French,,,Dell 1984;van Oostendorp 1995;Roca 1999
16A-fre,Prominence,Weight Factors in Weight-Sensitive Stress Systems,French,,,Dell 1984;Roca 1999;van Oostendorp 1995
17A-fre,Undetermined,Rhythm Types,French,,,van Oostendorp 1995;Dell 1984;Roca 1999
18A-fre,All present,Absence of Common Consonants,French,,,Fougeron and Smith 1999;Sten 1963
19A-fre,None,Presence of Uncommon Consonants,French,,,Fougeron and Smith 1999;Sten 1963
20A-fre,Exclusively concatenative,Fusion of Selected Inflectional Formatives,French,,,Judge and Healey 1985;Harris 1988
21A-fre,No case,Exponence of Selected Inflectional Formatives,French,,,Judge and Healey 1985;Harris 1988
21B-fre,TAM+agreement,Exponence of Tense-Aspect-Mood Inflection,French,,,Harris 1988;Judge and Healey 1985
22A-fre,4-5 categories per word,Inflectional Synthesis of the Verb,French,,,Judge and Healey 1985;Harris 1988
23A-fre,No marking,Locus of Marking in the Clause,French,,,
24A-fre,Dependent marking,Locus of Marking in Possessive Noun Phrases,French,,,
25A-fre,Inconsistent or other,Locus of Marking: Whole-language Typology,French,,,
25B-fre,Non-zero marking,Zero Marking of A and P Arguments,French,,,
26A-fre,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,French,,,Harris 1988
27A-fre,No productive reduplication,Reduplication,French,,,Fox 2001
28A-fre,Core and non-core,Case Syncretism,French,,,
29A-fre,Syncretic,Syncretism in Verbal Person/Number Marking,French,,,
30A-fre,Two,Number of Genders,French,,,
31A-fre,Sex-based,Sex-based and Non-sex-based Gender Systems,French,,,
32A-fre,Semantic and formal,Systems of Gender Assignment,French,,,
33A-fre,Plural suffix,Coding of Nominal Plurality,French,,,Harris 1988
34A-fre,"All nouns, always obligatory",Occurrence of Nominal Plurality,French,,,
35A-fre,Person-number stem + nominal plural affix,Plurality in Independent Personal Pronouns,French,,,
36A-fre,No associative plural,The Associative Plural,French,,,
37A-fre,Definite word distinct from demonstrative,Definite Articles,French,,,
38A-fre,Indefinite word same as 'one',Indefinite Articles,French,,,
39A-fre,No inclusive/exclusive,Inclusive/Exclusive Distinction in Independent Pronouns,French,,,
40A-fre,No inclusive/exclusive,Inclusive/Exclusive Distinction in Verbal Inflection,French,,,
41A-fre,No distance contrast,Distance Contrasts in Demonstratives,French,,,
42A-fre,Different stem,Pronominal and Adnominal Demonstratives,French,,,
43A-fre,Related by gender markers,Third Person Pronouns and Demonstratives,French,,,Harris 1997
44A-fre,3rd person singular only,Gender Distinctions in Independent Personal Pronouns,French,,,Harris 1988
45A-fre,Binary politeness distinction,Politeness Distinctions in Pronouns,French,,,Judge and Healey 1985
46A-fre,Generic-noun-based,Indefinite Pronouns,French,,,
47A-fre,Differentiated,Intensifiers and Reflexive Pronouns,French,,,Weinrich 1982
48A-fre,No person marking,Person Marking on Adpositions,French,,,Harris 1988
49A-fre,No morphological case-marking,Number of Cases,French,,,Judge and Healey 1985
50A-fre,No case-marking,Asymmetrical Case-Marking,French,,,Judge and Healey 1985
51A-fre,Prepositional clitics,Position of Case Affixes,French,,,
52A-fre,Identity,Comitatives and Instrumentals,French,,,Lausberg 1972
53A-fre,"First, second, three-th",Ordinal Numerals,French,,,Lausberg 1972
54A-fre,No distributive numerals,Distributive Numerals,French,,,
55A-fre,Absent,Numeral Classifiers,French,,,
56A-fre,Formally different,Conjunctions and Universal Quantifiers,French,,,
57A-fre,No possessive affixes,Position of Pronominal Possessive Affixes,French,,,
58A-fre,Absent,Obligatory Possessive Inflection,French,,,
58B-fre,None reported,Number of Possessive Nouns,French,,,
59A-fre,No possessive classification,Possessive Classification,French,,,
60A-fre,Highly differentiated,"Genitives, Adjectives and Relative Clauses",French,,,
61A-fre,Without marking,Adjectives without Nouns,French,,,
62A-fre,Ergative-Possessive,Action Nominal Constructions,French,,,
63A-fre,'And' different from 'with',Noun Phrase Conjunction,French,,,
64A-fre,Identity,Nominal and Verbal Conjunction,French,,,
65A-fre,Grammatical marking,Perfective/Imperfective Aspect,French,,,Dahl 1985
66A-fre,"Present, no remoteness distinctions",The Past Tense,French,,,Dahl 1985
67A-fre,Inflectional future exists,The Future Tense,French,,,Dahl 1985
68A-fre,From possessive,The Perfect,French,,,Dahl 1985
69A-fre,Tense-aspect suffixes,Position of Tense-Aspect Affixes,French,,,
70A-fre,Second singular,The Morphological Imperative,French,,,
71A-fre,Normal imperative + normal negative,The Prohibitive,French,,,
72A-fre,Neither type of system,Imperative-Hortative Systems,French,,,
73A-fre,Inflectional optative absent,The Optative,French,,,
74A-fre,Verbal constructions,Situational Possibility,French,,,L'Huillier 1999
75A-fre,Verbal constructions,Epistemic Possibility,French,,,L'Huillier 1999
76A-fre,Overlap for both possibility and necessity,Overlap between Situational and Epistemic Modal Marking,French,,,L'Huillier 1999
77A-fre,Indirect only,Semantic Distinctions of Evidentiality,French,,,
