ID,Name,Parameter,Language,Frequency,Confidence,References
9A-heb,No velar nasal,The Velar Nasal,Hebrew (Modern),,,Bolozky 1997
10A-heb,Contrast absent,Vowel Nasalization,Hebrew (Modern),,,Chayen 1973;Glinert 1989
14A-heb,Ultimate,Fixed Stress Locations,Hebrew (Modern),,,Glinert 1989;Bolozky 1982
15A-heb,Fixed stress (no weight-sensitivity),Weight-Sensitive Stress,Hebrew (Modern),,,Glinert 1989;Bolozky 1982
16A-heb,No weight,Weight Factors in Weight-Sensitive Stress Systems,Hebrew (Modern),,,Bolozky 1982;Glinert 1989
17A-heb,Trochaic,Rhythm Types,Hebrew (Modern),,,Glinert 1989;Bolozky 1982
20A-heb,Ablaut/concatenative,Fusion of Selected Inflectional Formatives,Hebrew (Modern),,,Aikhenvald 1990
21A-heb,No case,Exponence of Selected Inflectional Formatives,Hebrew (Modern),,,Aikhenvald 1990
21B-heb,TAM+agreement+diathesis,Exponence of Tense-Aspect-Mood Inflection,Hebrew (Modern),,,Aikhenvald 1990
22A-heb,4-5 categories per word,Inflectional Synthesis of the Verb,Hebrew (Modern),,,Aikhenvald 1990
23A-heb,Dependent marking,Locus of Marking in the Clause,Hebrew (Modern),,,Aikhenvald 1990
24A-heb,Dependent marking,Locus of Marking in Possessive Noun Phrases,Hebrew (Modern),,,Aikhenvald 1990
25A-heb,Inconsistent or other,Locus of Marking: Whole-language Typology,Hebrew (Modern),,,Aikhenvald 1990
25B-heb,Non-zero marking,Zero Marking of A and P Arguments,Hebrew (Modern),,,Aikhenvald 1990
26A-heb,Weakly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Hebrew (Modern),,,Glinert 1989
27A-heb,Productive full and partial reduplication,Reduplication,Hebrew (Modern),,,Devens 2001b
28A-heb,No case marking,Case Syncretism,Hebrew (Modern),,,Berman 1997
29A-heb,Syncretic,Syncretism in Verbal Person/Number Marking,Hebrew (Modern),,,Berman 1997
30A-heb,Two,Number of Genders,Hebrew (Modern),,,Glinert 1994
31A-heb,Sex-based,Sex-based and Non-sex-based Gender Systems,Hebrew (Modern),,,Glinert 1994
32A-heb,Semantic and formal,Systems of Gender Assignment,Hebrew (Modern),,,Glinert 1994
33A-heb,Plural suffix,Coding of Nominal Plurality,Hebrew (Modern),,,Glinert 1989
34A-heb,"All nouns, always obligatory",Occurrence of Nominal Plurality,Hebrew (Modern),,,
35A-heb,Person-number stem,Plurality in Independent Personal Pronouns,Hebrew (Modern),,,Aikhenvald 1990
36A-heb,No associative plural,The Associative Plural,Hebrew (Modern),,,
37A-heb,Definite affix,Definite Articles,Hebrew (Modern),,,Glinert 1989
38A-heb,Indefinite word same as 'one',Indefinite Articles,Hebrew (Modern),,,Glinert 1989
39A-heb,No inclusive/exclusive,Inclusive/Exclusive Distinction in Independent Pronouns,Hebrew (Modern),,,Glinert 1991
40A-heb,No inclusive/exclusive,Inclusive/Exclusive Distinction in Verbal Inflection,Hebrew (Modern),,,Glinert 1991
41A-heb,Two-way contrast,Distance Contrasts in Demonstratives,Hebrew (Modern),,,Glinert 1989
42A-heb,Identical,Pronominal and Adnominal Demonstratives,Hebrew (Modern),,,Glinert 1989
43A-heb,Related for all demonstratives,Third Person Pronouns and Demonstratives,Hebrew (Modern),,,Glinert 1989
44A-heb,In 3rd person + 1st and/or 2nd person,Gender Distinctions in Independent Personal Pronouns,Hebrew (Modern),,,Glinert 1989
45A-heb,No politeness distinction,Politeness Distinctions in Pronouns,Hebrew (Modern),,,Glinert 1989
46A-heb,Interrogative-based,Indefinite Pronouns,Hebrew (Modern),,,
47A-heb,Identical,Intensifiers and Reflexive Pronouns,Hebrew (Modern),,,Glinert 1989
48A-heb,Pronouns only,Person Marking on Adpositions,Hebrew (Modern),,,Glinert 1989
49A-heb,No morphological case-marking,Number of Cases,Hebrew (Modern),,,Glinert 1989
50A-heb,No case-marking,Asymmetrical Case-Marking,Hebrew (Modern),,,Glinert 1989
51A-heb,Prepositional clitics,Position of Case Affixes,Hebrew (Modern),,,Glinert 1989
52A-heb,Identity,Comitatives and Instrumentals,Hebrew (Modern),,,Simon 1979
53A-heb,"First, two-th, three-th",Ordinal Numerals,Hebrew (Modern),,,Simon 1979
54A-heb,No distributive numerals,Distributive Numerals,Hebrew (Modern),,,
55A-heb,Absent,Numeral Classifiers,Hebrew (Modern),,,
56A-heb,"Formally similar, without interrogative",Conjunctions and Universal Quantifiers,Hebrew (Modern),,,
57A-heb,Possessive suffixes,Position of Pronominal Possessive Affixes,Hebrew (Modern),,,Glinert 1989
58A-heb,Absent,Obligatory Possessive Inflection,Hebrew (Modern),,,Aikhenvald 1990
58B-heb,None reported,Number of Possessive Nouns,Hebrew (Modern),,,Aikhenvald 1990
59A-heb,No possessive classification,Possessive Classification,Hebrew (Modern),,,Aikhenvald 1990
60A-heb,Highly differentiated,"Genitives, Adjectives and Relative Clauses",Hebrew (Modern),,,
61A-heb,Without marking,Adjectives without Nouns,Hebrew (Modern),,,
62A-heb,Mixed,Action Nominal Constructions,Hebrew (Modern),,,Berman 1976
63A-heb,'And' different from 'with',Noun Phrase Conjunction,Hebrew (Modern),,,
64A-heb,Identity,Nominal and Verbal Conjunction,Hebrew (Modern),,,
65A-heb,No grammatical marking,Perfective/Imperfective Aspect,Hebrew (Modern),,,Dahl 1985
66A-heb,"Present, no remoteness distinctions",The Past Tense,Hebrew (Modern),,,Dahl 1985
67A-heb,Inflectional future exists,The Future Tense,Hebrew (Modern),,,Dahl 1985
68A-heb,No perfect,The Perfect,Hebrew (Modern),,,Dahl 1985
69A-heb,Mixed type,Position of Tense-Aspect Affixes,Hebrew (Modern),,,Glinert 1989
70A-heb,Second singular and second plural,The Morphological Imperative,Hebrew (Modern),,,Rosén 1979;Schwarzwald 2001;Malygina 2001
71A-heb,Special imperative + special negative,The Prohibitive,Hebrew (Modern),,,Berman 1997;Glinert 1989;Malygina 2001
72A-heb,Maximal system,Imperative-Hortative Systems,Hebrew (Modern),,,Malygina 2001
