ID,Name,Parameter,Language,Frequency,Confidence,References
1A-hin,Large,Consonant Inventories,Hindi,,,Ohala 1983;Kelkar 1968;Ohala 1999
2A-hin,Average (5-6),Vowel Quality Inventories,Hindi,,,Ohala 1999;Ohala 1983;Kelkar 1968
3A-hin,Moderately high,Consonant-Vowel Ratio,Hindi,,,Ohala 1983;Ohala 1999;Kelkar 1968
4A-hin,In both plosives and fricatives,Voicing in Plosives and Fricatives,Hindi,,,Kelkar 1968;Ohala 1983;Ohala 1999
5A-hin,None missing in /p t k b d g/,Voicing and Gaps in Plosive Systems,Hindi,,,Kelkar 1968;Ohala 1999;Ohala 1983
6A-hin,None,Uvular Consonants,Hindi,,,Ohala 1983;Ohala 1999;Kelkar 1968
7A-hin,No glottalized consonants,Glottalized Consonants,Hindi,,,Ohala 1983;Kelkar 1968;Ohala 1999
8A-hin,"/l/, no obstruent laterals",Lateral Consonants,Hindi,,,Ohala 1999;Ohala 1983;Kelkar 1968
9A-hin,No velar nasal,The Velar Nasal,Hindi,,,Ohala 1983
10A-hin,Contrast present,Vowel Nasalization,Hindi,,,Ohala 1999
11A-hin,None,Front Rounded Vowels,Hindi,,,Kelkar 1968;Ohala 1999;Ohala 1983
12A-hin,Complex,Syllable Structure,Hindi,,,Ohala 1999;Ohala 1983;Kelkar 1968
13A-hin,No tones,Tone,Hindi,,,Ohala 1983;Kelkar 1968;Ohala 1999
14A-hin,No fixed stress,Fixed Stress Locations,Hindi,,,McGregor 1977;Fairbanks 1981
15A-hin,Right-oriented: One of the last three,Weight-Sensitive Stress,Hindi,,,McGregor 1977;Fairbanks 1981
16A-hin,Long vowel or coda consonant,Weight Factors in Weight-Sensitive Stress Systems,Hindi,,,Fairbanks 1981;McGregor 1977
18A-hin,All present,Absence of Common Consonants,Hindi,,,Ohala 1983;Kelkar 1968;Ohala 1999
19A-hin,None,Presence of Uncommon Consonants,Hindi,,,Ohala 1983;Kelkar 1968;Ohala 1999
20A-hin,Exclusively concatenative,Fusion of Selected Inflectional Formatives,Hindi,,,Snell and Weightman 1989;McGregor 1977;Butt 1994;Sandahl 2000
