ID,Name,Parameter,Language,Frequency,Confidence,References
1A-hun,Moderately large,Consonant Inventories,Hungarian,,,Banhidi et al. 1965;Szende 1999;Hall 1944
2A-hun,Large (7-14),Vowel Quality Inventories,Hungarian,,,Szende 1999;Banhidi et al. 1965;Hall 1944
3A-hun,Average,Consonant-Vowel Ratio,Hungarian,,,Hall 1944;Banhidi et al. 1965;Szende 1999
4A-hun,In both plosives and fricatives,Voicing in Plosives and Fricatives,Hungarian,,,Hall 1944;Banhidi et al. 1965;Szende 1999
5A-hun,None missing in /p t k b d g/,Voicing and Gaps in Plosive Systems,Hungarian,,,Szende 1999;Banhidi et al. 1965;Hall 1944
6A-hun,None,Uvular Consonants,Hungarian,,,Hall 1944;Szende 1999;Banhidi et al. 1965
7A-hun,No glottalized consonants,Glottalized Consonants,Hungarian,,,Szende 1999;Hall 1944;Banhidi et al. 1965
8A-hun,"/l/, no obstruent laterals",Lateral Consonants,Hungarian,,,Banhidi et al. 1965;Szende 1999;Hall 1944
9A-hun,No velar nasal,The Velar Nasal,Hungarian,,,Kenesei et al. 1998
10A-hun,Contrast absent,Vowel Nasalization,Hungarian,,,Kenesei et al. 1998
11A-hun,High and mid,Front Rounded Vowels,Hungarian,,,Banhidi et al. 1965;Hall 1944;Szende 1999
12A-hun,Complex,Syllable Structure,Hungarian,,,Szende 1999;Banhidi et al. 1965;Hall 1944
13A-hun,No tones,Tone,Hungarian,,,Banhidi et al. 1965;Hall 1944;Szende 1999
14A-hun,Initial,Fixed Stress Locations,Hungarian,,,Kerek 1971;Szinnyei 1912
15A-hun,Fixed stress (no weight-sensitivity),Weight-Sensitive Stress,Hungarian,,,Kerek 1971;Szinnyei 1912
16A-hun,Long vowel,Weight Factors in Weight-Sensitive Stress Systems,Hungarian,,,Szinnyei 1912;Kerek 1971
17A-hun,Trochaic,Rhythm Types,Hungarian,,,Kerek 1971;Szinnyei 1912
18A-hun,All present,Absence of Common Consonants,Hungarian,,,Hall 1944;Banhidi et al. 1965;Szende 1999
19A-hun,None,Presence of Uncommon Consonants,Hungarian,,,Banhidi et al. 1965;Hall 1944;Szende 1999
20A-hun,Exclusively concatenative,Fusion of Selected Inflectional Formatives,Hungarian,,,Kenesei et al. 1998
21A-hun,Monoexponential case,Exponence of Selected Inflectional Formatives,Hungarian,,,Kenesei et al. 1998
21B-hun,monoexponential TAM,Exponence of Tense-Aspect-Mood Inflection,Hungarian,,,Kenesei et al. 1998
22A-hun,4-5 categories per word,Inflectional Synthesis of the Verb,Hungarian,,,Kenesei et al. 1998
23A-hun,Dependent marking,Locus of Marking in the Clause,Hungarian,,,Kenesei et al. 1998
24A-hun,Head marking,Locus of Marking in Possessive Noun Phrases,Hungarian,,,Kenesei et al. 1998
25A-hun,Inconsistent or other,Locus of Marking: Whole-language Typology,Hungarian,,,Kenesei et al. 1998
25B-hun,Non-zero marking,Zero Marking of A and P Arguments,Hungarian,,,Kenesei et al. 1998
26A-hun,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Hungarian,,,Benkö and Imre 1972;Schaap 1980;Kiefer 1967;Kenesei et al. 1998
27A-hun,Productive full and partial reduplication,Reduplication,Hungarian,,,Hetzron 2001
28A-hun,No syncretism,Case Syncretism,Hungarian,,,Lotz 1988
29A-hun,Not syncretic,Syncretism in Verbal Person/Number Marking,Hungarian,,,Lotz 1988
30A-hun,None,Number of Genders,Hungarian,,,
31A-hun,No gender,Sex-based and Non-sex-based Gender Systems,Hungarian,,,
32A-hun,No gender,Systems of Gender Assignment,Hungarian,,,
33A-hun,Plural suffix,Coding of Nominal Plurality,Hungarian,,,Benkö and Imre 1972
34A-hun,"All nouns, always obligatory",Occurrence of Nominal Plurality,Hungarian,,,Kenesei et al. 1998
35A-hun,Person-number stem,Plurality in Independent Personal Pronouns,Hungarian,,,Majtinskaja 1976
36A-hun,Unique affixal associative plural,The Associative Plural,Hungarian,,,Kenesei et al. 1998
37A-hun,Definite word distinct from demonstrative,Definite Articles,Hungarian,,,Kenesei et al. 1998;Benkö and Imre 1972
38A-hun,Indefinite word distinct from 'one',Indefinite Articles,Hungarian,,,Benkö and Imre 1972;Kenesei et al. 1998
39A-hun,No inclusive/exclusive,Inclusive/Exclusive Distinction in Independent Pronouns,Hungarian,,,Tompa 1968
40A-hun,No inclusive/exclusive,Inclusive/Exclusive Distinction in Verbal Inflection,Hungarian,,,Tompa 1968
41A-hun,Two-way contrast,Distance Contrasts in Demonstratives,Hungarian,,,Moravcsik 1997
42A-hun,Identical,Pronominal and Adnominal Demonstratives,Hungarian,,,Moravcsik 1997
43A-hun,Related for non-human reference,Third Person Pronouns and Demonstratives,Hungarian,,,Kenesei et al. 1998
44A-hun,No gender distinctions,Gender Distinctions in Independent Personal Pronouns,Hungarian,,,Kenesei et al. 1998
45A-hun,Multiple politeness distinctions,Politeness Distinctions in Pronouns,Hungarian,,,Keresztes 1992
46A-hun,Interrogative-based,Indefinite Pronouns,Hungarian,,,Kenesei et al. 1998
47A-hun,Identical,Intensifiers and Reflexive Pronouns,Hungarian,,,Kenesei et al. 1998
48A-hun,Pronouns only,Person Marking on Adpositions,Hungarian,,,Kenesei et al. 1998
49A-hun,10 or more cases,Number of Cases,Hungarian,,,Tompa 1968
50A-hun,Symmetrical,Asymmetrical Case-Marking,Hungarian,,,Tompa 1968
51A-hun,Case suffixes,Position of Case Affixes,Hungarian,,,Benkö and Imre 1972
52A-hun,Mixed,Comitatives and Instrumentals,Hungarian,,,Banhidi et al. 1975
53A-hun,"First, second, three-th",Ordinal Numerals,Hungarian,,,Banhidi et al. 1975
54A-hun,Marked by reduplication,Distributive Numerals,Hungarian,,,
55A-hun,Optional,Numeral Classifiers,Hungarian,,,Beckwith 1992
56A-hun,"Formally similar, without interrogative",Conjunctions and Universal Quantifiers,Hungarian,,,
