ID,Name,Parameter,Language,Frequency,Confidence,References
14A-ita,No fixed stress,Fixed Stress Locations,Italian,,,Lepschy 1978;Malagoli 1946;Muljacic 1972;Roca 1999;Saltarelli 1970;Vincent 1988;Bertinetto 1981;Vogel and Scalise 1982
15A-ita,Right-edge: Ultimate or penultimate,Weight-Sensitive Stress,Italian,,,Bertinetto 1981;Lepschy 1978;Malagoli 1946;Muljacic 1972;Roca 1999;Saltarelli 1970;Vincent 1988;Vogel and Scalise 1982
16A-ita,Lexical stress,Weight Factors in Weight-Sensitive Stress Systems,Italian,,,Bertinetto 1981;Lepschy 1978;Malagoli 1946;Muljacic 1972;Roca 1999;Saltarelli 1970;Vincent 1988;Vogel and Scalise 1982
17A-ita,Undetermined,Rhythm Types,Italian,,,Vincent 1988;Bertinetto 1981;Lepschy 1978;Malagoli 1946;Muljacic 1972;Roca 1999;Saltarelli 1970;Vogel and Scalise 1982
26A-ita,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Italian,,,Sauer 1891;Maiden and Robustelli 2000;Vincent 1988
27A-ita,No productive reduplication,Reduplication,Italian,,,Repetti 2001
33A-ita,Plural suffix,Coding of Nominal Plurality,Italian,,,Sauer 1891
34A-ita,"All nouns, always obligatory",Occurrence of Nominal Plurality,Italian,,,
36A-ita,No associative plural,The Associative Plural,Italian,,,
37A-ita,Definite word distinct from demonstrative,Definite Articles,Italian,,,Sauer 1891
38A-ita,Indefinite word same as 'one',Indefinite Articles,Italian,,,Sauer 1891
41A-ita,Two-way contrast,Distance Contrasts in Demonstratives,Italian,,,Maiden and Robustelli 2000
42A-ita,Identical,Pronominal and Adnominal Demonstratives,Italian,,,Maiden and Robustelli 2000
44A-ita,3rd person singular only,Gender Distinctions in Independent Personal Pronouns,Italian,,,Lepschy and Lepschy 1988
45A-ita,Binary politeness distinction,Politeness Distinctions in Pronouns,Italian,,,Schwarze 1988
46A-ita,Generic-noun-based,Indefinite Pronouns,Italian,,,
47A-ita,Differentiated,Intensifiers and Reflexive Pronouns,Italian,,,Renzi 1988
48A-ita,No person marking,Person Marking on Adpositions,Italian,,,Lepschy and Lepschy 1988
49A-ita,No morphological case-marking,Number of Cases,Italian,,,Maiden and Robustelli 2000
50A-ita,Additive-quantitatively asymmetrical,Asymmetrical Case-Marking,Italian,,,Maiden and Robustelli 2000
51A-ita,No case affixes or adpositional clitics,Position of Case Affixes,Italian,,,Vincent 1988
52A-ita,Identity,Comitatives and Instrumentals,Italian,,,Lausberg 1972
53A-ita,"First, second, three-th",Ordinal Numerals,Italian,,,Lausberg 1972
57A-ita,No possessive affixes,Position of Pronominal Possessive Affixes,Italian,,,Vincent 1988
64A-ita,Identity,Nominal and Verbal Conjunction,Italian,,,
69A-ita,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Italian,,,Maiden and Robustelli 2000
70A-ita,Second singular,The Morphological Imperative,Italian,,,Maiden and Robustelli 2000
71A-ita,Special imperative + normal negative,The Prohibitive,Italian,,,Maiden and Robustelli 2000
72A-ita,Neither type of system,Imperative-Hortative Systems,Italian,,,
74A-ita,Verbal constructions,Situational Possibility,Italian,,,Maiden and Robustelli 2000
75A-ita,Verbal constructions,Epistemic Possibility,Italian,,,Maiden and Robustelli 2000
76A-ita,Overlap for both possibility and necessity,Overlap between Situational and Epistemic Modal Marking,Italian,,,Maiden and Robustelli 2000
81A-ita,SVO,"Order of Subject, Object and Verb",Italian,,,Vincent 1988;Sauer 1891;Maiden and Robustelli 2000
82A-ita,No dominant order,Order of Subject and Verb,Italian,,,Maiden and Robustelli 2000
83A-ita,VO,Order of Object and Verb,Italian,,,Maiden and Robustelli 2000;Sauer 1891;Vincent 1988
85A-ita,Prepositions,Order of Adposition and Noun Phrase,Italian,,,Sauer 1891
