ID,Name,Parameter,Language,Frequency,Confidence,References
1A-prs,Average,Consonant Inventories,Persian,,,Majidi and Ternes 1999;Obolensky et al. 1963
2A-prs,Average (5-6),Vowel Quality Inventories,Persian,,,Majidi and Ternes 1999;Obolensky et al. 1963
3A-prs,Average,Consonant-Vowel Ratio,Persian,,,Obolensky et al. 1963;Majidi and Ternes 1999
4A-prs,In both plosives and fricatives,Voicing in Plosives and Fricatives,Persian,,,Majidi and Ternes 1999;Obolensky et al. 1963
5A-prs,None missing in /p t k b d g/,Voicing and Gaps in Plosive Systems,Persian,,,Majidi and Ternes 1999;Obolensky et al. 1963
6A-prs,Uvular stops only,Uvular Consonants,Persian,,,Obolensky et al. 1963;Majidi and Ternes 1999
7A-prs,No glottalized consonants,Glottalized Consonants,Persian,,,Majidi and Ternes 1999;Obolensky et al. 1963
8A-prs,"/l/, no obstruent laterals",Lateral Consonants,Persian,,,Obolensky et al. 1963;Majidi and Ternes 1999
9A-prs,No velar nasal,The Velar Nasal,Persian,,,Elwell-Sutton 1963;Elwell-Sutton 1941
10A-prs,Contrast absent,Vowel Nasalization,Persian,,,Majidi and Ternes 1999
11A-prs,None,Front Rounded Vowels,Persian,,,Obolensky et al. 1963;Majidi and Ternes 1999
12A-prs,Complex,Syllable Structure,Persian,,,Majidi and Ternes 1999;Obolensky et al. 1963
13A-prs,No tones,Tone,Persian,,,Obolensky et al. 1963;Majidi and Ternes 1999
14A-prs,Ultimate,Fixed Stress Locations,Persian,,,Lambton 1953
15A-prs,Fixed stress (no weight-sensitivity),Weight-Sensitive Stress,Persian,,,Lambton 1953
16A-prs,No weight,Weight Factors in Weight-Sensitive Stress Systems,Persian,,,Lambton 1953
18A-prs,All present,Absence of Common Consonants,Persian,,,Majidi and Ternes 1999;Obolensky et al. 1963
19A-prs,None,Presence of Uncommon Consonants,Persian,,,Obolensky et al. 1963;Majidi and Ternes 1999
20A-prs,Exclusively concatenative,Fusion of Selected Inflectional Formatives,Persian,,,Mahootian 1997;Lazard 1957a;Lambton 1974;Majidi 1986;Rastorgueva 1964
21A-prs,Monoexponential case,Exponence of Selected Inflectional Formatives,Persian,,,Mahootian 1997;Lazard 1957a;Lambton 1974;Rastorgueva 1964;Majidi 1986
21B-prs,monoexponential TAM,Exponence of Tense-Aspect-Mood Inflection,Persian,,,Rastorgueva 1964;Lazard 1957a;Lambton 1974;Mahootian 1997;Majidi 1986
22A-prs,4-5 categories per word,Inflectional Synthesis of the Verb,Persian,,,Rastorgueva 1964;Lambton 1974
23A-prs,Double marking,Locus of Marking in the Clause,Persian,,,Lazard 1992;Mahootian 1997
24A-prs,Head marking,Locus of Marking in Possessive Noun Phrases,Persian,,,Lazard 1992;Mahootian 1997
25A-prs,Inconsistent or other,Locus of Marking: Whole-language Typology,Persian,,,Lazard 1992;Mahootian 1997
25B-prs,Non-zero marking,Zero Marking of A and P Arguments,Persian,,,Lazard 1992;Mahootian 1997
26A-prs,Weakly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Persian,,,Elwell-Sutton 1963;Lazard 1957a;Lambton 1967;Rastorgueva 1964;Elwell-Sutton 1941
27A-prs,Productive full and partial reduplication,Reduplication,Persian,,,Mahootian 1997
28A-prs,No case marking,Case Syncretism,Persian,,,Rubinchik 1960
29A-prs,Not syncretic,Syncretism in Verbal Person/Number Marking,Persian,,,Rubinchik 1960
30A-prs,None,Number of Genders,Persian,,,Lambton 1974
31A-prs,No gender,Sex-based and Non-sex-based Gender Systems,Persian,,,Lambton 1974
32A-prs,No gender,Systems of Gender Assignment,Persian,,,Lambton 1974
33A-prs,Plural suffix,Coding of Nominal Plurality,Persian,,,Rastorgueva 1964;Lambton 1967
35A-prs,Person-number stem,Plurality in Independent Personal Pronouns,Persian,,,Mahootian 1997
36A-prs,Unique periphrastic associative plural,The Associative Plural,Persian,,,
37A-prs,"No definite, but indefinite article",Definite Articles,Persian,,,Rastorgueva 1964
39A-prs,No inclusive/exclusive,Inclusive/Exclusive Distinction in Independent Pronouns,Persian,,,Majidi 1990
40A-prs,No inclusive/exclusive,Inclusive/Exclusive Distinction in Verbal Inflection,Persian,,,Majidi 1990
41A-prs,Two-way contrast,Distance Contrasts in Demonstratives,Persian,,,Mahootian 1997
42A-prs,Different inflection,Pronominal and Adnominal Demonstratives,Persian,,,Mahootian 1997
43A-prs,Related for non-human reference,Third Person Pronouns and Demonstratives,Persian,,,Rastorgueva 1964
44A-prs,3rd person singular only,Gender Distinctions in Independent Personal Pronouns,Persian,,,Mahootian 1997
45A-prs,Binary politeness distinction,Politeness Distinctions in Pronouns,Persian,,,Mahootian 1997
46A-prs,Generic-noun-based,Indefinite Pronouns,Persian,,,Mahootian 1997
47A-prs,Identical,Intensifiers and Reflexive Pronouns,Persian,,,Mahootian 1997
48A-prs,Pronouns only,Person Marking on Adpositions,Persian,,,Mahootian 1997
49A-prs,2 cases,Number of Cases,Persian,,,Mahootian 1997
50A-prs,Symmetrical,Asymmetrical Case-Marking,Persian,,,Mahootian 1997
51A-prs,No case affixes or adpositional clitics,Position of Case Affixes,Persian,,,Rastorgueva 1964
52A-prs,Identity,Comitatives and Instrumentals,Persian,,,Alavi and Lorenz 1988
53A-prs,"First/one-th, two-th, three-th",Ordinal Numerals,Persian,,,Alavi and Lorenz 1988
54A-prs,No distributive numerals,Distributive Numerals,Persian,,,
55A-prs,Optional,Numeral Classifiers,Persian,,,Mahootian 1997
56A-prs,"Formally similar, without interrogative",Conjunctions and Universal Quantifiers,Persian,,,Netzer 1971
57A-prs,No possessive affixes,Position of Pronominal Possessive Affixes,Persian,,,Rastorgueva 1964
58A-prs,Absent,Obligatory Possessive Inflection,Persian,,,Mahootian 1997;Lazard 1992
58B-prs,None reported,Number of Possessive Nouns,Persian,,,Mahootian 1997;Lazard 1992
59A-prs,No possessive classification,Possessive Classification,Persian,,,Lazard 1992;Mahootian 1997
60A-prs,Genitives and adjectives collapsed,"Genitives, Adjectives and Relative Clauses",Persian,,,Netzer 1971
61A-prs,Without marking,Adjectives without Nouns,Persian,,,Jones 1809
62A-prs,Ergative-Possessive,Action Nominal Constructions,Persian,,,
63A-prs,'And' different from 'with',Noun Phrase Conjunction,Persian,,,Lazard 1957b
64A-prs,Identity,Nominal and Verbal Conjunction,Persian,,,Mahootian 1997
65A-prs,Grammatical marking,Perfective/Imperfective Aspect,Persian,,,Dahl 1985
66A-prs,"Present, no remoteness distinctions",The Past Tense,Persian,,,Dahl 1985
67A-prs,No inflectional future,The Future Tense,Persian,,,Dahl 1985
68A-prs,No perfect,The Perfect,Persian,,,Dahl 1985
69A-prs,Mixed type,Position of Tense-Aspect Affixes,Persian,,,Lambton 1967
70A-prs,Second singular,The Morphological Imperative,Persian,,,Lazard 1992;Mahootian 1997
71A-prs,Normal imperative + normal negative,The Prohibitive,Persian,,,Lazard 1992;Mahootian 1997
