ID,Name,Parameter,Language,Frequency,Confidence,References
1A-pol,Large,Consonant Inventories,Polish,,,
2A-pol,Average (5-6),Vowel Quality Inventories,Polish,,,
3A-pol,Moderately high,Consonant-Vowel Ratio,Polish,,,
4A-pol,In both plosives and fricatives,Voicing in Plosives and Fricatives,Polish,,,
5A-pol,None missing in /p t k b d g/,Voicing and Gaps in Plosive Systems,Polish,,,
6A-pol,None,Uvular Consonants,Polish,,,
7A-pol,No glottalized consonants,Glottalized Consonants,Polish,,,
8A-pol,"/l/, no obstruent laterals",Lateral Consonants,Polish,,,
11A-pol,None,Front Rounded Vowels,Polish,,,
12A-pol,Complex,Syllable Structure,Polish,,,
13A-pol,No tones,Tone,Polish,,,
14A-pol,Penultimate,Fixed Stress Locations,Polish,,,Franks 1985
15A-pol,Fixed stress (no weight-sensitivity),Weight-Sensitive Stress,Polish,,,Franks 1985
16A-pol,No weight,Weight Factors in Weight-Sensitive Stress Systems,Polish,,,Franks 1985
17A-pol,Trochaic,Rhythm Types,Polish,,,Franks 1985
18A-pol,All present,Absence of Common Consonants,Polish,,,
19A-pol,None,Presence of Uncommon Consonants,Polish,,,
26A-pol,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Polish,,,Siewierska 1993;Bielec 1998;Brooks 1975;Stone 1980
33A-pol,Plural suffix,Coding of Nominal Plurality,Polish,,,Stone 1980;Bielec 1998
36A-pol,Associative same as additive plural,The Associative Plural,Polish,,,Mikhalik 1984
37A-pol,No definite or indefinite article,Definite Articles,Polish,,,Bielec 1998
38A-pol,No definite or indefinite article,Indefinite Articles,Polish,,,Bielec 1998
44A-pol,"3rd person only, but also non-singular",Gender Distinctions in Independent Personal Pronouns,Polish,,,Szober 1957
45A-pol,Binary politeness distinction,Politeness Distinctions in Pronouns,Polish,,,Mühlhäusler and Harré 1990
46A-pol,Interrogative-based,Indefinite Pronouns,Polish,,,Haspelmath 1997
47A-pol,Differentiated,Intensifiers and Reflexive Pronouns,Polish,,,Rothstein 1993
48A-pol,No person marking,Person Marking on Adpositions,Polish,,,Szober 1957
49A-pol,6-7 cases,Number of Cases,Polish,,,Bielec 1998
50A-pol,Syncretism in relevant NP-types,Asymmetrical Case-Marking,Polish,,,Bielec 1998
51A-pol,Case suffixes,Position of Case Affixes,Polish,,,Stone 1980;Bielec 1998
52A-pol,Differentiation,Comitatives and Instrumentals,Polish,,,Laskowski 1972
53A-pol,"First, second, three-th",Ordinal Numerals,Polish,,,Wójtowcz 1972
54A-pol,Marked by preceding word,Distributive Numerals,Polish,,,Bielec 1998
