ID,Name,Parameter,Language,Frequency,Confidence,References
1A-rom,Average,Consonant Inventories,Romanian,,,Ruhlen 1973;Tataru 1978;Agard 1958
2A-rom,Large (7-14),Vowel Quality Inventories,Romanian,,,Agard 1958;Tataru 1978;Ruhlen 1973
3A-rom,Average,Consonant-Vowel Ratio,Romanian,,,Ruhlen 1973;Tataru 1978;Agard 1958
4A-rom,In both plosives and fricatives,Voicing in Plosives and Fricatives,Romanian,,,Ruhlen 1973;Agard 1958;Tataru 1978
5A-rom,None missing in /p t k b d g/,Voicing and Gaps in Plosive Systems,Romanian,,,Ruhlen 1973;Tataru 1978;Agard 1958
6A-rom,None,Uvular Consonants,Romanian,,,Tataru 1978;Ruhlen 1973;Agard 1958
7A-rom,No glottalized consonants,Glottalized Consonants,Romanian,,,Tataru 1978;Agard 1958;Ruhlen 1973
8A-rom,"/l/, no obstruent laterals",Lateral Consonants,Romanian,,,Tataru 1978;Agard 1958;Ruhlen 1973
11A-rom,None,Front Rounded Vowels,Romanian,,,Tataru 1978;Ruhlen 1973;Agard 1958
13A-rom,No tones,Tone,Romanian,,,Ruhlen 1973;Agard 1958;Tataru 1978
14A-rom,No fixed stress,Fixed Stress Locations,Romanian,,,Ulivi 1977;Roca 1999;Lombard 1935;Graur and Rosetti 1938;Avram 1978;Augerot 1974;Ulivi 1985;Steriade 1984
15A-rom,Right-edge: Ultimate or penultimate,Weight-Sensitive Stress,Romanian,,,Augerot 1974;Avram 1978;Graur and Rosetti 1938;Lombard 1935;Roca 1999;Steriade 1984;Ulivi 1977;Ulivi 1985
16A-rom,Lexical stress,Weight Factors in Weight-Sensitive Stress Systems,Romanian,,,Ulivi 1985;Augerot 1974;Avram 1978;Graur and Rosetti 1938;Lombard 1935;Roca 1999;Steriade 1984;Ulivi 1977
18A-rom,All present,Absence of Common Consonants,Romanian,,,Agard 1958;Tataru 1978;Ruhlen 1973
19A-rom,None,Presence of Uncommon Consonants,Romanian,,,Agard 1958;Tataru 1978;Ruhlen 1973
