ID,Name,Parameter,Language,Frequency,Confidence,References
1A-rus,Moderately large,Consonant Inventories,Russian,,,Halle 1959;Jones and Ward 1969
2A-rus,Average (5-6),Vowel Quality Inventories,Russian,,,Jones and Ward 1969;Halle 1959
3A-rus,High,Consonant-Vowel Ratio,Russian,,,Halle 1959;Jones and Ward 1969
4A-rus,In both plosives and fricatives,Voicing in Plosives and Fricatives,Russian,,,Halle 1959;Jones and Ward 1969
5A-rus,None missing in /p t k b d g/,Voicing and Gaps in Plosive Systems,Russian,,,Jones and Ward 1969;Halle 1959
6A-rus,None,Uvular Consonants,Russian,,,Halle 1959;Jones and Ward 1969
7A-rus,No glottalized consonants,Glottalized Consonants,Russian,,,Jones and Ward 1969;Halle 1959
8A-rus,"/l/, no obstruent laterals",Lateral Consonants,Russian,,,Halle 1959;Jones and Ward 1969
9A-rus,No velar nasal,The Velar Nasal,Russian,,,Wade 1992
10A-rus,Contrast absent,Vowel Nasalization,Russian,,,Boyanus 1955
11A-rus,None,Front Rounded Vowels,Russian,,,Halle 1959;Jones and Ward 1969
12A-rus,Complex,Syllable Structure,Russian,,,Jones and Ward 1969;Halle 1959
13A-rus,No tones,Tone,Russian,,,Jones and Ward 1969;Halle 1959
14A-rus,No fixed stress,Fixed Stress Locations,Russian,,,Unbegaun 1957;Hamilton 1980;Kodzasov 1999b
15A-rus,Unbounded: Stress can be anywhere,Weight-Sensitive Stress,Russian,,,Hamilton 1980;Kodzasov 1999b;Unbegaun 1957
16A-rus,Lexical stress,Weight Factors in Weight-Sensitive Stress Systems,Russian,,,Hamilton 1980;Kodzasov 1999b;Unbegaun 1957
17A-rus,No rhythmic stress,Rhythm Types,Russian,,,Unbegaun 1957;Hamilton 1980;Kodzasov 1999b
18A-rus,All present,Absence of Common Consonants,Russian,,,Jones and Ward 1969;Halle 1959
19A-rus,None,Presence of Uncommon Consonants,Russian,,,Jones and Ward 1969;Halle 1959
20A-rus,Exclusively concatenative,Fusion of Selected Inflectional Formatives,Russian,,,Wade 1992
21A-rus,Case + number,Exponence of Selected Inflectional Formatives,Russian,,,Wade 1992
21B-rus,monoexponential TAM,Exponence of Tense-Aspect-Mood Inflection,Russian,,,Wade 1992
22A-rus,4-5 categories per word,Inflectional Synthesis of the Verb,Russian,,,Wade 1992
23A-rus,Dependent marking,Locus of Marking in the Clause,Russian,,,
24A-rus,Dependent marking,Locus of Marking in Possessive Noun Phrases,Russian,,,
25A-rus,Dependent-marking,Locus of Marking: Whole-language Typology,Russian,,,
25B-rus,Non-zero marking,Zero Marking of A and P Arguments,Russian,,,
26A-rus,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Russian,,,Launer 1974;Krylova and Khavronina 1976;Borras and Christian 1959;Bivon 1971;Wade 1992;Stilman and Harkins 1964
27A-rus,No productive reduplication,Reduplication,Russian,,,Beyer 2001
28A-rus,Core and non-core,Case Syncretism,Russian,,,
29A-rus,Not syncretic,Syncretism in Verbal Person/Number Marking,Russian,,,
30A-rus,Three,Number of Genders,Russian,,,Corbett 1991;Fraser and Corbett 1995
31A-rus,Sex-based,Sex-based and Non-sex-based Gender Systems,Russian,,,Fraser and Corbett 1995;Corbett 1991
32A-rus,Semantic and formal,Systems of Gender Assignment,Russian,,,Fraser and Corbett 1995;Corbett 1991
33A-rus,Plural suffix,Coding of Nominal Plurality,Russian,,,Stilman and Harkins 1964
34A-rus,"All nouns, always obligatory",Occurrence of Nominal Plurality,Russian,,,
35A-rus,Person-number stem + nominal plural affix,Plurality in Independent Personal Pronouns,Russian,,,
36A-rus,No associative plural,The Associative Plural,Russian,,,
37A-rus,No definite or indefinite article,Definite Articles,Russian,,,Stilman and Harkins 1964
38A-rus,No definite or indefinite article,Indefinite Articles,Russian,,,Stilman and Harkins 1964
39A-rus,No inclusive/exclusive,Inclusive/Exclusive Distinction in Independent Pronouns,Russian,,,Tauscher and Kirschbaum 1963
40A-rus,No inclusive/exclusive,Inclusive/Exclusive Distinction in Verbal Inflection,Russian,,,Tauscher and Kirschbaum 1963
41A-rus,Two-way contrast,Distance Contrasts in Demonstratives,Russian,,,Wade 1992
42A-rus,Identical,Pronominal and Adnominal Demonstratives,Russian,,,Wade 1992
44A-rus,3rd person singular only,Gender Distinctions in Independent Personal Pronouns,Russian,,,Wade 1992
45A-rus,Binary politeness distinction,Politeness Distinctions in Pronouns,Russian,,,Wade 1992
46A-rus,Interrogative-based,Indefinite Pronouns,Russian,,,
47A-rus,Differentiated,Intensifiers and Reflexive Pronouns,Russian,,,Wade 1992
48A-rus,No person marking,Person Marking on Adpositions,Russian,,,Wade 1992
49A-rus,6-7 cases,Number of Cases,Russian,,,Wade 1992
50A-rus,Syncretism in relevant NP-types,Asymmetrical Case-Marking,Russian,,,Wade 1992
51A-rus,Case suffixes,Position of Case Affixes,Russian,,,Stilman and Harkins 1964
52A-rus,Mixed,Comitatives and Instrumentals,Russian,,,Berneker and Vasmer 1971
53A-rus,"First, second, three-th",Ordinal Numerals,Russian,,,Berneker and Vasmer 1971
54A-rus,Marked by preceding word,Distributive Numerals,Russian,,,
55A-rus,Absent,Numeral Classifiers,Russian,,,
57A-rus,No possessive affixes,Position of Pronominal Possessive Affixes,Russian,,,Bivon 1971
58A-rus,Absent,Obligatory Possessive Inflection,Russian,,,
58B-rus,None reported,Number of Possessive Nouns,Russian,,,
59A-rus,No possessive classification,Possessive Classification,Russian,,,
60A-rus,Highly differentiated,"Genitives, Adjectives and Relative Clauses",Russian,,,
61A-rus,Without marking,Adjectives without Nouns,Russian,,,
62A-rus,Ergative-Possessive,Action Nominal Constructions,Russian,,,
63A-rus,'And' different from 'with',Noun Phrase Conjunction,Russian,,,Pulkina 1978
64A-rus,Identity,Nominal and Verbal Conjunction,Russian,,,
65A-rus,Grammatical marking,Perfective/Imperfective Aspect,Russian,,,Dahl 1985
