ID,Name,Parameter,Language,Frequency,Confidence,References
14A-svk,Initial,Fixed Stress Locations,Slovak,,,Králj 1988;Dogil 1999;Letz 1950;Rubach 1991
15A-svk,Fixed stress (no weight-sensitivity),Weight-Sensitive Stress,Slovak,,,Dogil 1999;Králj 1988;Letz 1950;Rubach 1991
16A-svk,No weight,Weight Factors in Weight-Sensitive Stress Systems,Slovak,,,Dogil 1999;Králj 1988;Letz 1950;Rubach 1991
17A-svk,Trochaic,Rhythm Types,Slovak,,,Králj 1988;Dogil 1999;Letz 1950;Rubach 1991
47A-svk,Differentiated,Intensifiers and Reflexive Pronouns,Slovak,,,Short 1993c
53A-svk,"First, second, three-th",Ordinal Numerals,Slovak,,,Baláz and Darovec 1978
79A-svk,Tense and aspect,Suppletion According to Tense and Aspect,Slovak,,,De Bray 1980a;Mistrik 1981
79B-svk,None (= no suppletive imperatives reported in the reference material),Suppletion in Imperatives and Hortatives,Slovak,,,
80A-svk,None,Verbal Number and Suppletion,Slovak,,,Mistrik 1981;De Bray 1980a
129A-svk,Identical,Hand and Arm,Slovak,,,Trnka 1992
130A-svk,Different,Finger and Hand,Slovak,,,Trnka 1992
138A-svk,Words derived from Sinitic cha,Tea,Slovak,,,Malherbe and Rosenberg 1996
142A-svk,Affective meanings,Para-Linguistic Usages of Clicks,Slovak,,,
