ID,Name,Parameter,Language,Frequency,Confidence,References
1A-spa,Average,Consonant Inventories,Spanish,,,Saporta and Contreras 1962;Harris 1969a;Navarro 1961
2A-spa,Average (5-6),Vowel Quality Inventories,Spanish,,,Saporta and Contreras 1962;Harris 1969a;Navarro 1961
3A-spa,Average,Consonant-Vowel Ratio,Spanish,,,Saporta and Contreras 1962;Harris 1969a;Navarro 1961
4A-spa,In fricatives alone,Voicing in Plosives and Fricatives,Spanish,,,Navarro 1961;Saporta and Contreras 1962;Harris 1969a
5A-spa,Other,Voicing and Gaps in Plosive Systems,Spanish,,,Saporta and Contreras 1962;Harris 1969a;Navarro 1961
6A-spa,None,Uvular Consonants,Spanish,,,Saporta and Contreras 1962;Navarro 1961;Harris 1969a
7A-spa,No glottalized consonants,Glottalized Consonants,Spanish,,,Saporta and Contreras 1962;Harris 1969a;Navarro 1961
8A-spa,"/l/, no obstruent laterals",Lateral Consonants,Spanish,,,Navarro 1961;Saporta and Contreras 1962;Harris 1969a
9A-spa,No velar nasal,The Velar Nasal,Spanish,,,
10A-spa,Contrast absent,Vowel Nasalization,Spanish,,,Green 1988
11A-spa,None,Front Rounded Vowels,Spanish,,,Harris 1969a;Navarro 1961;Saporta and Contreras 1962
12A-spa,Moderately complex,Syllable Structure,Spanish,,,Navarro 1961;Harris 1969a;Saporta and Contreras 1962
13A-spa,No tones,Tone,Spanish,,,Navarro 1961;Saporta and Contreras 1962;Harris 1969a
14A-spa,No fixed stress,Fixed Stress Locations,Spanish,,,Harris 1983;Roca 1991;Roca 1999;Green 1988;Harris 1969a;Alarcos Llorach 1965;Navarro 1965
15A-spa,Right-edge: Ultimate or penultimate,Weight-Sensitive Stress,Spanish,,,Navarro 1965;Harris 1983;Alarcos Llorach 1965;Green 1988;Harris 1969a;Roca 1999;Roca 1991
16A-spa,Combined,Weight Factors in Weight-Sensitive Stress Systems,Spanish,,,Green 1988;Harris 1969a;Alarcos Llorach 1965;Harris 1983;Navarro 1965;Roca 1991;Roca 1999
17A-spa,Trochaic,Rhythm Types,Spanish,,,Green 1988;Roca 1999;Roca 1991;Navarro 1965;Harris 1983;Alarcos Llorach 1965;Harris 1969a
18A-spa,All present,Absence of Common Consonants,Spanish,,,Harris 1969a;Saporta and Contreras 1962;Navarro 1961
19A-spa,'Th' sounds,Presence of Uncommon Consonants,Spanish,,,Harris 1969a;Saporta and Contreras 1962;Navarro 1961
20A-spa,Exclusively concatenative,Fusion of Selected Inflectional Formatives,Spanish,,,Butt and Benjamin 2000
21A-spa,Monoexponential case,Exponence of Selected Inflectional Formatives,Spanish,,,Butt and Benjamin 2000
21B-spa,TAM+agreement,Exponence of Tense-Aspect-Mood Inflection,Spanish,,,Butt and Benjamin 2000
22A-spa,4-5 categories per word,Inflectional Synthesis of the Verb,Spanish,,,Butt and Benjamin 2000
23A-spa,Double marking,Locus of Marking in the Clause,Spanish,,,
24A-spa,Dependent marking,Locus of Marking in Possessive Noun Phrases,Spanish,,,
25A-spa,Inconsistent or other,Locus of Marking: Whole-language Typology,Spanish,,,
25B-spa,Non-zero marking,Zero Marking of A and P Arguments,Spanish,,,
26A-spa,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Spanish,,,Green 1988;Butt and Benjamin 2000
27A-spa,No productive reduplication,Reduplication,Spanish,,,Lopez 2001
28A-spa,Core and non-core,Case Syncretism,Spanish,,,Butt and Benjamin 2000
29A-spa,Syncretic,Syncretism in Verbal Person/Number Marking,Spanish,,,Butt and Benjamin 2000
30A-spa,Two,Number of Genders,Spanish,,,
