ID,Name,Parameter,Language,Frequency,Confidence,References
14A-swe,No fixed stress,Fixed Stress Locations,Swedish,,,Bruce 1999a
15A-swe,Right-oriented: One of the last three,Weight-Sensitive Stress,Swedish,,,Bruce 1999a
16A-swe,Long vowel or coda consonant,Weight Factors in Weight-Sensitive Stress Systems,Swedish,,,Bruce 1999a
17A-swe,No rhythmic stress,Rhythm Types,Swedish,,,Bruce 1999a
26A-swe,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Swedish,,,Holmes and Hinchliffe 1994;McClean 1963
33A-swe,Plural suffix,Coding of Nominal Plurality,Swedish,,,McClean 1963;Holmes and Hinchliffe 1994
34A-swe,"All nouns, always obligatory",Occurrence of Nominal Plurality,Swedish,,,Holmes and Hinchliffe 1994
37A-swe,Definite affix,Definite Articles,Swedish,,,Holmes and Hinchliffe 1994
38A-swe,Indefinite word same as 'one',Indefinite Articles,Swedish,,,McClean 1963;Holmes and Hinchliffe 1994
41A-swe,Two-way contrast,Distance Contrasts in Demonstratives,Swedish,,,
42A-swe,Identical,Pronominal and Adnominal Demonstratives,Swedish,,,
45A-swe,Binary politeness distinction,Politeness Distinctions in Pronouns,Swedish,,,Ritte 1998
46A-swe,Special,Indefinite Pronouns,Swedish,,,Holmes and Hinchliffe 1994
47A-swe,Identical,Intensifiers and Reflexive Pronouns,Swedish,,,Holmes and Hinchliffe 1994
49A-swe,2 cases,Number of Cases,Swedish,,,Holmes and Hinchliffe 1994
50A-swe,Additive-quantitatively asymmetrical,Asymmetrical Case-Marking,Swedish,,,Holmes and Hinchliffe 1994
51A-swe,No case affixes or adpositional clitics,Position of Case Affixes,Swedish,,,McClean 1963
52A-swe,Identity,Comitatives and Instrumentals,Swedish,,,Holm and Nylund Lindgren 1977
53A-swe,"First, second, three-th",Ordinal Numerals,Swedish,,,Holm and Nylund Lindgren 1977
57A-swe,No possessive affixes,Position of Pronominal Possessive Affixes,Swedish,,,McClean 1963
62A-swe,Other,Action Nominal Constructions,Swedish,,,
63A-swe,'And' different from 'with',Noun Phrase Conjunction,Swedish,,,Hammar 1958
65A-swe,No grammatical marking,Perfective/Imperfective Aspect,Swedish,,,Dahl 1985
66A-swe,"Present, no remoteness distinctions",The Past Tense,Swedish,,,Dahl 1985
67A-swe,No inflectional future,The Future Tense,Swedish,,,Dahl 1985
68A-swe,From possessive,The Perfect,Swedish,,,Dahl 1985
69A-swe,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Swedish,,,McClean 1963
70A-swe,Second person number-neutral,The Morphological Imperative,Swedish,,,Holmes and Hinchliffe 1994
71A-swe,Normal imperative + normal negative,The Prohibitive,Swedish,,,Holmes and Hinchliffe 1994
72A-swe,Neither type of system,Imperative-Hortative Systems,Swedish,,,
73A-swe,Inflectional optative absent,The Optative,Swedish,,,
74A-swe,Verbal constructions,Situational Possibility,Swedish,,,Holmes and Hinchliffe 1994
75A-swe,Verbal constructions,Epistemic Possibility,Swedish,,,Holmes and Hinchliffe 1994
76A-swe,Overlap for both possibility and necessity,Overlap between Situational and Epistemic Modal Marking,Swedish,,,Holmes and Hinchliffe 1994
77A-swe,Indirect only,Semantic Distinctions of Evidentiality,Swedish,,,Dahl 1985
78A-swe,Mixed,Coding of Evidentiality,Swedish,,,Dahl 1985
79A-swe,Tense,Suppletion According to Tense and Aspect,Swedish,,,
79B-swe,None (= no suppletive imperatives reported in the reference material),Suppletion in Imperatives and Hortatives,Swedish,,,
