ID,Name,Parameter,Language,Frequency,Confidence,References
1A-tur,Average,Consonant Inventories,Turkish,,,Zimmer and Orgun 1999
2A-tur,Large (7-14),Vowel Quality Inventories,Turkish,,,Zimmer and Orgun 1999
3A-tur,Average,Consonant-Vowel Ratio,Turkish,,,Zimmer and Orgun 1999
4A-tur,In both plosives and fricatives,Voicing in Plosives and Fricatives,Turkish,,,Zimmer and Orgun 1999
5A-tur,None missing in /p t k b d g/,Voicing and Gaps in Plosive Systems,Turkish,,,Zimmer and Orgun 1999
6A-tur,None,Uvular Consonants,Turkish,,,Zimmer and Orgun 1999
7A-tur,No glottalized consonants,Glottalized Consonants,Turkish,,,Zimmer and Orgun 1999
8A-tur,"/l/, no obstruent laterals",Lateral Consonants,Turkish,,,Zimmer and Orgun 1999
9A-tur,No velar nasal,The Velar Nasal,Turkish,,,Kornfilt 1997
10A-tur,Contrast absent,Vowel Nasalization,Turkish,,,Zimmer and Orgun 1999;Kornfilt 1997
11A-tur,High and mid,Front Rounded Vowels,Turkish,,,Zimmer and Orgun 1999
12A-tur,Moderately complex,Syllable Structure,Turkish,,,Zimmer and Orgun 1999
13A-tur,No tones,Tone,Turkish,,,Zimmer and Orgun 1999
14A-tur,No fixed stress,Fixed Stress Locations,Turkish,,,Lees 1961;Sezer 1983;Underhill 1976;Kornfilt 1997
15A-tur,Unbounded: Stress can be anywhere,Weight-Sensitive Stress,Turkish,,,Lees 1961;Sezer 1983;Underhill 1976;Kornfilt 1997
16A-tur,Lexical stress,Weight Factors in Weight-Sensitive Stress Systems,Turkish,,,Underhill 1976;Kornfilt 1997;Lees 1961;Sezer 1983
17A-tur,No rhythmic stress,Rhythm Types,Turkish,,,Sezer 1983;Underhill 1976;Kornfilt 1997;Lees 1961
18A-tur,All present,Absence of Common Consonants,Turkish,,,Zimmer and Orgun 1999
19A-tur,None,Presence of Uncommon Consonants,Turkish,,,Zimmer and Orgun 1999
20A-tur,Exclusively concatenative,Fusion of Selected Inflectional Formatives,Turkish,,,Swift 1963;Lewis 1967;Underhill 1976
21A-tur,Monoexponential case,Exponence of Selected Inflectional Formatives,Turkish,,,Underhill 1976;Swift 1963;Lewis 1967
21B-tur,monoexponential TAM,Exponence of Tense-Aspect-Mood Inflection,Turkish,,,Underhill 1976;Swift 1963;Lewis 1967
22A-tur,6-7 categories per word,Inflectional Synthesis of the Verb,Turkish,,,Underhill 1976;Lewis 1967
23A-tur,Dependent marking,Locus of Marking in the Clause,Turkish,,,Lewis 1967
24A-tur,Double marking,Locus of Marking in Possessive Noun Phrases,Turkish,,,Lewis 1967
25A-tur,Inconsistent or other,Locus of Marking: Whole-language Typology,Turkish,,,Lewis 1967
25B-tur,Non-zero marking,Zero Marking of A and P Arguments,Turkish,,,Lewis 1967
