,ID,Name,Parameter,Language,Frequency,Confidence,References
0,26A,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Savi,,,Buddruss 1967
1,33A,Plural suffix,Coding of Nominal Plurality,Savi,,,Buddruss 1967
2,45A,No politeness distinction,Politeness Distinctions in Pronouns,Savi,,,Buddruss 1967
3,51A,Case suffixes,Position of Case Affixes,Savi,,,Buddruss 1967
4,69A,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Savi,,,Buddruss 1967
5,81A,SOV,"Order of Subject, Object and Verb",Savi,,,Buddruss 1967
6,82A,SV,Order of Subject and Verb,Savi,,,Buddruss 1967
7,83A,OV,Order of Object and Verb,Savi,,,Buddruss 1967
8,85A,Postpositions,Order of Adposition and Noun Phrase,Savi,,,Buddruss 1967
9,86A,Genitive-Noun,Order of Genitive and Noun,Savi,,,Buddruss 1967
10,87A,Adjective-Noun,Order of Adjective and Noun,Savi,,,Buddruss 1967
11,88A,Demonstrative-Noun,Order of Demonstrative and Noun,Savi,,,Buddruss 1967
12,93A,Not initial interrogative phrase,Position of Interrogative Phrases in Content Questions,Savi,,,Buddruss 1967
13,94A,Mixed,Order of Adverbial Subordinator and Clause,Savi,,,Buddruss 1967
14,95A,OV and Postpositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Savi,,,
15,97A,OV and AdjN,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Savi,,,
