,ID,Name,Parameter,Language,Frequency,Confidence,References
0,30A,None,Number of Genders,Sawu,,,Walker 1982
1,31A,No gender,Sex-based and Non-sex-based Gender Systems,Sawu,,,Walker 1982
2,32A,No gender,Systems of Gender Assignment,Sawu,,,Walker 1982
3,43A,Unrelated,Third Person Pronouns and Demonstratives,Sawu,,,Walker 1982
4,44A,No gender distinctions,Gender Distinctions in Independent Personal Pronouns,Sawu,,,Walker 1982
5,48A,No person marking,Person Marking on Adpositions,Sawu,,,Walker 1982
6,55A,Obligatory,Numeral Classifiers,Sawu,,,Walker 1982
7,56A,Formally different,Conjunctions and Universal Quantifiers,Sawu,,,Walker 1982
8,70A,Second person number-neutral,The Morphological Imperative,Sawu,,,Walker 1982
9,71A,Normal imperative + special negative,The Prohibitive,Sawu,,,Walker 1982
10,100A,Neutral,Alignment of Verbal Person Marking,Sawu,,,Walker 1982
11,102A,No person marking,Verbal Person Marking,Sawu,,,Walker 1982
12,103A,No person marking,Third Person Zero of Verbal Person Marking,Sawu,,,Walker 1982
13,104A,A and P do not or do not both occur on the verb,Order of Person Markers on the Verb,Sawu,,,Walker 1982
14,107A,Absent,Passive Constructions,Sawu,,,Walker 1982
15,111A,Morphological but no compound,Nonperiphrastic Causative Constructions,Sawu,,,Walker 1982
16,113A,Symmetric,Symmetric and Asymmetric Standard Negation,Sawu,,,Walker 1982
17,114A,Non-assignable,Subtypes of Asymmetric Standard Negation,Sawu,,,Walker 1982
18,125A,Balanced,Purpose Clauses,Sawu,,,Walker 1982
19,128A,Balanced,Utterance Complement Clauses,Sawu,,,Walker 1982
20,143A,VNeg,Order of Negative Morpheme and Verb,Sawu,,,Walker 1982
21,143E,None,Preverbal Negative Morphemes,Sawu,,,Walker 1982
22,143F,VNeg,Postverbal Negative Morphemes,Sawu,,,Walker 1982
23,143G,None,Minor morphological means of signaling negation,Sawu,,,Walker 1982
