,ID,Name,Parameter,Language,Frequency,Confidence,References
0,14A,No fixed stress,Fixed Stress Locations,Serbian-Croatian,,,Gvozdanovic 1999
1,15A,Unbounded: Stress can be anywhere,Weight-Sensitive Stress,Serbian-Croatian,,,Gvozdanovic 1999
2,16A,Prominence,Weight Factors in Weight-Sensitive Stress Systems,Serbian-Croatian,,,Gvozdanovic 1999
3,17A,No rhythmic stress,Rhythm Types,Serbian-Croatian,,,Gvozdanovic 1999
4,26A,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Serbian-Croatian,,,Browne 1974
5,33A,Plural suffix,Coding of Nominal Plurality,Serbian-Croatian,,,Partridge 1964
6,34A,"All nouns, always obligatory",Occurrence of Nominal Plurality,Serbian-Croatian,,,Hamm 1981
7,37A,No definite or indefinite article,Definite Articles,Serbian-Croatian,,,Partridge 1964
8,38A,No definite or indefinite article,Indefinite Articles,Serbian-Croatian,,,Partridge 1964
9,43A,Unrelated,Third Person Pronouns and Demonstratives,Serbian-Croatian,,,Kordic 1997
10,46A,Interrogative-based,Indefinite Pronouns,Serbian-Croatian,,,Haspelmath 1997
11,49A,5 cases,Number of Cases,Serbian-Croatian,,,Hamm 1981
12,50A,Syncretism in relevant NP-types,Asymmetrical Case-Marking,Serbian-Croatian,,,Hamm 1981
13,51A,Case suffixes,Position of Case Affixes,Serbian-Croatian,,,Partridge 1964
14,53A,"First, second, three-th",Ordinal Numerals,Serbian-Croatian,,,Schmaus 1983
15,57A,No possessive affixes,Position of Pronominal Possessive Affixes,Serbian-Croatian,,,Partridge 1964
16,63A,'And' different from 'with',Noun Phrase Conjunction,Serbian-Croatian,,,
17,69A,No tense-aspect inflection,Position of Tense-Aspect Affixes,Serbian-Croatian,,,Partridge 1964
18,70A,Second singular and second plural,The Morphological Imperative,Serbian-Croatian,,,Kordic 1997
19,71A,Normal imperative + normal negative,The Prohibitive,Serbian-Croatian,,,Kordic 1997
20,72A,Neither type of system,Imperative-Hortative Systems,Serbian-Croatian,,,Browne 1993
21,74A,Verbal constructions,Situational Possibility,Serbian-Croatian,,,Kalogjera 1982
22,75A,Verbal constructions,Epistemic Possibility,Serbian-Croatian,,,Kalogjera 1982
