,ID,Name,Parameter,Language,Frequency,Confidence,References
0,69A,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Sherpa,,,Schottelndreyer and Schottelndreyer 1973
1,77A,Direct and indirect,Semantic Distinctions of Evidentiality,Sherpa,,,Woodbury 1986
2,78A,Verbal affix or clitic,Coding of Evidentiality,Sherpa,,,Woodbury 1986
3,81A,SOV,"Order of Subject, Object and Verb",Sherpa,,,Schottelndreyer and Schottelndreyer 1973
4,82A,SV,Order of Subject and Verb,Sherpa,,,Schottelndreyer and Schottelndreyer 1973
5,83A,OV,Order of Object and Verb,Sherpa,,,Schottelndreyer and Schottelndreyer 1973
6,85A,Postpositions,Order of Adposition and Noun Phrase,Sherpa,,,Schottelndreyer and Schottelndreyer 1973
7,86A,Genitive-Noun,Order of Genitive and Noun,Sherpa,,,Schottelndreyer and Schottelndreyer 1973
8,87A,Noun-Adjective,Order of Adjective and Noun,Sherpa,,,Schottelndreyer and Schottelndreyer 1973
9,88A,Demonstrative-Noun,Order of Demonstrative and Noun,Sherpa,,,Schottelndreyer and Schottelndreyer 1973
10,89A,Noun-Numeral,Order of Numeral and Noun,Sherpa,,,Schottelndreyer and Schottelndreyer 1973
11,92A,Final,Position of Polar Question Particles,Sherpa,,,Schottelndreyer and Schottelndreyer 1973
12,93A,Not initial interrogative phrase,Position of Interrogative Phrases in Content Questions,Sherpa,,,Schottelndreyer and Schottelndreyer 1973
13,95A,OV and Postpositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Sherpa,,,
14,97A,OV and NAdj,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Sherpa,,,
15,112A,Negative affix,Negative Morphemes,Sherpa,,,Schottelndreyer and Schottelndreyer 1973
16,116A,Question particle,Polar Questions,Sherpa,,,Schottelndreyer and Schottelndreyer 1973
17,143A,[Neg-V],Order of Negative Morpheme and Verb,Sherpa,,,Schottelndreyer and Schottelndreyer 1973
18,143E,[Neg-V],Preverbal Negative Morphemes,Sherpa,,,Schottelndreyer and Schottelndreyer 1973
19,143F,None,Postverbal Negative Morphemes,Sherpa,,,Schottelndreyer and Schottelndreyer 1973
20,143G,None,Minor morphological means of signaling negation,Sherpa,,,Schottelndreyer and Schottelndreyer 1973
21,144A,MorphNeg,"Position of Negative Word With Respect to Subject, Object, and Verb",Sherpa,,,Schottelndreyer and Schottelndreyer 1973
22,144L,SO[Neg-V],The Position of Negative Morphemes in SOV Languages,Sherpa,,,Schottelndreyer and Schottelndreyer 1973
23,144P,No NegSOV,NegSOV Order,Sherpa,,,Schottelndreyer and Schottelndreyer 1973
24,144Q,No SNegOV,SNegOV Order,Sherpa,,,Schottelndreyer and Schottelndreyer 1973
25,144R,Prefix&NoDoubleNeg,SONegV Order,Sherpa,,,Schottelndreyer and Schottelndreyer 1973
26,144S,NoSOVNeg,SOVNeg Order,Sherpa,,,Schottelndreyer and Schottelndreyer 1973
