,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Moderately small,Consonant Inventories,Shipibo-Konibo,,,Loriot et al. 1993
1,2A,Small (2-4),Vowel Quality Inventories,Shipibo-Konibo,,,Loriot et al. 1993
2,3A,Average,Consonant-Vowel Ratio,Shipibo-Konibo,,,Loriot et al. 1993
3,4A,No voicing contrast,Voicing in Plosives and Fricatives,Shipibo-Konibo,,,Loriot et al. 1993
4,5A,Other,Voicing and Gaps in Plosive Systems,Shipibo-Konibo,,,Loriot et al. 1993
5,6A,None,Uvular Consonants,Shipibo-Konibo,,,Loriot et al. 1993
6,7A,No glottalized consonants,Glottalized Consonants,Shipibo-Konibo,,,Loriot et al. 1993
7,8A,No laterals,Lateral Consonants,Shipibo-Konibo,,,Loriot et al. 1993
8,9A,No velar nasal,The Velar Nasal,Shipibo-Konibo,,,
9,11A,None,Front Rounded Vowels,Shipibo-Konibo,,,Loriot et al. 1993
10,12A,Moderately complex,Syllable Structure,Shipibo-Konibo,,,Loriot et al. 1993
11,13A,No tones,Tone,Shipibo-Konibo,,,Loriot et al. 1993
12,14A,No fixed stress,Fixed Stress Locations,Shipibo-Konibo,,,Faust 1973
13,15A,Left-edge: First or second,Weight-Sensitive Stress,Shipibo-Konibo,,,Faust 1973
14,16A,Coda consonant,Weight Factors in Weight-Sensitive Stress Systems,Shipibo-Konibo,,,Faust 1973
15,18A,All present,Absence of Common Consonants,Shipibo-Konibo,,,Loriot et al. 1993
16,19A,None,Presence of Uncommon Consonants,Shipibo-Konibo,,,Loriot et al. 1993
17,20A,Exclusively concatenative,Fusion of Selected Inflectional Formatives,Shipibo-Konibo,,,Valenzuela 1997
18,22A,6-7 categories per word,Inflectional Synthesis of the Verb,Shipibo-Konibo,,,Valenzuela 1997
19,23A,Dependent marking,Locus of Marking in the Clause,Shipibo-Konibo,,,Valenzuela 1997
20,24A,Dependent marking,Locus of Marking in Possessive Noun Phrases,Shipibo-Konibo,,,Valenzuela 1997
21,25A,Dependent-marking,Locus of Marking: Whole-language Typology,Shipibo-Konibo,,,Valenzuela 1997
22,25B,Non-zero marking,Zero Marking of A and P Arguments,Shipibo-Konibo,,,Valenzuela 1997
23,26A,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Shipibo-Konibo,,,Faust 1973
24,28A,No case marking,Case Syncretism,Shipibo-Konibo,,,Valenzuela 1997
25,29A,No subject person/number marking,Syncretism in Verbal Person/Number Marking,Shipibo-Konibo,,,Valenzuela 1997
