,ID,Name,Parameter,Language,Frequency,Confidence,References
0,51A,Postpositional clitics,Position of Case Affixes,Skou,,,Voorhoeve 1971
1,69A,Tense-aspect tone,Position of Tense-Aspect Affixes,Skou,,,Voorhoeve 1971
2,70A,No second-person imperatives,The Morphological Imperative,Skou,,,
3,71A,Normal imperative + normal negative,The Prohibitive,Skou,,,
4,81A,SOV,"Order of Subject, Object and Verb",Skou,,,Voorhoeve 1971
5,82A,SV,Order of Subject and Verb,Skou,,,Voorhoeve 1971
6,83A,OV,Order of Object and Verb,Skou,,,Voorhoeve 1971
7,85A,Postpositions,Order of Adposition and Noun Phrase,Skou,,,Voorhoeve 1971
8,86A,Genitive-Noun,Order of Genitive and Noun,Skou,,,Voorhoeve 1971
9,87A,Noun-Adjective,Order of Adjective and Noun,Skou,,,Voorhoeve 1971
10,88A,Noun-Demonstrative,Order of Demonstrative and Noun,Skou,,,Voorhoeve 1971
11,89A,Noun-Numeral,Order of Numeral and Noun,Skou,,,Voorhoeve 1971
12,92A,Final,Position of Polar Question Particles,Skou,,,Voorhoeve 1971
13,93A,Not initial interrogative phrase,Position of Interrogative Phrases in Content Questions,Skou,,,Voorhoeve 1971
14,95A,OV and Postpositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Skou,,,
15,97A,OV and NAdj,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Skou,,,
16,116A,Question particle,Polar Questions,Skou,,,Voorhoeve 1971
