,ID,Name,Parameter,Language,Frequency,Confidence,References
0,14A,Initial,Fixed Stress Locations,Slovak,,,Dogil 1999
1,15A,Fixed stress (no weight-sensitivity),Weight-Sensitive Stress,Slovak,,,Dogil 1999
2,16A,No weight,Weight Factors in Weight-Sensitive Stress Systems,Slovak,,,Dogil 1999
3,17A,Trochaic,Rhythm Types,Slovak,,,Dogil 1999
4,47A,Differentiated,Intensifiers and Reflexive Pronouns,Slovak,,,Short 1993c
5,53A,"First, second, three-th",Ordinal Numerals,Slovak,,,Baláz and Darovec 1978
6,79A,Tense and aspect,Suppletion According to Tense and Aspect,Slovak,,,De Bray 1980a
7,79B,None (= no suppletive imperatives reported in the reference material),Suppletion in Imperatives and Hortatives,Slovak,,,
8,80A,None,Verbal Number and Suppletion,Slovak,,,De Bray 1980a
9,129A,Identical,Hand and Arm,Slovak,,,Trnka 1992
10,130A,Different,Finger and Hand,Slovak,,,Trnka 1992
11,138A,Words derived from Sinitic cha,Tea,Slovak,,,Malherbe and Rosenberg 1996
12,142A,Affective meanings,Para-Linguistic Usages of Clicks,Slovak,,,
