,ID,Name,Parameter,Language,Frequency,Confidence,References
0,47A,Identical,Intensifiers and Reflexive Pronouns,Soninke,,,
1,72A,Minimal system,Imperative-Hortative Systems,Soninke,,,Diagana 1995
2,73A,Inflectional optative absent,The Optative,Soninke,,,Diagana 1995
3,81A,SOV,"Order of Subject, Object and Verb",Soninke,,,Diagana 1995
4,82A,SV,Order of Subject and Verb,Soninke,,,Diagana 1995
5,83A,OV,Order of Object and Verb,Soninke,,,Diagana 1995
6,87A,Noun-Adjective,Order of Adjective and Noun,Soninke,,,Diagana 1995
7,92A,Final,Position of Polar Question Particles,Soninke,,,Diagana 1995
8,93A,Not initial interrogative phrase,Position of Interrogative Phrases in Content Questions,Soninke,,,Diagana 1995
9,97A,OV and NAdj,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Soninke,,,
10,101A,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Soninke,,,Diagana 1995
11,112A,Negative particle,Negative Morphemes,Soninke,,,Diagana 1995
12,116A,Question particle,Polar Questions,Soninke,,,Diagana 1995
13,138A,Others,Tea,Soninke,,,Malherbe and Rosenberg 1996
14,143A,NegV,Order of Negative Morpheme and Verb,Soninke,,,Diagana 1995
15,143E,NegV,Preverbal Negative Morphemes,Soninke,,,Diagana 1995
16,143F,None,Postverbal Negative Morphemes,Soninke,,,Diagana 1995
17,143G,None,Minor morphological means of signaling negation,Soninke,,,Diagana 1995
18,144A,SNegOV,"Position of Negative Word With Respect to Subject, Object, and Verb",Soninke,,,Diagana 1995
19,144B,"Preverbal, not beginning or immed",Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,Soninke,,,Diagana 1995
20,144L,SNegOV,The Position of Negative Morphemes in SOV Languages,Soninke,,,Diagana 1995
21,144P,No NegSOV,NegSOV Order,Soninke,,,Diagana 1995
22,144Q,NoDoubleNeg,SNegOV Order,Soninke,,,Diagana 1995
23,144R,No SONegV,SONegV Order,Soninke,,,Diagana 1995
24,144S,NoSOVNeg,SOVNeg Order,Soninke,,,Diagana 1995
