,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Moderately large,Consonant Inventories,Soqotri,,,Johnstone 1975
1,2A,Average (5-6),Vowel Quality Inventories,Soqotri,,,Johnstone 1975
2,3A,Moderately high,Consonant-Vowel Ratio,Soqotri,,,Johnstone 1975
3,4A,In both plosives and fricatives,Voicing in Plosives and Fricatives,Soqotri,,,Johnstone 1975
4,5A,Missing /p/,Voicing and Gaps in Plosive Systems,Soqotri,,,Johnstone 1975
5,6A,None,Uvular Consonants,Soqotri,,,Johnstone 1975
6,7A,Ejectives and glottalized resonants,Glottalized Consonants,Soqotri,,,Johnstone 1975
7,8A,"/l/, no obstruent laterals",Lateral Consonants,Soqotri,,,Johnstone 1975
8,9A,No velar nasal,The Velar Nasal,Soqotri,,,Lonnet and Simeone-Senelle 1997
9,11A,None,Front Rounded Vowels,Soqotri,,,Johnstone 1975
10,12A,Complex,Syllable Structure,Soqotri,,,Johnstone 1975
11,13A,No tones,Tone,Soqotri,,,Johnstone 1975
12,18A,All present,Absence of Common Consonants,Soqotri,,,Johnstone 1975
13,19A,Pharyngeals,Presence of Uncommon Consonants,Soqotri,,,Johnstone 1975
14,34A,"All nouns, always obligatory",Occurrence of Nominal Plurality,Soqotri,,,Simeone-Senelle 1997
15,124A,Subject is expressed overtly,'Want' Complement Subjects,Soqotri,,,Simeone-Senelle 1997
