,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Average,Consonant Inventories,Spanish,,,Harris 1969a
1,2A,Average (5-6),Vowel Quality Inventories,Spanish,,,Harris 1969a
2,3A,Average,Consonant-Vowel Ratio,Spanish,,,Harris 1969a
3,4A,In fricatives alone,Voicing in Plosives and Fricatives,Spanish,,,Harris 1969a
4,5A,Other,Voicing and Gaps in Plosive Systems,Spanish,,,Harris 1969a
5,6A,None,Uvular Consonants,Spanish,,,Harris 1969a
6,7A,No glottalized consonants,Glottalized Consonants,Spanish,,,Harris 1969a
7,8A,"/l/, no obstruent laterals",Lateral Consonants,Spanish,,,Harris 1969a
8,9A,No velar nasal,The Velar Nasal,Spanish,,,
9,10A,Contrast absent,Vowel Nasalization,Spanish,,,Green 1988
10,11A,None,Front Rounded Vowels,Spanish,,,Harris 1969a
11,12A,Moderately complex,Syllable Structure,Spanish,,,Harris 1969a
12,13A,No tones,Tone,Spanish,,,Harris 1969a
13,14A,No fixed stress,Fixed Stress Locations,Spanish,,,Harris 1969a
14,15A,Right-edge: Ultimate or penultimate,Weight-Sensitive Stress,Spanish,,,Harris 1969a
15,16A,Combined,Weight Factors in Weight-Sensitive Stress Systems,Spanish,,,Harris 1969a
16,17A,Trochaic,Rhythm Types,Spanish,,,Harris 1969a
17,18A,All present,Absence of Common Consonants,Spanish,,,Harris 1969a
18,19A,'Th' sounds,Presence of Uncommon Consonants,Spanish,,,Harris 1969a
19,20A,Exclusively concatenative,Fusion of Selected Inflectional Formatives,Spanish,,,Butt and Benjamin 2000
20,21A,Monoexponential case,Exponence of Selected Inflectional Formatives,Spanish,,,Butt and Benjamin 2000
21,21B,TAM+agreement,Exponence of Tense-Aspect-Mood Inflection,Spanish,,,Butt and Benjamin 2000
22,22A,4-5 categories per word,Inflectional Synthesis of the Verb,Spanish,,,Butt and Benjamin 2000
23,23A,Double marking,Locus of Marking in the Clause,Spanish,,,
24,24A,Dependent marking,Locus of Marking in Possessive Noun Phrases,Spanish,,,
25,25A,Inconsistent or other,Locus of Marking: Whole-language Typology,Spanish,,,
26,25B,Non-zero marking,Zero Marking of A and P Arguments,Spanish,,,
27,26A,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Spanish,,,Green 1988
28,27A,No productive reduplication,Reduplication,Spanish,,,Lopez 2001
29,28A,Core and non-core,Case Syncretism,Spanish,,,Butt and Benjamin 2000
30,29A,Syncretic,Syncretism in Verbal Person/Number Marking,Spanish,,,Butt and Benjamin 2000
31,30A,Two,Number of Genders,Spanish,,,
32,31A,Sex-based,Sex-based and Non-sex-based Gender Systems,Spanish,,,
33,32A,Semantic and formal,Systems of Gender Assignment,Spanish,,,
34,33A,Plural suffix,Coding of Nominal Plurality,Spanish,,,
35,34A,"All nouns, always obligatory",Occurrence of Nominal Plurality,Spanish,,,
36,35A,Person-number stem + pronominal plural affix,Plurality in Independent Personal Pronouns,Spanish,,,
37,36A,No associative plural,The Associative Plural,Spanish,,,
38,37A,Definite word distinct from demonstrative,Definite Articles,Spanish,,,Green 1988
39,38A,Indefinite word same as 'one',Indefinite Articles,Spanish,,,Green 1988
40,39A,No inclusive/exclusive,Inclusive/Exclusive Distinction in Independent Pronouns,Spanish,,,
41,40A,No inclusive/exclusive,Inclusive/Exclusive Distinction in Verbal Inflection,Spanish,,,
42,41A,Three-way contrast,Distance Contrasts in Demonstratives,Spanish,,,
43,42A,Identical,Pronominal and Adnominal Demonstratives,Spanish,,,
44,43A,Unrelated,Third Person Pronouns and Demonstratives,Spanish,,,Green 1988
45,44A,In 3rd person + 1st and/or 2nd person,Gender Distinctions in Independent Personal Pronouns,Spanish,,,Green 1988
46,45A,Binary politeness distinction,Politeness Distinctions in Pronouns,Spanish,,,Berschin et.al. 1995
47,46A,Special,Indefinite Pronouns,Spanish,,,
48,47A,Differentiated,Intensifiers and Reflexive Pronouns,Spanish,,,Otero 1999
49,48A,No person marking,Person Marking on Adpositions,Spanish,,,Green 1988
50,49A,No morphological case-marking,Number of Cases,Spanish,,,Butt and Benjamin 2000
51,50A,Additive-quantitatively asymmetrical,Asymmetrical Case-Marking,Spanish,,,Butt and Benjamin 2000
52,51A,No case affixes or adpositional clitics,Position of Case Affixes,Spanish,,,
53,53A,"First, second, three-th",Ordinal Numerals,Spanish,,,
54,54A,No distributive numerals,Distributive Numerals,Spanish,,,
55,57A,No possessive affixes,Position of Pronominal Possessive Affixes,Spanish,,,
56,58A,Absent,Obligatory Possessive Inflection,Spanish,,,
57,58B,None reported,Number of Possessive Nouns,Spanish,,,
58,59A,No possessive classification,Possessive Classification,Spanish,,,
59,61A,Without marking,Adjectives without Nouns,Spanish,,,
60,62A,Ergative-Possessive,Action Nominal Constructions,Spanish,,,
61,63A,'And' different from 'with',Noun Phrase Conjunction,Spanish,,,Ashcom and Goodell 1955
62,64A,Identity,Nominal and Verbal Conjunction,Spanish,,,
63,65A,Grammatical marking,Perfective/Imperfective Aspect,Spanish,,,Dahl 1985
64,66A,"Present, no remoteness distinctions",The Past Tense,Spanish,,,Dahl 1985
65,67A,Inflectional future exists,The Future Tense,Spanish,,,Dahl 1985
66,68A,From possessive,The Perfect,Spanish,,,Dahl 1985
67,69A,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Spanish,,,
68,70A,Second singular and second plural,The Morphological Imperative,Spanish,,,
69,71A,Special imperative + normal negative,The Prohibitive,Spanish,,,
70,72A,Neither type of system,Imperative-Hortative Systems,Spanish,,,
71,73A,Inflectional optative absent,The Optative,Spanish,,,Butt and Benjamin 1994
72,74A,Verbal constructions,Situational Possibility,Spanish,,,Butt and Benjamin 1988
73,75A,Verbal constructions,Epistemic Possibility,Spanish,,,Butt and Benjamin 1988
