,ID,Name,Parameter,Language,Frequency,Confidence,References
0,9A,Initial velar nasal,The Velar Nasal,Spitian,,,Sharma 1989b
1,33A,Plural suffix,Coding of Nominal Plurality,Spitian,,,Sharma 1992
2,81A,SOV,"Order of Subject, Object and Verb",Spitian,,,Sharma 1992
3,82A,SV,Order of Subject and Verb,Spitian,,,Sharma 1992
4,83A,OV,Order of Object and Verb,Spitian,,,Sharma 1992
5,87A,Noun-Adjective,Order of Adjective and Noun,Spitian,,,Sharma 1992
6,88A,Demonstrative-Noun,Order of Demonstrative and Noun,Spitian,,,Sharma 1992
7,89A,Noun-Numeral,Order of Numeral and Noun,Spitian,,,Sharma 1992
8,91A,Degree word-Adjective,Order of Degree Word and Adjective,Spitian,,,Sharma 1992
9,93A,Not initial interrogative phrase,Position of Interrogative Phrases in Content Questions,Spitian,,,Sharma 1992
10,97A,OV and NAdj,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Spitian,,,
