,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Small,Consonant Inventories,Suena,,,Wilson 1969
1,2A,Average (5-6),Vowel Quality Inventories,Suena,,,Wilson 1969
2,3A,Moderately low,Consonant-Vowel Ratio,Suena,,,Wilson 1969
3,4A,In plosives alone,Voicing in Plosives and Fricatives,Suena,,,Wilson 1969
4,5A,None missing in /p t k b d g/,Voicing and Gaps in Plosive Systems,Suena,,,Wilson 1969
5,6A,None,Uvular Consonants,Suena,,,Wilson 1969
6,7A,No glottalized consonants,Glottalized Consonants,Suena,,,Wilson 1969
7,8A,No laterals,Lateral Consonants,Suena,,,Wilson 1969
8,9A,No velar nasal,The Velar Nasal,Suena,,,Wilson 1974
9,10A,Contrast absent,Vowel Nasalization,Suena,,,Wilson 1969
10,11A,None,Front Rounded Vowels,Suena,,,Wilson 1969
11,12A,Simple,Syllable Structure,Suena,,,Wilson 1969
12,13A,Simple tone system,Tone,Suena,,,Wilson 1969
13,18A,All present,Absence of Common Consonants,Suena,,,Wilson 1969
14,19A,None,Presence of Uncommon Consonants,Suena,,,Wilson 1969
15,23A,No marking,Locus of Marking in the Clause,Suena,,,Wilson 1974
16,24A,Dependent marking,Locus of Marking in Possessive Noun Phrases,Suena,,,Wilson 1974
17,25A,Inconsistent or other,Locus of Marking: Whole-language Typology,Suena,,,Wilson 1974
18,25B,Non-zero marking,Zero Marking of A and P Arguments,Suena,,,Wilson 1974
19,26A,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Suena,,,Wilson 1974
20,28A,Core cases only,Case Syncretism,Suena,,,Wilson 1974
21,29A,Syncretic,Syncretism in Verbal Person/Number Marking,Suena,,,Wilson 1974
22,30A,None,Number of Genders,Suena,,,Wilson 1974
23,31A,No gender,Sex-based and Non-sex-based Gender Systems,Suena,,,Wilson 1974
24,32A,No gender,Systems of Gender Assignment,Suena,,,Wilson 1974
25,34A,"Only human nouns, optional",Occurrence of Nominal Plurality,Suena,,,Wilson 1974
26,35A,Person stem + pronominal plural affix,Plurality in Independent Personal Pronouns,Suena,,,Wilson 1974
27,39A,Inclusive/exclusive,Inclusive/Exclusive Distinction in Independent Pronouns,Suena,,,Wilson 1974
28,40A,Inclusive/exclusive,Inclusive/Exclusive Distinction in Verbal Inflection,Suena,,,Wilson 1974
29,44A,No gender distinctions,Gender Distinctions in Independent Personal Pronouns,Suena,,,Wilson 1974
30,45A,Binary politeness distinction,Politeness Distinctions in Pronouns,Suena,,,Wilson 1974
31,47A,Identical,Intensifiers and Reflexive Pronouns,Suena,,,Wilson 1974
32,48A,No person marking,Person Marking on Adpositions,Suena,,,Wilson 1974
33,49A,4 cases,Number of Cases,Suena,,,Wilson 1974
34,50A,Additive-quantitatively asymmetrical,Asymmetrical Case-Marking,Suena,,,Wilson 1974
35,51A,Case suffixes,Position of Case Affixes,Suena,,,Wilson 1974
36,55A,Absent,Numeral Classifiers,Suena,,,Nichols 1992
37,57A,No possessive affixes,Position of Pronominal Possessive Affixes,Suena,,,Wilson 1974
38,58A,Absent,Obligatory Possessive Inflection,Suena,,,Wilson 1974
39,58B,None reported,Number of Possessive Nouns,Suena,,,Wilson 1974
40,59A,No possessive classification,Possessive Classification,Suena,,,Wilson 1974
41,64A,Identity,Nominal and Verbal Conjunction,Suena,,,Wilson 1974
42,65A,No grammatical marking,Perfective/Imperfective Aspect,Suena,,,Wilson 1974
43,66A,"Present, 2-3 remoteness distinctions",The Past Tense,Suena,,,Wilson 1974
44,67A,Inflectional future exists,The Future Tense,Suena,,,Wilson 1974
45,68A,No perfect,The Perfect,Suena,,,Wilson 1974
46,69A,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Suena,,,Wilson 1974
47,70A,Second singular and second plural,The Morphological Imperative,Suena,,,Wilson 1974
48,72A,Neither type of system,Imperative-Hortative Systems,Suena,,,Wilson 1974
49,73A,Inflectional optative absent,The Optative,Suena,,,Wilson 1974
50,74A,Verbal constructions,Situational Possibility,Suena,,,Wilson 1974
51,77A,Indirect only,Semantic Distinctions of Evidentiality,Suena,,,Wilson 1974
52,78A,Separate particle,Coding of Evidentiality,Suena,,,Wilson 1974
53,79A,Tense,Suppletion According to Tense and Aspect,Suena,,,Wilson 1974
54,79B,None (= no suppletive imperatives reported in the reference material),Suppletion in Imperatives and Hortatives,Suena,,,
55,80A,None,Verbal Number and Suppletion,Suena,,,Wilson 1974
56,81A,SOV,"Order of Subject, Object and Verb",Suena,,,Wilson 1974
57,82A,SV,Order of Subject and Verb,Suena,,,Wilson 1974
