,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Large,Consonant Inventories,Sui,,,Li 1948
1,2A,Large (7-14),Vowel Quality Inventories,Sui,,,Li 1948
2,3A,High,Consonant-Vowel Ratio,Sui,,,Li 1948
3,4A,In both plosives and fricatives,Voicing in Plosives and Fricatives,Sui,,,Li 1948
4,5A,Missing /g/,Voicing and Gaps in Plosive Systems,Sui,,,Li 1948
5,6A,Uvular stops and continuants,Uvular Consonants,Sui,,,Li 1948
6,7A,Implosives and glottalized resonants,Glottalized Consonants,Sui,,,Li 1948
7,8A,"/l/, no obstruent laterals",Lateral Consonants,Sui,,,Li 1948
8,11A,None,Front Rounded Vowels,Sui,,,Li 1948
9,12A,Moderately complex,Syllable Structure,Sui,,,Li 1948
10,13A,Complex tone system,Tone,Sui,,,Li 1948
11,18A,All present,Absence of Common Consonants,Sui,,,Li 1948
12,19A,None,Presence of Uncommon Consonants,Sui,,,Li 1948
