,ID,Name,Parameter,Language,Frequency,Confidence,References
0,14A,No fixed stress,Fixed Stress Locations,Swedish,,,Bruce 1999a
1,15A,Right-oriented: One of the last three,Weight-Sensitive Stress,Swedish,,,Bruce 1999a
2,16A,Long vowel or coda consonant,Weight Factors in Weight-Sensitive Stress Systems,Swedish,,,Bruce 1999a
3,17A,No rhythmic stress,Rhythm Types,Swedish,,,Bruce 1999a
4,26A,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Swedish,,,Holmes and Hinchliffe 1994
5,33A,Plural suffix,Coding of Nominal Plurality,Swedish,,,Holmes and Hinchliffe 1994
6,34A,"All nouns, always obligatory",Occurrence of Nominal Plurality,Swedish,,,Holmes and Hinchliffe 1994
7,37A,Definite affix,Definite Articles,Swedish,,,Holmes and Hinchliffe 1994
8,38A,Indefinite word same as 'one',Indefinite Articles,Swedish,,,Holmes and Hinchliffe 1994
9,41A,Two-way contrast,Distance Contrasts in Demonstratives,Swedish,,,
10,42A,Identical,Pronominal and Adnominal Demonstratives,Swedish,,,
11,45A,Binary politeness distinction,Politeness Distinctions in Pronouns,Swedish,,,Ritte 1998
12,46A,Special,Indefinite Pronouns,Swedish,,,Holmes and Hinchliffe 1994
13,47A,Identical,Intensifiers and Reflexive Pronouns,Swedish,,,Holmes and Hinchliffe 1994
14,49A,2 cases,Number of Cases,Swedish,,,Holmes and Hinchliffe 1994
15,50A,Additive-quantitatively asymmetrical,Asymmetrical Case-Marking,Swedish,,,Holmes and Hinchliffe 1994
16,51A,No case affixes or adpositional clitics,Position of Case Affixes,Swedish,,,McClean 1963
17,52A,Identity,Comitatives and Instrumentals,Swedish,,,Holm and Nylund Lindgren 1977
18,53A,"First, second, three-th",Ordinal Numerals,Swedish,,,Holm and Nylund Lindgren 1977
19,57A,No possessive affixes,Position of Pronominal Possessive Affixes,Swedish,,,McClean 1963
20,62A,Other,Action Nominal Constructions,Swedish,,,
21,63A,'And' different from 'with',Noun Phrase Conjunction,Swedish,,,Hammar 1958
22,65A,No grammatical marking,Perfective/Imperfective Aspect,Swedish,,,Dahl 1985
23,66A,"Present, no remoteness distinctions",The Past Tense,Swedish,,,Dahl 1985
24,67A,No inflectional future,The Future Tense,Swedish,,,Dahl 1985
25,68A,From possessive,The Perfect,Swedish,,,Dahl 1985
26,69A,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Swedish,,,McClean 1963
27,70A,Second person number-neutral,The Morphological Imperative,Swedish,,,Holmes and Hinchliffe 1994
28,71A,Normal imperative + normal negative,The Prohibitive,Swedish,,,Holmes and Hinchliffe 1994
29,72A,Neither type of system,Imperative-Hortative Systems,Swedish,,,
