,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Moderately small,Consonant Inventories,Tagalog,,,Bloomfield 1917
1,2A,Average (5-6),Vowel Quality Inventories,Tagalog,,,Bloomfield 1917
2,3A,Average,Consonant-Vowel Ratio,Tagalog,,,Bloomfield 1917
3,4A,In plosives alone,Voicing in Plosives and Fricatives,Tagalog,,,Bloomfield 1917
4,5A,None missing in /p t k b d g/,Voicing and Gaps in Plosive Systems,Tagalog,,,Bloomfield 1917
5,6A,None,Uvular Consonants,Tagalog,,,Bloomfield 1917
6,7A,No glottalized consonants,Glottalized Consonants,Tagalog,,,Bloomfield 1917
7,8A,"/l/, no obstruent laterals",Lateral Consonants,Tagalog,,,Bloomfield 1917
8,9A,Initial velar nasal,The Velar Nasal,Tagalog,,,Schachter and Otanes 1972
9,10A,Contrast absent,Vowel Nasalization,Tagalog,,,Llamzon 1976
10,11A,None,Front Rounded Vowels,Tagalog,,,Bloomfield 1917
11,12A,Moderately complex,Syllable Structure,Tagalog,,,Bloomfield 1917
12,13A,No tones,Tone,Tagalog,,,Bloomfield 1917
13,14A,Penultimate,Fixed Stress Locations,Tagalog,,,Bloomfield 1917
14,15A,Fixed stress (no weight-sensitivity),Weight-Sensitive Stress,Tagalog,,,Bloomfield 1917
15,16A,Lexical stress,Weight Factors in Weight-Sensitive Stress Systems,Tagalog,,,Bloomfield 1917
16,17A,Trochaic,Rhythm Types,Tagalog,,,Bloomfield 1917
17,18A,All present,Absence of Common Consonants,Tagalog,,,Bloomfield 1917
18,19A,None,Presence of Uncommon Consonants,Tagalog,,,Bloomfield 1917
19,20A,Exclusively concatenative,Fusion of Selected Inflectional Formatives,Tagalog,,,Schachter and Otanes 1972
20,21A,Case + referentiality,Exponence of Selected Inflectional Formatives,Tagalog,,,Schachter and Otanes 1972
21,21B,monoexponential TAM,Exponence of Tense-Aspect-Mood Inflection,Tagalog,,,Schachter and Otanes 1972
22,22A,2-3 categories per word,Inflectional Synthesis of the Verb,Tagalog,,,Himmelmann 1999
23,23A,Double marking,Locus of Marking in the Clause,Tagalog,,,Schachter and Otanes 1972
24,24A,Other,Locus of Marking in Possessive Noun Phrases,Tagalog,,,Schachter and Otanes 1972
25,25A,Inconsistent or other,Locus of Marking: Whole-language Typology,Tagalog,,,Schachter and Otanes 1972
26,25B,Non-zero marking,Zero Marking of A and P Arguments,Tagalog,,,Schachter and Otanes 1972
27,26A,Little affixation,Prefixing vs. Suffixing in Inflectional Morphology,Tagalog,,,Kroeger 1993
28,27A,Productive full and partial reduplication,Reduplication,Tagalog,,,Rubino 1998a
29,28A,No case marking,Case Syncretism,Tagalog,,,Kruz and Shkarban 1966
30,29A,No subject person/number marking,Syncretism in Verbal Person/Number Marking,Tagalog,,,Kruz and Shkarban 1966
31,30A,Two,Number of Genders,Tagalog,,,Schachter and Otanes 1972
32,31A,Sex-based,Sex-based and Non-sex-based Gender Systems,Tagalog,,,Schachter and Otanes 1972
33,32A,Semantic,Systems of Gender Assignment,Tagalog,,,Schachter and Otanes 1972
34,33A,Plural word,Coding of Nominal Plurality,Tagalog,,,Schachter and Otanes 1972
35,34A,"All nouns, always optional",Occurrence of Nominal Plurality,Tagalog,,,Schachter and Otanes 1972
36,35A,Person-number stem,Plurality in Independent Personal Pronouns,Tagalog,,,Schachter and Otanes 1972
37,36A,Unique periphrastic associative plural,The Associative Plural,Tagalog,,,Schachter and Otanes 1972
38,39A,Inclusive/exclusive,Inclusive/Exclusive Distinction in Independent Pronouns,Tagalog,,,Schachter and Otanes 1972
39,40A,No person marking,Inclusive/Exclusive Distinction in Verbal Inflection,Tagalog,,,Schachter and Otanes 1972
40,41A,Three-way contrast,Distance Contrasts in Demonstratives,Tagalog,,,Schachter and Otanes 1972
41,42A,Identical,Pronominal and Adnominal Demonstratives,Tagalog,,,
42,43A,Unrelated,Third Person Pronouns and Demonstratives,Tagalog,,,Schachter and Otanes 1972
43,44A,No gender distinctions,Gender Distinctions in Independent Personal Pronouns,Tagalog,,,Schachter and Otanes 1972
44,45A,Multiple politeness distinctions,Politeness Distinctions in Pronouns,Tagalog,,,Schachter and Otanes 1972
45,46A,Existential construction,Indefinite Pronouns,Tagalog,,,Schachter and Otanes 1972
46,47A,Differentiated,Intensifiers and Reflexive Pronouns,Tagalog,,,Schachter and Otanes 1972
47,48A,No adpositions,Person Marking on Adpositions,Tagalog,,,Schachter and Otanes 1972
48,49A,No morphological case-marking,Number of Cases,Tagalog,,,Schachter and Otanes 1972
49,50A,Additive-quantitatively asymmetrical,Asymmetrical Case-Marking,Tagalog,,,Schachter and Otanes 1972
