,ID,Name,Parameter,Language,Frequency,Confidence,References
0,30A,Two,Number of Genders,Taiap,,,Kulick and Stroud 1992
1,31A,Sex-based,Sex-based and Non-sex-based Gender Systems,Taiap,,,Kulick and Stroud 1992
2,32A,Semantic,Systems of Gender Assignment,Taiap,,,Kulick and Stroud 1992
3,44A,3rd person singular only,Gender Distinctions in Independent Personal Pronouns,Taiap,,,Kulick and Stroud 1992
4,48A,No adpositions,Person Marking on Adpositions,Taiap,,,Kulick and Stroud 1992
5,100A,Split,Alignment of Verbal Person Marking,Taiap,,,Kulick and Stroud 1992
6,102A,Both the A and P arguments,Verbal Person Marking,Taiap,,,Kulick and Stroud 1992
7,103A,No zero realization,Third Person Zero of Verbal Person Marking,Taiap,,,Kulick and Stroud 1992
8,104A,P precedes A,Order of Person Markers on the Verb,Taiap,,,Kulick and Stroud 1992
9,107A,Absent,Passive Constructions,Taiap,,,Kulick and Stroud 1992
10,108A,No antipassive,Antipassive Constructions,Taiap,,,Kulick and Stroud 1992
11,108B,no antipassive,Productivity of the Antipassive Construction,Taiap,,,Kulick and Stroud 1992
12,109A,Benefactive and other; only transitive,Applicative Constructions,Taiap,,,Kulick and Stroud 1992
13,109B,No other roles (= Only benefactive),Other Roles of Applied Objects,Taiap,,,
