,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Average,Consonant Inventories,Tama,,,Tucker and Bryan 1966
1,2A,Large (7-14),Vowel Quality Inventories,Tama,,,Tucker and Bryan 1966
2,3A,Moderately low,Consonant-Vowel Ratio,Tama,,,Tucker and Bryan 1966
3,4A,In plosives alone,Voicing in Plosives and Fricatives,Tama,,,Tucker and Bryan 1966
4,5A,Missing /p/,Voicing and Gaps in Plosive Systems,Tama,,,Tucker and Bryan 1966
5,6A,None,Uvular Consonants,Tama,,,Tucker and Bryan 1966
6,7A,Implosives only,Glottalized Consonants,Tama,,,Tucker and Bryan 1966
7,8A,"/l/, no obstruent laterals",Lateral Consonants,Tama,,,Tucker and Bryan 1966
8,11A,None,Front Rounded Vowels,Tama,,,Tucker and Bryan 1966
9,12A,Moderately complex,Syllable Structure,Tama,,,Tucker and Bryan 1966
10,13A,Complex tone system,Tone,Tama,,,Tucker and Bryan 1966
11,18A,All present,Absence of Common Consonants,Tama,,,Tucker and Bryan 1966
12,19A,Pharyngeals,Presence of Uncommon Consonants,Tama,,,Tucker and Bryan 1966
13,26A,Weakly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Tama,,,Tucker and Bryan 1966
14,33A,Plural suffix,Coding of Nominal Plurality,Tama,,,Tucker and Bryan 1966
15,37A,Definite affix,Definite Articles,Tama,,,Tucker and Bryan 1966
16,51A,Case suffixes,Position of Case Affixes,Tama,,,Tucker and Bryan 1966
17,57A,No possessive affixes,Position of Pronominal Possessive Affixes,Tama,,,Tucker and Bryan 1966
18,69A,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Tama,,,Tucker and Bryan 1966
19,81A,SOV,"Order of Subject, Object and Verb",Tama,,,Tucker and Bryan 1966
20,82A,SV,Order of Subject and Verb,Tama,,,Tucker and Bryan 1966
21,83A,OV,Order of Object and Verb,Tama,,,Tucker and Bryan 1966
22,86A,Genitive-Noun,Order of Genitive and Noun,Tama,,,Tucker and Bryan 1966
23,87A,Noun-Adjective,Order of Adjective and Noun,Tama,,,Tucker and Bryan 1966
24,97A,OV and NAdj,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Tama,,,
25,112A,Negative affix,Negative Morphemes,Tama,,,Tucker and Bryan 1966
26,143A,[V-Neg],Order of Negative Morpheme and Verb,Tama,,,Tucker and Bryan 1966
27,143E,None,Preverbal Negative Morphemes,Tama,,,Tucker and Bryan 1966
28,143F,[V-Neg],Postverbal Negative Morphemes,Tama,,,Tucker and Bryan 1966
29,143G,None,Minor morphological means of signaling negation,Tama,,,Tucker and Bryan 1966
30,144A,MorphNeg,"Position of Negative Word With Respect to Subject, Object, and Verb",Tama,,,Tucker and Bryan 1966
31,144L,SO[V-Neg],The Position of Negative Morphemes in SOV Languages,Tama,,,Tucker and Bryan 1966
32,144P,No NegSOV,NegSOV Order,Tama,,,Tucker and Bryan 1966
33,144Q,No SNegOV,SNegOV Order,Tama,,,Tucker and Bryan 1966
34,144R,No SONegV,SONegV Order,Tama,,,Tucker and Bryan 1966
35,144S,Suffix&NoDoubleNeg,SOVNeg Order,Tama,,,Tucker and Bryan 1966
