,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Moderately large,Consonant Inventories,Tarok,,,Robinson 1976
1,2A,Average (5-6),Vowel Quality Inventories,Tarok,,,Robinson 1976
2,3A,Average,Consonant-Vowel Ratio,Tarok,,,Robinson 1976
3,4A,In both plosives and fricatives,Voicing in Plosives and Fricatives,Tarok,,,Robinson 1976
4,5A,None missing in /p t k b d g/,Voicing and Gaps in Plosive Systems,Tarok,,,Robinson 1976
5,6A,None,Uvular Consonants,Tarok,,,Robinson 1976
6,7A,Implosives only,Glottalized Consonants,Tarok,,,Robinson 1976
7,8A,"/l/, no obstruent laterals",Lateral Consonants,Tarok,,,Robinson 1976
8,11A,None,Front Rounded Vowels,Tarok,,,Robinson 1976
9,12A,Moderately complex,Syllable Structure,Tarok,,,Robinson 1976
10,13A,Complex tone system,Tone,Tarok,,,Robinson 1976
11,18A,All present,Absence of Common Consonants,Tarok,,,Robinson 1976
12,19A,Labial-velars,Presence of Uncommon Consonants,Tarok,,,Robinson 1976
