,ID,Name,Parameter,Language,Frequency,Confidence,References
0,33A,Plural suffix,Coding of Nominal Plurality,Tati (Southern),,,Yar-Shater 1969
1,37A,"No definite, but indefinite article",Definite Articles,Tati (Southern),,,Yar-Shater 1969
2,38A,Indefinite word same as 'one',Indefinite Articles,Tati (Southern),,,Yar-Shater 1969
3,49A,2 cases,Number of Cases,Tati (Southern),,,Yar-Shater 1969
4,50A,Additive-quantitatively asymmetrical,Asymmetrical Case-Marking,Tati (Southern),,,Yar-Shater 1969
5,55A,Optional,Numeral Classifiers,Tati (Southern),,,
6,60A,Highly differentiated,"Genitives, Adjectives and Relative Clauses",Tati (Southern),,,
7,85A,Postpositions,Order of Adposition and Noun Phrase,Tati (Southern),,,Yar-Shater 1969
8,86A,Genitive-Noun,Order of Genitive and Noun,Tati (Southern),,,Yar-Shater 1969
9,87A,Adjective-Noun,Order of Adjective and Noun,Tati (Southern),,,Yar-Shater 1969
10,112A,Negative affix,Negative Morphemes,Tati (Southern),,,Yar-Shater 1969
11,143A,[Neg-V],Order of Negative Morpheme and Verb,Tati (Southern),,,Yar-Shater 1969
12,143E,[Neg-V],Preverbal Negative Morphemes,Tati (Southern),,,Yar-Shater 1969
13,143F,None,Postverbal Negative Morphemes,Tati (Southern),,,Yar-Shater 1969
14,143G,None,Minor morphological means of signaling negation,Tati (Southern),,,Yar-Shater 1969
