,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Average,Consonant Inventories,Teke (Southern),,,Paulian 1975
1,2A,Large (7-14),Vowel Quality Inventories,Teke (Southern),,,Paulian 1975
2,3A,Average,Consonant-Vowel Ratio,Teke (Southern),,,Paulian 1975
3,4A,In plosives alone,Voicing in Plosives and Fricatives,Teke (Southern),,,Paulian 1975
4,5A,None missing in /p t k b d g/,Voicing and Gaps in Plosive Systems,Teke (Southern),,,Paulian 1975
5,6A,None,Uvular Consonants,Teke (Southern),,,Paulian 1975
6,7A,No glottalized consonants,Glottalized Consonants,Teke (Southern),,,Paulian 1975
7,8A,"/l/, no obstruent laterals",Lateral Consonants,Teke (Southern),,,Paulian 1975
8,11A,None,Front Rounded Vowels,Teke (Southern),,,Paulian 1975
9,13A,Simple tone system,Tone,Teke (Southern),,,Paulian 1975
10,18A,All present,Absence of Common Consonants,Teke (Southern),,,Paulian 1975
11,19A,None,Presence of Uncommon Consonants,Teke (Southern),,,Paulian 1975
