,ID,Name,Parameter,Language,Frequency,Confidence,References
0,23A,Head marking,Locus of Marking in the Clause,Telefol,,,Healey 1964
1,24A,Head marking,Locus of Marking in Possessive Noun Phrases,Telefol,,,Healey 1964
2,25A,Head-marking,Locus of Marking: Whole-language Typology,Telefol,,,Healey 1964
3,25B,Non-zero marking,Zero Marking of A and P Arguments,Telefol,,,Healey 1964
4,33A,Plural suffix,Coding of Nominal Plurality,Telefol,,,Healey 1965a
5,36A,Unique periphrastic associative plural,The Associative Plural,Telefol,,,Healey 1965a
6,37A,"No definite, but indefinite article",Definite Articles,Telefol,,,Healey 1965a
7,55A,Absent,Numeral Classifiers,Telefol,,,Nichols 1992
8,58A,Absent,Obligatory Possessive Inflection,Telefol,,,Healey 1964
9,58B,None reported,Number of Possessive Nouns,Telefol,,,Healey 1964
10,59A,No possessive classification,Possessive Classification,Telefol,,,Healey 1964
11,81A,SOV,"Order of Subject, Object and Verb",Telefol,,,Healey 1965a
12,82A,SV,Order of Subject and Verb,Telefol,,,Healey 1965a
13,83A,OV,Order of Object and Verb,Telefol,,,Healey 1965a
14,84A,XOV,"Order of Object, Oblique, and Verb",Telefol,,,Healey 1965a
15,85A,Postpositions,Order of Adposition and Noun Phrase,Telefol,,,Healey 1965c
16,86A,Genitive-Noun,Order of Genitive and Noun,Telefol,,,Healey 1965c
17,87A,Noun-Adjective,Order of Adjective and Noun,Telefol,,,Healey 1965c
18,88A,Mixed,Order of Demonstrative and Noun,Telefol,,,Healey 1965a
19,89A,Noun-Numeral,Order of Numeral and Noun,Telefol,,,Healey 1965c
20,95A,OV and Postpositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Telefol,,,
21,97A,OV and NAdj,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Telefol,,,
22,129A,Different,Hand and Arm,Telefol,,,Healey and Healey 1977
23,130A,Different,Finger and Hand,Telefol,,,Healey and Healey 1977
24,136A,No M-T pronouns,M-T Pronouns,Telefol,,,Healey 1965a
25,136B,No m in first person singular,M in First Person Singular,Telefol,,,Healey 1965a
26,137A,No N-M pronouns,N-M Pronouns,Telefol,,,Healey 1965a
27,137B,m in second person singular,M in Second Person Singular,Telefol,,,Healey 1965a
