,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Moderately small,Consonant Inventories,Temein,,,Tucker and Bryan 1966
1,2A,Large (7-14),Vowel Quality Inventories,Temein,,,Tucker and Bryan 1966
2,3A,Moderately low,Consonant-Vowel Ratio,Temein,,,Tucker and Bryan 1966
3,4A,In plosives alone,Voicing in Plosives and Fricatives,Temein,,,Tucker and Bryan 1966
4,5A,None missing in /p t k b d g/,Voicing and Gaps in Plosive Systems,Temein,,,Tucker and Bryan 1966
5,6A,None,Uvular Consonants,Temein,,,Tucker and Bryan 1966
6,7A,No glottalized consonants,Glottalized Consonants,Temein,,,Tucker and Bryan 1966
7,8A,"/l/, no obstruent laterals",Lateral Consonants,Temein,,,Tucker and Bryan 1966
8,11A,None,Front Rounded Vowels,Temein,,,Tucker and Bryan 1966
9,12A,Moderately complex,Syllable Structure,Temein,,,Tucker and Bryan 1966
10,13A,Simple tone system,Tone,Temein,,,Tucker and Bryan 1966
11,18A,All present,Absence of Common Consonants,Temein,,,Tucker and Bryan 1966
12,19A,None,Presence of Uncommon Consonants,Temein,,,Tucker and Bryan 1966
13,26A,Weakly prefixing,Prefixing vs. Suffixing in Inflectional Morphology,Temein,,,Tucker and Bryan 1966
14,33A,Mixed morphological plural,Coding of Nominal Plurality,Temein,,,Tucker and Bryan 1966
15,51A,Case suffixes,Position of Case Affixes,Temein,,,Tucker and Bryan 1966
16,69A,Tense-aspect prefixes,Position of Tense-Aspect Affixes,Temein,,,Tucker and Bryan 1966
17,81A,SVO,"Order of Subject, Object and Verb",Temein,,,Tucker and Bryan 1966
18,82A,SV,Order of Subject and Verb,Temein,,,Tucker and Bryan 1966
19,83A,VO,Order of Object and Verb,Temein,,,Tucker and Bryan 1966
20,86A,Noun-Genitive,Order of Genitive and Noun,Temein,,,Tucker and Bryan 1966
21,87A,Noun-Adjective,Order of Adjective and Noun,Temein,,,Tucker and Bryan 1966
22,88A,Noun-Demonstrative,Order of Demonstrative and Noun,Temein,,,Tucker and Bryan 1966
23,89A,Noun-Numeral,Order of Numeral and Noun,Temein,,,Tucker and Bryan 1966
24,97A,VO and NAdj,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Temein,,,
25,112A,Negative particle,Negative Morphemes,Temein,,,Tucker and Bryan 1966
26,143A,OptDoubleNeg,Order of Negative Morpheme and Verb,Temein,,,Tucker and Bryan 1966
27,143C,Neg[V(-Neg)],Optional Double Negation,Temein,,,Tucker and Bryan 1966
28,143E,NegV,Preverbal Negative Morphemes,Temein,,,Tucker and Bryan 1966
29,143F,[V-Neg],Postverbal Negative Morphemes,Temein,,,Tucker and Bryan 1966
30,143G,None,Minor morphological means of signaling negation,Temein,,,Tucker and Bryan 1966
31,144A,OptDoubleNeg,"Position of Negative Word With Respect to Subject, Object, and Verb",Temein,,,Tucker and Bryan 1966
32,144B,"Beginning, not immed preverbal",Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,Temein,,,Tucker and Bryan 1966
33,144D,OptNeg,The Position of Negative Morphemes in SVO Languages,Temein,,,Tucker and Bryan 1966
34,144G,NegS[V(-Neg)]O,Optional Double Negation in SVO languages,Temein,,,Tucker and Bryan 1966
35,144H,OptDoubleNeg,NegSVO Order,Temein,,,Tucker and Bryan 1966
36,144I,No SNegVO,SNegVO Order,Temein,,,Tucker and Bryan 1966
37,144J,No SVNegO,SVNegO Order,Temein,,,Tucker and Bryan 1966
38,144K,No SVONeg,SVONeg Order,Temein,,,Tucker and Bryan 1966
