,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Small,Consonant Inventories,Tetun,,,Morris 1984
1,2A,Average (5-6),Vowel Quality Inventories,Tetun,,,Morris 1984
2,3A,Moderately low,Consonant-Vowel Ratio,Tetun,,,Morris 1984
3,4A,In plosives alone,Voicing in Plosives and Fricatives,Tetun,,,Morris 1984
4,5A,Missing /g/,Voicing and Gaps in Plosive Systems,Tetun,,,Morris 1984
5,6A,None,Uvular Consonants,Tetun,,,Morris 1984
6,7A,No glottalized consonants,Glottalized Consonants,Tetun,,,Morris 1984
7,8A,"/l/, no obstruent laterals",Lateral Consonants,Tetun,,,Morris 1984
8,11A,None,Front Rounded Vowels,Tetun,,,Morris 1984
9,12A,Complex,Syllable Structure,Tetun,,,Morris 1984
10,13A,No tones,Tone,Tetun,,,Morris 1984
11,18A,All present,Absence of Common Consonants,Tetun,,,Morris 1984
12,19A,None,Presence of Uncommon Consonants,Tetun,,,Morris 1984
13,26A,Little affixation,Prefixing vs. Suffixing in Inflectional Morphology,Tetun,,,Morris 1984
14,33A,Plural word,Coding of Nominal Plurality,Tetun,,,Morris 1984
15,34A,"All nouns, always optional",Occurrence of Nominal Plurality,Tetun,,,van Klinken 1999
16,37A,Definite word distinct from demonstrative,Definite Articles,Tetun,,,van Klinken 1997
17,38A,Indefinite word same as 'one',Indefinite Articles,Tetun,,,van Klinken 1997
18,45A,Binary politeness distinction,Politeness Distinctions in Pronouns,Tetun,,,van Klinken 1999
19,51A,No case affixes or adpositional clitics,Position of Case Affixes,Tetun,,,van Klinken 1997
20,54A,Marked by reduplication,Distributive Numerals,Tetun,,,Taryono et al. 1993
21,55A,Optional,Numeral Classifiers,Tetun,,,van Klinken 1999
22,57A,No possessive affixes,Position of Pronominal Possessive Affixes,Tetun,,,van Klinken 1997
23,64A,Identity,Nominal and Verbal Conjunction,Tetun,,,van Klinken 1999
24,69A,No tense-aspect inflection,Position of Tense-Aspect Affixes,Tetun,,,van Klinken 1997
25,70A,No second-person imperatives,The Morphological Imperative,Tetun,,,van Klinken 1999
26,71A,Normal imperative + special negative,The Prohibitive,Tetun,,,van Klinken 1999
27,81A,SVO,"Order of Subject, Object and Verb",Tetun,,,van Klinken 1997
28,82A,SV,Order of Subject and Verb,Tetun,,,van Klinken 1997
29,83A,VO,Order of Object and Verb,Tetun,,,van Klinken 1997
30,84A,VOX,"Order of Object, Oblique, and Verb",Tetun,,,van Klinken 1997
31,85A,Prepositions,Order of Adposition and Noun Phrase,Tetun,,,van Klinken 1997
32,86A,Genitive-Noun,Order of Genitive and Noun,Tetun,,,Morris 1984
33,87A,Noun-Adjective,Order of Adjective and Noun,Tetun,,,Morris 1984
34,88A,Noun-Demonstrative,Order of Demonstrative and Noun,Tetun,,,van Klinken 1997
35,89A,Noun-Numeral,Order of Numeral and Noun,Tetun,,,van Klinken 1997
36,90A,Noun-Relative clause,Order of Relative Clause and Noun,Tetun,,,van Klinken 1997
37,90C,Noun-Relative clause (NRel) dominant,Postnominal relative clauses,Tetun,,,van Klinken 1997
38,91A,Adjective-Degree word,Order of Degree Word and Adjective,Tetun,,,Morris 1984
39,92A,Final,Position of Polar Question Particles,Tetun,,,van Klinken 1997
40,93A,Not initial interrogative phrase,Position of Interrogative Phrases in Content Questions,Tetun,,,van Klinken 1997
41,94A,Initial subordinator word,Order of Adverbial Subordinator and Clause,Tetun,,,van Klinken 1997
42,95A,VO and Prepositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Tetun,,,
43,96A,VO and NRel,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,Tetun,,,
44,97A,VO and NAdj,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Tetun,,,
45,105A,Mixed,Ditransitive Constructions: The Verb 'Give',Tetun,,,van Klinken 1999
46,112A,Negative particle,Negative Morphemes,Tetun,,,van Klinken 1997
47,115A,Predicate negation also present,Negative Indefinite Pronouns and Predicate Negation,Tetun,,,van Klinken 1999
48,116A,Question particle,Polar Questions,Tetun,,,van Klinken 1997
49,124A,Subject is expressed overtly,'Want' Complement Subjects,Tetun,,,van Klinken 1999
50,143A,NegV,Order of Negative Morpheme and Verb,Tetun,,,van Klinken 1997
51,143E,NegV,Preverbal Negative Morphemes,Tetun,,,van Klinken 1997
52,143F,None,Postverbal Negative Morphemes,Tetun,,,van Klinken 1997
53,143G,None,Minor morphological means of signaling negation,Tetun,,,van Klinken 1997
54,144A,SNegVO,"Position of Negative Word With Respect to Subject, Object, and Verb",Tetun,,,van Klinken 1997
55,144B,Immed preverbal,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,Tetun,,,van Klinken 1997
56,144D,SNegVO,The Position of Negative Morphemes in SVO Languages,Tetun,,,van Klinken 1997
57,144H,No NegSVO,NegSVO Order,Tetun,,,van Klinken 1997
58,144I,Word&NoDoubleNeg,SNegVO Order,Tetun,,,van Klinken 1997
59,144J,No SVNegO,SVNegO Order,Tetun,,,van Klinken 1997
60,144K,No SVONeg,SVONeg Order,Tetun,,,van Klinken 1997
