,ID,Name,Parameter,Language,Frequency,Confidence,References
0,33A,Plural suffix,Coding of Nominal Plurality,Thakali,,,Georg 1996
1,70A,Second person number-neutral,The Morphological Imperative,Thakali,,,Georg 1995
2,71A,Normal imperative + special negative,The Prohibitive,Thakali,,,Georg 1995
3,72A,Neither type of system,Imperative-Hortative Systems,Thakali,,,Georg 1995
4,73A,Inflectional optative absent,The Optative,Thakali,,,Georg 1995
5,77A,No grammatical evidentials,Semantic Distinctions of Evidentiality,Thakali,,,Georg 1996
6,78A,No grammatical evidentials,Coding of Evidentiality,Thakali,,,Georg 1996
7,81A,SOV,"Order of Subject, Object and Verb",Thakali,,,Georg 1996
8,82A,SV,Order of Subject and Verb,Thakali,,,Georg 1996
9,83A,OV,Order of Object and Verb,Thakali,,,Georg 1996
10,86A,Genitive-Noun,Order of Genitive and Noun,Thakali,,,Georg 1996
11,87A,Adjective-Noun,Order of Adjective and Noun,Thakali,,,Georg 1996
12,88A,Demonstrative-Noun,Order of Demonstrative and Noun,Thakali,,,Georg 1996
13,89A,Noun-Numeral,Order of Numeral and Noun,Thakali,,,Georg 1996
14,93A,Not initial interrogative phrase,Position of Interrogative Phrases in Content Questions,Thakali,,,Georg 1996
15,97A,OV and AdjN,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Thakali,,,
16,125A,Deranked,Purpose Clauses,Thakali,,,Georg 1996
17,126A,Deranked,'When' Clauses,Thakali,,,Georg 1996
18,127A,Balanced/deranked,Reason Clauses,Thakali,,,Georg 1996
19,128A,Deranked,Utterance Complement Clauses,Thakali,,,Georg 1996
