,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Large,Consonant Inventories,Tibetan (Standard Spoken),,,Denwood 1999
1,2A,Large (7-14),Vowel Quality Inventories,Tibetan (Standard Spoken),,,Denwood 1999
2,3A,Average,Consonant-Vowel Ratio,Tibetan (Standard Spoken),,,Denwood 1999
3,4A,In plosives alone,Voicing in Plosives and Fricatives,Tibetan (Standard Spoken),,,Denwood 1999
4,5A,None missing in /p t k b d g/,Voicing and Gaps in Plosive Systems,Tibetan (Standard Spoken),,,Denwood 1999
5,6A,None,Uvular Consonants,Tibetan (Standard Spoken),,,Denwood 1999
6,7A,No glottalized consonants,Glottalized Consonants,Tibetan (Standard Spoken),,,Denwood 1999
7,8A,"/l/, no obstruent laterals",Lateral Consonants,Tibetan (Standard Spoken),,,Denwood 1999
8,11A,High and mid,Front Rounded Vowels,Tibetan (Standard Spoken),,,Denwood 1999
9,12A,Moderately complex,Syllable Structure,Tibetan (Standard Spoken),,,Denwood 1999
10,13A,Simple tone system,Tone,Tibetan (Standard Spoken),,,Denwood 1999
11,14A,No fixed stress,Fixed Stress Locations,Tibetan (Standard Spoken),,,Goldstein and Nornang 1978
12,15A,Unbounded: Stress can be anywhere,Weight-Sensitive Stress,Tibetan (Standard Spoken),,,Goldstein and Nornang 1978
13,16A,Long vowel,Weight Factors in Weight-Sensitive Stress Systems,Tibetan (Standard Spoken),,,Goldstein and Nornang 1978
14,18A,All present,Absence of Common Consonants,Tibetan (Standard Spoken),,,Denwood 1999
15,19A,None,Presence of Uncommon Consonants,Tibetan (Standard Spoken),,,Denwood 1999
16,20A,Exclusively concatenative,Fusion of Selected Inflectional Formatives,Tibetan (Standard Spoken),,,Denwood 1999
17,21A,Monoexponential case,Exponence of Selected Inflectional Formatives,Tibetan (Standard Spoken),,,Denwood 1999
18,21B,TAM+agreement,Exponence of Tense-Aspect-Mood Inflection,Tibetan (Standard Spoken),,,Denwood 1999
19,22A,4-5 categories per word,Inflectional Synthesis of the Verb,Tibetan (Standard Spoken),,,Denwood 1999
20,23A,Dependent marking,Locus of Marking in the Clause,Tibetan (Standard Spoken),,,Denwood 1999
21,24A,Dependent marking,Locus of Marking in Possessive Noun Phrases,Tibetan (Standard Spoken),,,Denwood 1999
22,25A,Dependent-marking,Locus of Marking: Whole-language Typology,Tibetan (Standard Spoken),,,Denwood 1999
23,25B,Non-zero marking,Zero Marking of A and P Arguments,Tibetan (Standard Spoken),,,Denwood 1999
24,30A,None,Number of Genders,Tibetan (Standard Spoken),,,Denwood 1999
25,31A,No gender,Sex-based and Non-sex-based Gender Systems,Tibetan (Standard Spoken),,,Denwood 1999
26,32A,No gender,Systems of Gender Assignment,Tibetan (Standard Spoken),,,Denwood 1999
27,34A,"All nouns, always optional",Occurrence of Nominal Plurality,Tibetan (Standard Spoken),,,Denwood 1999
28,35A,Person stem + nominal plural affix,Plurality in Independent Personal Pronouns,Tibetan (Standard Spoken),,,Rerix 1961
29,43A,Unrelated,Third Person Pronouns and Demonstratives,Tibetan (Standard Spoken),,,Denwood 1999
30,45A,Binary politeness distinction,Politeness Distinctions in Pronouns,Tibetan (Standard Spoken),,,Denwood 1999
31,54A,Marked by reduplication,Distributive Numerals,Tibetan (Standard Spoken),,,Hannah 1912
32,58A,Absent,Obligatory Possessive Inflection,Tibetan (Standard Spoken),,,Denwood 1999
33,58B,None reported,Number of Possessive Nouns,Tibetan (Standard Spoken),,,Denwood 1999
34,59A,No possessive classification,Possessive Classification,Tibetan (Standard Spoken),,,Denwood 1999
35,81A,SOV,"Order of Subject, Object and Verb",Tibetan (Standard Spoken),,,Denwood 1999
36,82A,SV,Order of Subject and Verb,Tibetan (Standard Spoken),,,Denwood 1999
