,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Small,Consonant Inventories,Tigak,,,Beaumont 1979
1,2A,Average (5-6),Vowel Quality Inventories,Tigak,,,Beaumont 1979
2,3A,Moderately low,Consonant-Vowel Ratio,Tigak,,,Beaumont 1979
3,4A,In plosives alone,Voicing in Plosives and Fricatives,Tigak,,,Beaumont 1979
4,5A,Other,Voicing and Gaps in Plosive Systems,Tigak,,,Beaumont 1979
5,6A,None,Uvular Consonants,Tigak,,,Beaumont 1979
6,7A,No glottalized consonants,Glottalized Consonants,Tigak,,,Beaumont 1979
7,8A,"No /l/, but lateral obstruents",Lateral Consonants,Tigak,,,Beaumont 1979
8,11A,None,Front Rounded Vowels,Tigak,,,Beaumont 1979
9,12A,Moderately complex,Syllable Structure,Tigak,,,Beaumont 1979
10,13A,No tones,Tone,Tigak,,,Beaumont 1979
11,14A,Initial,Fixed Stress Locations,Tigak,,,Beaumont 1979
12,15A,Fixed stress (no weight-sensitivity),Weight-Sensitive Stress,Tigak,,,Beaumont 1979
13,16A,No weight,Weight Factors in Weight-Sensitive Stress Systems,Tigak,,,Beaumont 1979
14,17A,No rhythmic stress,Rhythm Types,Tigak,,,Beaumont 1979
15,18A,All present,Absence of Common Consonants,Tigak,,,Beaumont 1979
16,19A,None,Presence of Uncommon Consonants,Tigak,,,Beaumont 1979
17,26A,Little affixation,Prefixing vs. Suffixing in Inflectional Morphology,Tigak,,,Beaumont 1979
18,27A,Productive full and partial reduplication,Reduplication,Tigak,,,Beaumont 1979
19,33A,Plural word,Coding of Nominal Plurality,Tigak,,,Beaumont 1979
20,37A,Definite word distinct from demonstrative,Definite Articles,Tigak,,,Beaumont 1979
21,38A,Indefinite word distinct from 'one',Indefinite Articles,Tigak,,,Beaumont 1979
22,44A,No gender distinctions,Gender Distinctions in Independent Personal Pronouns,Tigak,,,Beaumont 1979
23,48A,Pronouns only,Person Marking on Adpositions,Tigak,,,Beaumont 1979
24,51A,No case affixes or adpositional clitics,Position of Case Affixes,Tigak,,,Beaumont 1979
25,52A,Identity,Comitatives and Instrumentals,Tigak,,,Stolz 1996
26,57A,Possessive suffixes,Position of Pronominal Possessive Affixes,Tigak,,,Beaumont 1979
27,63A,'And' different from 'with',Noun Phrase Conjunction,Tigak,,,Beaumont 1979
28,69A,No tense-aspect inflection,Position of Tense-Aspect Affixes,Tigak,,,Beaumont 1979
29,81A,SVO,"Order of Subject, Object and Verb",Tigak,,,Beaumont 1979
30,82A,SV,Order of Subject and Verb,Tigak,,,Beaumont 1979
31,83A,VO,Order of Object and Verb,Tigak,,,Beaumont 1979
32,84A,VOX,"Order of Object, Oblique, and Verb",Tigak,,,Beaumont 1979
33,85A,Prepositions,Order of Adposition and Noun Phrase,Tigak,,,Beaumont 1979
34,86A,Noun-Genitive,Order of Genitive and Noun,Tigak,,,Beaumont 1979
