,ID,Name,Parameter,Language,Frequency,Confidence,References
0,10A,Contrast absent,Vowel Nasalization,Tikar,,,Stanley 1991
1,10B,no nasal vs. oral vowel contrast,Nasal Vowels in West Africa,Tikar,,,Stanley 1991
2,34A,"All nouns, always obligatory",Occurrence of Nominal Plurality,Tikar,,,Stanley 1991
3,38A,Indefinite word distinct from 'one',Indefinite Articles,Tikar,,,Stanley 1991
4,52A,Identity,Comitatives and Instrumentals,Tikar,,,Stolz 1996
5,64A,Identity,Nominal and Verbal Conjunction,Tikar,,,Stanley 1991
6,81A,No dominant order,"Order of Subject, Object and Verb",Tikar,,,Stanley 1991
7,82A,SV,Order of Subject and Verb,Tikar,,,Stanley 1991
8,83A,No dominant order,Order of Object and Verb,Tikar,,,Hagège 1969
9,84A,No dominant order,"Order of Object, Oblique, and Verb",Tikar,,,Hagège 1969
10,86A,Noun-Genitive,Order of Genitive and Noun,Tikar,,,Stanley 1991
11,87A,Noun-Adjective,Order of Adjective and Noun,Tikar,,,Stanley 1991
12,88A,Noun-Demonstrative,Order of Demonstrative and Noun,Tikar,,,Stanley 1991
13,89A,Noun-Numeral,Order of Numeral and Noun,Tikar,,,Stanley 1991
14,95A,Other,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Tikar,,,
15,96A,Other,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,Tikar,,,
16,97A,Other,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Tikar,,,
17,105A,Double-object construction,Ditransitive Constructions: The Verb 'Give',Tikar,,,Stanley 1991
