,ID,Name,Parameter,Language,Frequency,Confidence,References
0,9A,Initial velar nasal,The Velar Nasal,Tinani,,,Sharma 1989b
1,81A,SOV,"Order of Subject, Object and Verb",Tinani,,,Sharma 1989b
2,82A,SV,Order of Subject and Verb,Tinani,,,Sharma 1989b
3,83A,OV,Order of Object and Verb,Tinani,,,Sharma 1989b
4,87A,Adjective-Noun,Order of Adjective and Noun,Tinani,,,Sharma 1989b
5,88A,Demonstrative-Noun,Order of Demonstrative and Noun,Tinani,,,Sharma 1989b
6,89A,Numeral-Noun,Order of Numeral and Noun,Tinani,,,Sharma 1989b
7,91A,Degree word-Adjective,Order of Degree Word and Adjective,Tinani,,,Sharma 1989b
8,92A,No question particle,Position of Polar Question Particles,Tinani,,,Sharma 1989b
9,97A,OV and AdjN,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Tinani,,,
10,116A,Interrogative verb morphology,Polar Questions,Tinani,,,Sharma 1989b
