,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Average,Consonant Inventories,Tiwi,,,Anderson and Maddieson 1994
1,2A,Small (2-4),Vowel Quality Inventories,Tiwi,,,Anderson and Maddieson 1994
2,3A,Moderately high,Consonant-Vowel Ratio,Tiwi,,,Anderson and Maddieson 1994
3,4A,No voicing contrast,Voicing in Plosives and Fricatives,Tiwi,,,Anderson and Maddieson 1994
4,5A,Other,Voicing and Gaps in Plosive Systems,Tiwi,,,Anderson and Maddieson 1994
5,6A,None,Uvular Consonants,Tiwi,,,Anderson and Maddieson 1994
6,7A,No glottalized consonants,Glottalized Consonants,Tiwi,,,Anderson and Maddieson 1994
7,8A,"/l/, no obstruent laterals",Lateral Consonants,Tiwi,,,Anderson and Maddieson 1994
8,9A,Initial velar nasal,The Velar Nasal,Tiwi,,,Lee 1993
9,10A,Contrast absent,Vowel Nasalization,Tiwi,,,Lee 1987
10,11A,None,Front Rounded Vowels,Tiwi,,,Anderson and Maddieson 1994
11,12A,Moderately complex,Syllable Structure,Tiwi,,,Anderson and Maddieson 1994
12,13A,No tones,Tone,Tiwi,,,Anderson and Maddieson 1994
13,14A,Penultimate,Fixed Stress Locations,Tiwi,,,Osborne 1974
14,15A,Fixed stress (no weight-sensitivity),Weight-Sensitive Stress,Tiwi,,,Osborne 1974
15,16A,No weight,Weight Factors in Weight-Sensitive Stress Systems,Tiwi,,,Osborne 1974
16,17A,Trochaic,Rhythm Types,Tiwi,,,Osborne 1974
17,18A,All present,Absence of Common Consonants,Tiwi,,,Anderson and Maddieson 1994
18,19A,None,Presence of Uncommon Consonants,Tiwi,,,Anderson and Maddieson 1994
19,20A,Exclusively concatenative,Fusion of Selected Inflectional Formatives,Tiwi,,,Osborne 1974
20,21A,No case,Exponence of Selected Inflectional Formatives,Tiwi,,,Osborne 1974
21,21B,no TAM,Exponence of Tense-Aspect-Mood Inflection,Tiwi,,,Osborne 1974
22,22A,4-5 categories per word,Inflectional Synthesis of the Verb,Tiwi,,,Osborne 1974
23,23A,Head marking,Locus of Marking in the Clause,Tiwi,,,Osborne 1974
24,24A,No marking,Locus of Marking in Possessive Noun Phrases,Tiwi,,,Osborne 1974
25,25A,Inconsistent or other,Locus of Marking: Whole-language Typology,Tiwi,,,Osborne 1974
26,25B,Non-zero marking,Zero Marking of A and P Arguments,Tiwi,,,Osborne 1974
27,26A,Strong prefixing,Prefixing vs. Suffixing in Inflectional Morphology,Tiwi,,,Osborne 1974
28,27A,Productive full and partial reduplication,Reduplication,Tiwi,,,Fabricius 1998
29,28A,No case marking,Case Syncretism,Tiwi,,,Osborne 1974
30,29A,Syncretic,Syncretism in Verbal Person/Number Marking,Tiwi,,,Osborne 1974
31,30A,Two,Number of Genders,Tiwi,,,Osborne 1974
32,31A,Sex-based,Sex-based and Non-sex-based Gender Systems,Tiwi,,,Osborne 1974
33,32A,Semantic,Systems of Gender Assignment,Tiwi,,,Osborne 1974
34,33A,Plural suffix,Coding of Nominal Plurality,Tiwi,,,Osborne 1974
35,34A,"Only human nouns, obligatory",Occurrence of Nominal Plurality,Tiwi,,,Osborne 1974
36,35A,Person-number stem,Plurality in Independent Personal Pronouns,Tiwi,,,Osborne 1974
37,37A,No definite or indefinite article,Definite Articles,Tiwi,,,Osborne 1974
38,38A,No definite or indefinite article,Indefinite Articles,Tiwi,,,Osborne 1974
39,39A,Inclusive/exclusive,Inclusive/Exclusive Distinction in Independent Pronouns,Tiwi,,,Lee 1987
40,40A,Inclusive/exclusive,Inclusive/Exclusive Distinction in Verbal Inflection,Tiwi,,,Lee 1987
41,41A,Two-way contrast,Distance Contrasts in Demonstratives,Tiwi,,,Osborne 1974
42,42A,Identical,Pronominal and Adnominal Demonstratives,Tiwi,,,Osborne 1974
43,44A,3rd person singular only,Gender Distinctions in Independent Personal Pronouns,Tiwi,,,Osborne 1974
44,45A,No politeness distinction,Politeness Distinctions in Pronouns,Tiwi,,,Osborne 1974
45,46A,Interrogative-based,Indefinite Pronouns,Tiwi,,,Osborne 1974
46,47A,Identical,Intensifiers and Reflexive Pronouns,Tiwi,,,Osborne 1974
47,48A,No person marking,Person Marking on Adpositions,Tiwi,,,Osborne 1974
48,49A,No morphological case-marking,Number of Cases,Tiwi,,,Osborne 1974
49,50A,No case-marking,Asymmetrical Case-Marking,Tiwi,,,Osborne 1974
50,51A,No case affixes or adpositional clitics,Position of Case Affixes,Tiwi,,,Osborne 1974
51,53A,None,Ordinal Numerals,Tiwi,,,Osborne 1974
52,54A,Marked by suffix,Distributive Numerals,Tiwi,,,Osborne 1974
53,55A,Absent,Numeral Classifiers,Tiwi,,,Nichols 1992
54,56A,Formally different,Conjunctions and Universal Quantifiers,Tiwi,,,Osborne 1974
55,57A,No possessive affixes,Position of Pronominal Possessive Affixes,Tiwi,,,Osborne 1974
