,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Large,Consonant Inventories,Tlingit,,,Maddieson et al. 2001
1,2A,Small (2-4),Vowel Quality Inventories,Tlingit,,,Maddieson et al. 2001
2,3A,High,Consonant-Vowel Ratio,Tlingit,,,Maddieson et al. 2001
3,4A,No voicing contrast,Voicing in Plosives and Fricatives,Tlingit,,,Maddieson et al. 2001
4,5A,Other,Voicing and Gaps in Plosive Systems,Tlingit,,,Maddieson et al. 2001
5,6A,Uvular stops and continuants,Uvular Consonants,Tlingit,,,Maddieson et al. 2001
6,7A,Ejectives only,Glottalized Consonants,Tlingit,,,Maddieson et al. 2001
7,8A,"No /l/, but lateral obstruents",Lateral Consonants,Tlingit,,,Maddieson et al. 2001
8,9A,No velar nasal,The Velar Nasal,Tlingit,,,Leer 1991b
9,10A,Contrast absent,Vowel Nasalization,Tlingit,,,Swanton 1911a
10,11A,None,Front Rounded Vowels,Tlingit,,,Maddieson et al. 2001
11,12A,Complex,Syllable Structure,Tlingit,,,Maddieson et al. 2001
12,13A,Simple tone system,Tone,Tlingit,,,Maddieson et al. 2001
13,18A,No bilabials,Absence of Common Consonants,Tlingit,,,Maddieson et al. 2001
14,19A,None,Presence of Uncommon Consonants,Tlingit,,,Maddieson et al. 2001
15,20A,Exclusively concatenative,Fusion of Selected Inflectional Formatives,Tlingit,,,Swanton 1911a
16,21A,Monoexponential case,Exponence of Selected Inflectional Formatives,Tlingit,,,Swanton 1911a
17,21B,monoexponential TAM,Exponence of Tense-Aspect-Mood Inflection,Tlingit,,,Swanton 1911a
18,23A,Head marking,Locus of Marking in the Clause,Tlingit,,,Swanton 1911a
19,24A,Head marking,Locus of Marking in Possessive Noun Phrases,Tlingit,,,Swanton 1911a
20,25A,Head-marking,Locus of Marking: Whole-language Typology,Tlingit,,,Swanton 1911a
21,25B,Non-zero marking,Zero Marking of A and P Arguments,Tlingit,,,Swanton 1911a
