,ID,Name,Parameter,Language,Frequency,Confidence,References
0,36A,Associative same as additive plural,The Associative Plural,Tok Pisin,,,Mühlhäusler 1981
1,53A,"One-th, two-th, three-th",Ordinal Numerals,Tok Pisin,,,Mosel 1980
2,63A,'And' different from 'with',Noun Phrase Conjunction,Tok Pisin,,,Mühlhäusler 1984
3,65A,No grammatical marking,Perfective/Imperfective Aspect,Tok Pisin,,,Bybee et al. 1994
4,66A,"Present, no remoteness distinctions",The Past Tense,Tok Pisin,,,Bybee et al. 1994
5,67A,No inflectional future,The Future Tense,Tok Pisin,,,Bybee et al. 1994
6,68A,No perfect,The Perfect,Tok Pisin,,,Bybee et al. 1994
7,118A,Verbal encoding,Predicative Adjectives,Tok Pisin,,,Mühlhäusler 1984
8,119A,Different,Nominal and Locational Predication,Tok Pisin,,,Mühlhäusler 1984
9,120A,Impossible,Zero Copula for Predicate Nominals,Tok Pisin,,,Mühlhäusler 1984
10,125A,Balanced,Purpose Clauses,Tok Pisin,,,Wurm and Mühlhäusler 1985
11,126A,Balanced,'When' Clauses,Tok Pisin,,,Wurm and Mühlhäusler 1985
12,127A,Balanced,Reason Clauses,Tok Pisin,,,Wurm and Mühlhäusler 1985
13,128A,Balanced,Utterance Complement Clauses,Tok Pisin,,,Wurm and Mühlhäusler 1985
14,129A,Identical,Hand and Arm,Tok Pisin,,,Mihalic 1971
15,130A,Different,Finger and Hand,Tok Pisin,,,Mihalic 1971
