,ID,Name,Parameter,Language,Frequency,Confidence,References
0,37A,Definite word distinct from demonstrative,Definite Articles,Tokelauan,,,Hooper 1996
1,52A,Differentiation,Comitatives and Instrumentals,Tokelauan,,,Hooper 1996
2,70A,Second person number-neutral,The Morphological Imperative,Tokelauan,,,Hooper 1996
3,71A,Normal imperative + special negative,The Prohibitive,Tokelauan,,,Hooper 1996
4,82A,VS,Order of Subject and Verb,Tokelauan,,,Hooper 1996
5,83A,VO,Order of Object and Verb,Tokelauan,,,Hooper 1996
6,85A,Prepositions,Order of Adposition and Noun Phrase,Tokelauan,,,Hooper 1996
7,88A,Noun-Demonstrative,Order of Demonstrative and Noun,Tokelauan,,,Hooper 1996
8,90A,Noun-Relative clause,Order of Relative Clause and Noun,Tokelauan,,,Hooper 1996
9,90C,Noun-Relative clause (NRel) dominant,Postnominal relative clauses,Tokelauan,,,Hooper 1996
10,92A,No question particle,Position of Polar Question Particles,Tokelauan,,,Hooper 1996
11,93A,Not initial interrogative phrase,Position of Interrogative Phrases in Content Questions,Tokelauan,,,Hooper 1996
12,95A,VO and Prepositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Tokelauan,,,
13,96A,VO and NRel,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,Tokelauan,,,
14,115A,Negative existential construction,Negative Indefinite Pronouns and Predicate Negation,Tokelauan,,,Vonen 1999
15,116A,Interrogative intonation only,Polar Questions,Tokelauan,,,Hooper 1996
16,143A,NegV,Order of Negative Morpheme and Verb,Tokelauan,,,Hooper 1996
17,143E,NegV,Preverbal Negative Morphemes,Tokelauan,,,Hooper 1996
18,143F,None,Postverbal Negative Morphemes,Tokelauan,,,Hooper 1996
19,143G,None,Minor morphological means of signaling negation,Tokelauan,,,Hooper 1996
20,144A,Other,"Position of Negative Word With Respect to Subject, Object, and Verb",Tokelauan,,,Hooper 1996
21,144B,Immed preverbal,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,Tokelauan,,,Hooper 1996
22,144T,NegV & VS & VO,The Position of Negative Morphemes in Verb-Initial Languages,Tokelauan,,,Hooper 1996
23,144V,"Separate word, no double negation  Word&NoDoubleNeg",Verb-Initial with Preverbal Negative,Tokelauan,,,Hooper 1996
24,144W,None,Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object,Tokelauan,,,Hooper 1996
25,144X,No clause-final neg,Verb-Initial with Clause-Final Negative,Tokelauan,,,Hooper 1996
