,ID,Name,Parameter,Language,Frequency,Confidence,References
0,33A,Plural suffix,Coding of Nominal Plurality,Torwali,,,Lunsford 2001
1,34A,"All nouns, always obligatory",Occurrence of Nominal Plurality,Torwali,,,Lunsford 2001
2,69A,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Torwali,,,Lunsford 2001
3,81A,SOV,"Order of Subject, Object and Verb",Torwali,,,Lunsford 2001
4,82A,SV,Order of Subject and Verb,Torwali,,,Lunsford 2001
5,83A,OV,Order of Object and Verb,Torwali,,,Lunsford 2001
6,85A,Postpositions,Order of Adposition and Noun Phrase,Torwali,,,Lunsford 2001
7,86A,Genitive-Noun,Order of Genitive and Noun,Torwali,,,Lunsford 2001
8,87A,Adjective-Noun,Order of Adjective and Noun,Torwali,,,Lunsford 2001
9,88A,Demonstrative-Noun,Order of Demonstrative and Noun,Torwali,,,Lunsford 2001
10,89A,Numeral-Noun,Order of Numeral and Noun,Torwali,,,Lunsford 2001
11,93A,Not initial interrogative phrase,Position of Interrogative Phrases in Content Questions,Torwali,,,Lunsford 2001
12,95A,OV and Postpositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Torwali,,,
13,97A,OV and AdjN,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Torwali,,,
14,105A,Indirect-object construction,Ditransitive Constructions: The Verb 'Give',Torwali,,,Lunsford 2001
