,ID,Name,Parameter,Language,Frequency,Confidence,References
0,20A,Exclusively concatenative,Fusion of Selected Inflectional Formatives,Totonac (Misantla),,,Levy Podolsky 1990
1,21A,No case,Exponence of Selected Inflectional Formatives,Totonac (Misantla),,,Levy Podolsky 1990
2,21B,monoexponential TAM,Exponence of Tense-Aspect-Mood Inflection,Totonac (Misantla),,,Levy Podolsky 1990
3,26A,Equal prefixing and suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Totonac (Misantla),,,MacKay 1991
4,27A,No productive reduplication,Reduplication,Totonac (Misantla),,,MacKay 1999
5,30A,None,Number of Genders,Totonac (Misantla),,,MacKay 1991
6,31A,No gender,Sex-based and Non-sex-based Gender Systems,Totonac (Misantla),,,MacKay 1991
7,32A,No gender,Systems of Gender Assignment,Totonac (Misantla),,,MacKay 1991
8,33A,Mixed morphological plural,Coding of Nominal Plurality,Totonac (Misantla),,,MacKay 1991
9,37A,Definite word distinct from demonstrative,Definite Articles,Totonac (Misantla),,,MacKay 1991
10,43A,Unrelated,Third Person Pronouns and Demonstratives,Totonac (Misantla),,,MacKay 1991
11,44A,No gender distinctions,Gender Distinctions in Independent Personal Pronouns,Totonac (Misantla),,,MacKay 1991
12,48A,No person marking,Person Marking on Adpositions,Totonac (Misantla),,,MacKay 1991
13,51A,No case affixes or adpositional clitics,Position of Case Affixes,Totonac (Misantla),,,MacKay 1991
14,57A,Possessive prefixes,Position of Pronominal Possessive Affixes,Totonac (Misantla),,,MacKay 1991
15,58A,Exists,Obligatory Possessive Inflection,Totonac (Misantla),,,MacKay 1999
16,58B,None reported,Number of Possessive Nouns,Totonac (Misantla),,,MacKay 1999
17,59A,No possessive classification,Possessive Classification,Totonac (Misantla),,,MacKay 1999
18,69A,Mixed type,Position of Tense-Aspect Affixes,Totonac (Misantla),,,MacKay 1991
19,70A,No second-person imperatives,The Morphological Imperative,Totonac (Misantla),,,MacKay 1999
20,71A,Special imperative + special negative,The Prohibitive,Totonac (Misantla),,,MacKay 1999
21,72A,Maximal system,Imperative-Hortative Systems,Totonac (Misantla),,,MacKay 1999
22,87A,No dominant order,Order of Adjective and Noun,Totonac (Misantla),,,MacKay 1991
23,88A,Demonstrative-Noun,Order of Demonstrative and Noun,Totonac (Misantla),,,MacKay 1991
24,97A,Other,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Totonac (Misantla),,,
25,100A,Accusative,Alignment of Verbal Person Marking,Totonac (Misantla),,,MacKay 1991
26,102A,Both the A and P arguments,Verbal Person Marking,Totonac (Misantla),,,MacKay 1991
27,103A,Zero in all 3sg forms,Third Person Zero of Verbal Person Marking,Totonac (Misantla),,,MacKay 1991
28,104A,Both orders of A and P occur,Order of Person Markers on the Verb,Totonac (Misantla),,,MacKay 1991
29,107A,Absent,Passive Constructions,Totonac (Misantla),,,MacKay 1991
30,118A,Nonverbal encoding,Predicative Adjectives,Totonac (Misantla),,,MacKay 1991
31,119A,Different,Nominal and Locational Predication,Totonac (Misantla),,,MacKay 1991
32,120A,Possible,Zero Copula for Predicate Nominals,Totonac (Misantla),,,MacKay 1991
