,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Average,Consonant Inventories,Trumai,,,Guirardello 1992
1,2A,Average (5-6),Vowel Quality Inventories,Trumai,,,Guirardello 1992
2,3A,Average,Consonant-Vowel Ratio,Trumai,,,Guirardello 1992
3,4A,In plosives alone,Voicing in Plosives and Fricatives,Trumai,,,Guirardello 1992
4,5A,Other,Voicing and Gaps in Plosive Systems,Trumai,,,Guirardello 1992
5,6A,None,Uvular Consonants,Trumai,,,Guirardello 1992
6,7A,Ejectives only,Glottalized Consonants,Trumai,,,Guirardello 1992
7,8A,/l/ and lateral obstruent,Lateral Consonants,Trumai,,,Guirardello 1992
8,9A,No velar nasal,The Velar Nasal,Trumai,,,Aikhenvald and Dixon 1999
9,10A,Contrast absent,Vowel Nasalization,Trumai,,,Guirardello 1999a
10,11A,None,Front Rounded Vowels,Trumai,,,Guirardello 1992
11,12A,Moderately complex,Syllable Structure,Trumai,,,Guirardello 1992
12,13A,No tones,Tone,Trumai,,,Guirardello 1992
13,14A,Ultimate,Fixed Stress Locations,Trumai,,,Guirardello 1999a
14,15A,Fixed stress (no weight-sensitivity),Weight-Sensitive Stress,Trumai,,,Guirardello 1999a
15,16A,No weight,Weight Factors in Weight-Sensitive Stress Systems,Trumai,,,Guirardello 1999a
16,18A,All present,Absence of Common Consonants,Trumai,,,Guirardello 1992
17,19A,None,Presence of Uncommon Consonants,Trumai,,,Guirardello 1992
18,20A,Isolating/concatenative,Fusion of Selected Inflectional Formatives,Trumai,,,Guirardello 1999b
19,21A,Monoexponential case,Exponence of Selected Inflectional Formatives,Trumai,,,Monod-Becquelin 1975
20,21B,monoexponential TAM,Exponence of Tense-Aspect-Mood Inflection,Trumai,,,Monod-Becquelin 1975
21,22A,8-9 categories per word,Inflectional Synthesis of the Verb,Trumai,,,Monod-Becquelin 1975
22,23A,Dependent marking,Locus of Marking in the Clause,Trumai,,,Guirardello 1999a
