,ID,Name,Parameter,Language,Frequency,Confidence,References
0,14A,Ultimate,Fixed Stress Locations,Tsakhur,,,Ibragimov 1990
1,15A,Fixed stress (no weight-sensitivity),Weight-Sensitive Stress,Tsakhur,,,Ibragimov 1990
2,16A,Prominence,Weight Factors in Weight-Sensitive Stress Systems,Tsakhur,,,Ibragimov 1990
3,17A,No rhythmic stress,Rhythm Types,Tsakhur,,,Ibragimov 1990
4,47A,Identical,Intensifiers and Reflexive Pronouns,Tsakhur,,,
5,53A,"One-th, two-th, three-th",Ordinal Numerals,Tsakhur,,,Schulze 1997
6,54A,Marked by mixed or other strategies,Distributive Numerals,Tsakhur,,,Kibrik 1999
7,62A,Mixed,Action Nominal Constructions,Tsakhur,,,Ljutikova and Bonch-Osmolovskaja 1999
8,70A,Second singular and second plural,The Morphological Imperative,Tsakhur,,,Kibrik 1999
9,71A,Special imperative + special negative,The Prohibitive,Tsakhur,,,Kibrik 1999
10,72A,Neither type of system,Imperative-Hortative Systems,Tsakhur,,,Kibrik 1999
11,73A,Inflectional optative present,The Optative,Tsakhur,,,Kibrik 1999
