,ID,Name,Parameter,Language,Frequency,Confidence,References
0,26A,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Tshangla,,,Das Gupta 1968
1,33A,Plural clitic,Coding of Nominal Plurality,Tshangla,,,Andvik 1999
2,38A,Indefinite word same as 'one',Indefinite Articles,Tshangla,,,Andvik 2003
3,51A,Postpositional clitics,Position of Case Affixes,Tshangla,,,Das Gupta 1968
4,57A,No possessive affixes,Position of Pronominal Possessive Affixes,Tshangla,,,Andvik 1999
5,69A,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Tshangla,,,Andvik 1999
6,81A,SOV,"Order of Subject, Object and Verb",Tshangla,,,Andvik 2003
7,82A,SV,Order of Subject and Verb,Tshangla,,,Andvik 2003
8,83A,OV,Order of Object and Verb,Tshangla,,,Andvik 2003
9,85A,Postpositions,Order of Adposition and Noun Phrase,Tshangla,,,Andvik 1999
10,86A,Genitive-Noun,Order of Genitive and Noun,Tshangla,,,Das Gupta 1968
11,87A,Adjective-Noun,Order of Adjective and Noun,Tshangla,,,Andvik 1999
12,88A,Demonstrative-Noun,Order of Demonstrative and Noun,Tshangla,,,Andvik 2003
13,89A,Noun-Numeral,Order of Numeral and Noun,Tshangla,,,Andvik 2003
14,90A,Relative clause-Noun,Order of Relative Clause and Noun,Tshangla,,,Das Gupta 1968
15,90B,Relative clause-Noun (RelN) dominant,Prenominal relative clauses,Tshangla,,,Das Gupta 1968
16,91A,Degree word-Adjective,Order of Degree Word and Adjective,Tshangla,,,Das Gupta 1968
17,92A,Final,Position of Polar Question Particles,Tshangla,,,Andvik 1999
18,93A,Not initial interrogative phrase,Position of Interrogative Phrases in Content Questions,Tshangla,,,Andvik 1999
19,94A,Subordinating suffix,Order of Adverbial Subordinator and Clause,Tshangla,,,Andvik 1999
20,95A,OV and Postpositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Tshangla,,,
21,96A,OV and RelN,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,Tshangla,,,
22,97A,OV and AdjN,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Tshangla,,,
23,105A,Indirect-object construction,Ditransitive Constructions: The Verb 'Give',Tshangla,,,Andvik 2003
24,112A,Variation between negative word and affix,Negative Morphemes,Tshangla,,,Andvik 2003
25,116A,Question particle,Polar Questions,Tshangla,,,Andvik 1999
26,143A,OptDoubleNeg,Order of Negative Morpheme and Verb,Tshangla,,,Das Gupta 1968
27,143C,[Neg-V]/VNeg/[Neg-V-Neg],Optional Double Negation,Tshangla,,,Das Gupta 1968
28,143E,[Neg-V],Preverbal Negative Morphemes,Tshangla,,,Das Gupta 1968
29,143F,VNeg&[V-Neg],Postverbal Negative Morphemes,Tshangla,,,Das Gupta 1968
30,143G,None,Minor morphological means of signaling negation,Tshangla,,,Das Gupta 1968
31,144A,OptDoubleNeg,"Position of Negative Word With Respect to Subject, Object, and Verb",Tshangla,,,Das Gupta 1968
32,144L,OptDoubleNeg,The Position of Negative Morphemes in SOV Languages,Tshangla,,,Das Gupta 1968
33,144O,SO[Neg-V-(Neg)]/SOVNeg,Optional Double Negation in SOV languages,Tshangla,,,Das Gupta 1968
34,144P,No NegSOV,NegSOV Order,Tshangla,,,Das Gupta 1968
35,144Q,No SNegOV,SNegOV Order,Tshangla,,,Das Gupta 1968
36,144R,Prefix&OptDoubleNeg,SONegV Order,Tshangla,,,Das Gupta 1968
37,144S,Type 1 / Type 6,SOVNeg Order,Tshangla,,,Das Gupta 1968
