,ID,Name,Parameter,Language,Frequency,Confidence,References
0,33A,Plural prefix,Coding of Nominal Plurality,Tsogo,,,Raponda-Walker 1950
1,37A,Definite word distinct from demonstrative,Definite Articles,Tsogo,,,Raponda-Walker 1950
2,85A,Prepositions,Order of Adposition and Noun Phrase,Tsogo,,,Raponda-Walker 1950
3,87A,Noun-Adjective,Order of Adjective and Noun,Tsogo,,,Raponda-Walker 1950
4,88A,Noun-Demonstrative,Order of Demonstrative and Noun,Tsogo,,,Raponda-Walker 1950
5,89A,Noun-Numeral,Order of Numeral and Noun,Tsogo,,,Raponda-Walker 1950
6,143A,NegV,Order of Negative Morpheme and Verb,Tsogo,,,Raponda-Walker 1950
7,143E,NegV,Preverbal Negative Morphemes,Tsogo,,,Raponda-Walker 1950
8,143F,None,Postverbal Negative Morphemes,Tsogo,,,Raponda-Walker 1950
9,143G,None,Minor morphological means of signaling negation,Tsogo,,,Raponda-Walker 1950
