,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Moderately small,Consonant Inventories,Tsou,,,Tung 1964
1,2A,Average (5-6),Vowel Quality Inventories,Tsou,,,Tung 1964
2,3A,Average,Consonant-Vowel Ratio,Tsou,,,Tung 1964
3,4A,In fricatives alone,Voicing in Plosives and Fricatives,Tsou,,,Tung 1964
4,5A,Other,Voicing and Gaps in Plosive Systems,Tsou,,,Tung 1964
5,6A,None,Uvular Consonants,Tsou,,,Tung 1964
6,7A,Implosives only,Glottalized Consonants,Tsou,,,Tung 1964
7,8A,No laterals,Lateral Consonants,Tsou,,,Tung 1964
8,11A,None,Front Rounded Vowels,Tsou,,,Tung 1964
9,12A,Complex,Syllable Structure,Tsou,,,Tung 1964
10,13A,No tones,Tone,Tsou,,,Tung 1964
11,18A,All present,Absence of Common Consonants,Tsou,,,Tung 1964
12,19A,None,Presence of Uncommon Consonants,Tsou,,,Tung 1964
13,27A,Productive full and partial reduplication,Reduplication,Tsou,,,Tung 1964
14,44A,No gender distinctions,Gender Distinctions in Independent Personal Pronouns,Tsou,,,Szakos 1994
15,48A,No person marking,Person Marking on Adpositions,Tsou,,,Szakos 1994
16,54A,Marked by prefix,Distributive Numerals,Tsou,,,
17,55A,Absent,Numeral Classifiers,Tsou,,,
18,100A,Active,Alignment of Verbal Person Marking,Tsou,,,Szakos 1994
19,102A,Only the A argument,Verbal Person Marking,Tsou,,,Szakos 1994
20,103A,No zero realization,Third Person Zero of Verbal Person Marking,Tsou,,,Szakos 1994
21,104A,A and P do not or do not both occur on the verb,Order of Person Markers on the Verb,Tsou,,,Szakos 1994
22,107A,Absent,Passive Constructions,Tsou,,,Szakos 1994
