,ID,Name,Parameter,Language,Frequency,Confidence,References
0,57A,Possessive suffixes,Position of Pronominal Possessive Affixes,Tuareg (Air),,,Galand 1974
1,82A,VS,Order of Subject and Verb,Tuareg (Air),,,Galand 1974
2,83A,VO,Order of Object and Verb,Tuareg (Air),,,Galand 1974
3,85A,Prepositions,Order of Adposition and Noun Phrase,Tuareg (Air),,,Galand 1974
4,86A,Noun-Genitive,Order of Genitive and Noun,Tuareg (Air),,,Galand 1974
5,88A,Noun-Demonstrative,Order of Demonstrative and Noun,Tuareg (Air),,,Galand 1974
6,90A,Noun-Relative clause,Order of Relative Clause and Noun,Tuareg (Air),,,Galand 1974
7,90C,Noun-Relative clause (NRel) dominant,Postnominal relative clauses,Tuareg (Air),,,Galand 1974
8,92A,No question particle,Position of Polar Question Particles,Tuareg (Air),,,Galand 1974
9,95A,VO and Prepositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Tuareg (Air),,,
10,96A,VO and NRel,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,Tuareg (Air),,,
11,116A,Interrogative intonation only,Polar Questions,Tuareg (Air),,,Galand 1974
