,ID,Name,Parameter,Language,Frequency,Confidence,References
0,26A,Weakly prefixing,Prefixing vs. Suffixing in Inflectional Morphology,Tuareg (Ghat),,,Nehlil 1909
1,33A,Mixed morphological plural,Coding of Nominal Plurality,Tuareg (Ghat),,,Nehlil 1909
2,51A,No case affixes or adpositional clitics,Position of Case Affixes,Tuareg (Ghat),,,Nehlil 1909
3,55A,Absent,Numeral Classifiers,Tuareg (Ghat),,,Nehlil 1909
4,60A,Highly differentiated,"Genitives, Adjectives and Relative Clauses",Tuareg (Ghat),,,Nehlil 1909
5,69A,Tense-aspect prefixes,Position of Tense-Aspect Affixes,Tuareg (Ghat),,,Nehlil 1909
6,83A,VO,Order of Object and Verb,Tuareg (Ghat),,,Nehlil 1909
7,85A,Prepositions,Order of Adposition and Noun Phrase,Tuareg (Ghat),,,Nehlil 1909
8,86A,Noun-Genitive,Order of Genitive and Noun,Tuareg (Ghat),,,Nehlil 1909
9,88A,Noun-Demonstrative,Order of Demonstrative and Noun,Tuareg (Ghat),,,Nehlil 1909
10,89A,Numeral-Noun,Order of Numeral and Noun,Tuareg (Ghat),,,Nehlil 1909
11,94A,Initial subordinator word,Order of Adverbial Subordinator and Clause,Tuareg (Ghat),,,Nehlil 1909
12,95A,VO and Prepositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Tuareg (Ghat),,,
13,101A,Subject affixes on verb,Expression of Pronominal Subjects,Tuareg (Ghat),,,Nehlil 1909
14,112A,Negative particle,Negative Morphemes,Tuareg (Ghat),,,Nehlil 1909
15,116A,Question particle,Polar Questions,Tuareg (Ghat),,,Nehlil 1909
16,143A,NegV,Order of Negative Morpheme and Verb,Tuareg (Ghat),,,Nehlil 1909
17,143E,NegV,Preverbal Negative Morphemes,Tuareg (Ghat),,,Nehlil 1909
18,143F,None,Postverbal Negative Morphemes,Tuareg (Ghat),,,Nehlil 1909
19,143G,None,Minor morphological means of signaling negation,Tuareg (Ghat),,,Nehlil 1909
