,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Average,Consonant Inventories,Turkish,,,Zimmer and Orgun 1999
1,2A,Large (7-14),Vowel Quality Inventories,Turkish,,,Zimmer and Orgun 1999
2,3A,Average,Consonant-Vowel Ratio,Turkish,,,Zimmer and Orgun 1999
3,4A,In both plosives and fricatives,Voicing in Plosives and Fricatives,Turkish,,,Zimmer and Orgun 1999
4,5A,None missing in /p t k b d g/,Voicing and Gaps in Plosive Systems,Turkish,,,Zimmer and Orgun 1999
5,6A,None,Uvular Consonants,Turkish,,,Zimmer and Orgun 1999
6,7A,No glottalized consonants,Glottalized Consonants,Turkish,,,Zimmer and Orgun 1999
7,8A,"/l/, no obstruent laterals",Lateral Consonants,Turkish,,,Zimmer and Orgun 1999
8,9A,No velar nasal,The Velar Nasal,Turkish,,,Kornfilt 1997
9,10A,Contrast absent,Vowel Nasalization,Turkish,,,Zimmer and Orgun 1999
10,11A,High and mid,Front Rounded Vowels,Turkish,,,Zimmer and Orgun 1999
11,12A,Moderately complex,Syllable Structure,Turkish,,,Zimmer and Orgun 1999
12,13A,No tones,Tone,Turkish,,,Zimmer and Orgun 1999
13,14A,No fixed stress,Fixed Stress Locations,Turkish,,,Kornfilt 1997
14,15A,Unbounded: Stress can be anywhere,Weight-Sensitive Stress,Turkish,,,Kornfilt 1997
15,16A,Lexical stress,Weight Factors in Weight-Sensitive Stress Systems,Turkish,,,Kornfilt 1997
16,17A,No rhythmic stress,Rhythm Types,Turkish,,,Kornfilt 1997
17,18A,All present,Absence of Common Consonants,Turkish,,,Zimmer and Orgun 1999
18,19A,None,Presence of Uncommon Consonants,Turkish,,,Zimmer and Orgun 1999
19,20A,Exclusively concatenative,Fusion of Selected Inflectional Formatives,Turkish,,,Underhill 1976
20,21A,Monoexponential case,Exponence of Selected Inflectional Formatives,Turkish,,,Underhill 1976
21,21B,monoexponential TAM,Exponence of Tense-Aspect-Mood Inflection,Turkish,,,Underhill 1976
22,22A,6-7 categories per word,Inflectional Synthesis of the Verb,Turkish,,,Underhill 1976
23,23A,Dependent marking,Locus of Marking in the Clause,Turkish,,,Lewis 1967
24,24A,Double marking,Locus of Marking in Possessive Noun Phrases,Turkish,,,Lewis 1967
25,25A,Inconsistent or other,Locus of Marking: Whole-language Typology,Turkish,,,Lewis 1967
26,25B,Non-zero marking,Zero Marking of A and P Arguments,Turkish,,,Lewis 1967
27,26A,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Turkish,,,Kornfilt 1997
28,27A,Productive full and partial reduplication,Reduplication,Turkish,,,Godel 1945
29,28A,No syncretism,Case Syncretism,Turkish,,,Lewis 1967
30,29A,Not syncretic,Syncretism in Verbal Person/Number Marking,Turkish,,,Lewis 1967
31,30A,None,Number of Genders,Turkish,,,Kornfilt 1997
32,31A,No gender,Sex-based and Non-sex-based Gender Systems,Turkish,,,Kornfilt 1997
33,32A,No gender,Systems of Gender Assignment,Turkish,,,Kornfilt 1997
34,33A,Plural suffix,Coding of Nominal Plurality,Turkish,,,Underhill 1976
35,34A,"All nouns, always obligatory",Occurrence of Nominal Plurality,Turkish,,,Kornfilt 1997
36,35A,Person stem + nominal plural affix,Plurality in Independent Personal Pronouns,Turkish,,,Kononov 1941
37,36A,Associative same as additive plural,The Associative Plural,Turkish,,,Lewis 1967
38,37A,"No definite, but indefinite article",Definite Articles,Turkish,,,Erguvanli 1984
39,38A,Indefinite word same as 'one',Indefinite Articles,Turkish,,,Underhill 1976
40,39A,No inclusive/exclusive,Inclusive/Exclusive Distinction in Independent Pronouns,Turkish,,,Kornfilt 1997
41,40A,No inclusive/exclusive,Inclusive/Exclusive Distinction in Verbal Inflection,Turkish,,,Kornfilt 1997
42,41A,Two-way contrast,Distance Contrasts in Demonstratives,Turkish,,,Underhill 1976
43,42A,Different inflection,Pronominal and Adnominal Demonstratives,Turkish,,,Lewis 1967
44,43A,Related to remote demonstratives,Third Person Pronouns and Demonstratives,Turkish,,,Lewis 1967
45,44A,No gender distinctions,Gender Distinctions in Independent Personal Pronouns,Turkish,,,Lewis 1967
46,45A,Binary politeness distinction,Politeness Distinctions in Pronouns,Turkish,,,Lewis 1967
47,46A,Generic-noun-based,Indefinite Pronouns,Turkish,,,Kornfilt 1997
48,47A,Identical,Intensifiers and Reflexive Pronouns,Turkish,,,Kornfilt 1997
49,48A,No person marking,Person Marking on Adpositions,Turkish,,,Lewis 1967
50,49A,6-7 cases,Number of Cases,Turkish,,,Kornfilt 1997
51,50A,Symmetrical,Asymmetrical Case-Marking,Turkish,,,Kornfilt 1997
52,51A,Case suffixes,Position of Case Affixes,Turkish,,,Underhill 1976
53,52A,Identity,Comitatives and Instrumentals,Turkish,,,
54,53A,"First/one-th, two-th, three-th",Ordinal Numerals,Turkish,,,
55,54A,Marked by suffix,Distributive Numerals,Turkish,,,Lewis 1967
56,55A,Optional,Numeral Classifiers,Turkish,,,Lewis 1967
57,56A,Formally different,Conjunctions and Universal Quantifiers,Turkish,,,Lewis 1967
58,57A,Possessive suffixes,Position of Pronominal Possessive Affixes,Turkish,,,Lewis 1967
59,58A,Absent,Obligatory Possessive Inflection,Turkish,,,Lewis 1967
60,58B,None reported,Number of Possessive Nouns,Turkish,,,Lewis 1967
61,59A,No possessive classification,Possessive Classification,Turkish,,,Lewis 1967
62,60A,Highly differentiated,"Genitives, Adjectives and Relative Clauses",Turkish,,,Lewis 1967
63,61A,Without marking,Adjectives without Nouns,Turkish,,,Lewis 1967
64,62A,Possessive-Accusative,Action Nominal Constructions,Turkish,,,Kornfilt 1997
65,63A,'And' different from 'with',Noun Phrase Conjunction,Turkish,,,Lewis 1967
66,64A,Identity,Nominal and Verbal Conjunction,Turkish,,,Kornfilt 1997
67,65A,Grammatical marking,Perfective/Imperfective Aspect,Turkish,,,Dahl 1985
68,66A,"Present, no remoteness distinctions",The Past Tense,Turkish,,,Dahl 1985
69,67A,Inflectional future exists,The Future Tense,Turkish,,,Dahl 1985
70,68A,No perfect,The Perfect,Turkish,,,Dahl 1985
71,69A,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Turkish,,,Underhill 1976
72,70A,Second singular and second plural,The Morphological Imperative,Turkish,,,Kornfilt 1997
73,71A,Normal imperative + normal negative,The Prohibitive,Turkish,,,Kornfilt 1997
74,72A,Maximal system,Imperative-Hortative Systems,Turkish,,,Kornfilt 1997
75,73A,Inflectional optative absent,The Optative,Turkish,,,Lewis 1967
76,74A,Affixes on verbs,Situational Possibility,Turkish,,,Kornfilt 1997
77,75A,Affixes on verbs,Epistemic Possibility,Turkish,,,Kornfilt 1997
78,76A,Overlap for both possibility and necessity,Overlap between Situational and Epistemic Modal Marking,Turkish,,,Kornfilt 1997
79,77A,Direct and indirect,Semantic Distinctions of Evidentiality,Turkish,,,Aksu-Koç and Slobin 1986
80,78A,Part of the tense system,Coding of Evidentiality,Turkish,,,Aksu-Koç and Slobin 1986
81,79A,Tense,Suppletion According to Tense and Aspect,Turkish,,,Lewis 1967
82,79B,None (= no suppletive imperatives reported in the reference material),Suppletion in Imperatives and Hortatives,Turkish,,,
83,80A,None,Verbal Number and Suppletion,Turkish,,,Lewis 1967
84,81A,SOV,"Order of Subject, Object and Verb",Turkish,,,Lewis 1967
85,82A,SV,Order of Subject and Verb,Turkish,,,Underhill 1976
86,83A,OV,Order of Object and Verb,Turkish,,,Underhill 1976
87,84A,XOV,"Order of Object, Oblique, and Verb",Turkish,,,Lewis 1967
88,85A,Postpositions,Order of Adposition and Noun Phrase,Turkish,,,Underhill 1976
89,86A,Genitive-Noun,Order of Genitive and Noun,Turkish,,,Underhill 1976
90,87A,Adjective-Noun,Order of Adjective and Noun,Turkish,,,Lewis 1967
