,ID,Name,Parameter,Language,Frequency,Confidence,References
0,9A,No initial velar nasal,The Velar Nasal,Turkmen,,,Charyjarov and Nazarov 1997
1,27A,Productive full and partial reduplication,Reduplication,Turkmen,,,
2,46A,Mixed,Indefinite Pronouns,Turkmen,,,Azimov et al. 1966
3,53A,"One-th, two-th, three-th",Ordinal Numerals,Turkmen,,,Schönig 1998b
4,81A,SOV,"Order of Subject, Object and Verb",Turkmen,,,Clark 1998b
5,82A,SV,Order of Subject and Verb,Turkmen,,,Clark 1998b
6,83A,OV,Order of Object and Verb,Turkmen,,,Clark 1998b
7,85A,Postpositions,Order of Adposition and Noun Phrase,Turkmen,,,Clark 1998b
8,86A,Genitive-Noun,Order of Genitive and Noun,Turkmen,,,Clark 1998b
9,87A,Adjective-Noun,Order of Adjective and Noun,Turkmen,,,Clark 1998b
10,88A,Demonstrative-Noun,Order of Demonstrative and Noun,Turkmen,,,Clark 1998b
11,89A,Numeral-Noun,Order of Numeral and Noun,Turkmen,,,Clark 1998b
12,90A,Relative clause-Noun,Order of Relative Clause and Noun,Turkmen,,,Clark 1998b
13,90B,Relative clause-Noun (RelN) dominant,Prenominal relative clauses,Turkmen,,,Clark 1998b
14,95A,OV and Postpositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Turkmen,,,
15,96A,OV and RelN,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,Turkmen,,,
16,97A,OV and AdjN,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Turkmen,,,
17,101A,Subject affixes on verb,Expression of Pronominal Subjects,Turkmen,,,Clark 1998b
18,129A,Identical,Hand and Arm,Turkmen,,,Institut Jazyka i Literatury 1956
19,130A,Different,Finger and Hand,Turkmen,,,Institut Jazyka i Literatury 1956
20,138A,Words derived from Sinitic cha,Tea,Turkmen,,,Baskakov and Hamzaev 1956
