,ID,Name,Parameter,Language,Frequency,Confidence,References
0,26A,Equal prefixing and suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Tutelo,,,Oliverio 1996
1,37A,Definite affix,Definite Articles,Tutelo,,,Oliverio 1996
2,38A,Indefinite affix,Indefinite Articles,Tutelo,,,Oliverio 1996
3,43A,Unrelated,Third Person Pronouns and Demonstratives,Tutelo,,,Oliverio 1996
4,51A,No case affixes or adpositional clitics,Position of Case Affixes,Tutelo,,,Oliverio 1996
5,57A,Possessive prefixes,Position of Pronominal Possessive Affixes,Tutelo,,,Oliverio 1996
6,69A,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Tutelo,,,Oliverio 1996
7,81A,SOV,"Order of Subject, Object and Verb",Tutelo,,,Oliverio 1996
8,82A,SV,Order of Subject and Verb,Tutelo,,,Oliverio 1996
9,83A,OV,Order of Object and Verb,Tutelo,,,Oliverio 1996
10,85A,Postpositions,Order of Adposition and Noun Phrase,Tutelo,,,Oliverio 1996
11,86A,Genitive-Noun,Order of Genitive and Noun,Tutelo,,,Oliverio 1996
12,88A,Noun-Demonstrative,Order of Demonstrative and Noun,Tutelo,,,Oliverio 1996
13,89A,Noun-Numeral,Order of Numeral and Noun,Tutelo,,,Oliverio 1996
14,92A,No question particle,Position of Polar Question Particles,Tutelo,,,Oliverio 1996
15,95A,OV and Postpositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Tutelo,,,
16,101A,Subject affixes on verb,Expression of Pronominal Subjects,Tutelo,,,Oliverio 1996
17,112A,Double negation,Negative Morphemes,Tutelo,,,Oliverio 1996
18,116A,Interrogative verb morphology,Polar Questions,Tutelo,,,Oliverio 1996
19,143A,ObligDoubleNeg,Order of Negative Morpheme and Verb,Tutelo,,,Oliverio 1996
20,143B,[Neg-V-Neg],Obligatory Double Negation,Tutelo,,,Oliverio 1996
21,143E,[Neg-V],Preverbal Negative Morphemes,Tutelo,,,Oliverio 1996
22,143F,[V-Neg],Postverbal Negative Morphemes,Tutelo,,,Oliverio 1996
23,143G,None,Minor morphological means of signaling negation,Tutelo,,,Oliverio 1996
24,144A,ObligDoubleNeg,"Position of Negative Word With Respect to Subject, Object, and Verb",Tutelo,,,Oliverio 1996
25,144L,ObligDoubleNeg,The Position of Negative Morphemes in SOV Languages,Tutelo,,,Oliverio 1996
26,144N,SO[Neg-V-Neg],Obligatory Double Negation in SOV languages,Tutelo,,,Oliverio 1996
27,144P,No NegSOV,NegSOV Order,Tutelo,,,Oliverio 1996
28,144Q,No SNegOV,SNegOV Order,Tutelo,,,Oliverio 1996
29,144R,Prefix&OnlyWithAnotherNeg,SONegV Order,Tutelo,,,Oliverio 1996
30,144S,Suffix&OnlyWithAnotherNeg,SOVNeg Order,Tutelo,,,Oliverio 1996
