,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Average,Consonant Inventories,Tzeltal (Aguacatenango),,,Kaufman 1971
1,2A,Average (5-6),Vowel Quality Inventories,Tzeltal (Aguacatenango),,,Kaufman 1971
2,3A,Moderately high,Consonant-Vowel Ratio,Tzeltal (Aguacatenango),,,Kaufman 1971
3,4A,In plosives alone,Voicing in Plosives and Fricatives,Tzeltal (Aguacatenango),,,Kaufman 1971
4,5A,None missing in /p t k b d g/,Voicing and Gaps in Plosive Systems,Tzeltal (Aguacatenango),,,Kaufman 1971
5,6A,None,Uvular Consonants,Tzeltal (Aguacatenango),,,Kaufman 1971
6,7A,Ejectives only,Glottalized Consonants,Tzeltal (Aguacatenango),,,Kaufman 1971
7,8A,"/l/, no obstruent laterals",Lateral Consonants,Tzeltal (Aguacatenango),,,Kaufman 1971
8,11A,None,Front Rounded Vowels,Tzeltal (Aguacatenango),,,Kaufman 1971
9,12A,Complex,Syllable Structure,Tzeltal (Aguacatenango),,,Kaufman 1971
10,13A,No tones,Tone,Tzeltal (Aguacatenango),,,Kaufman 1971
11,18A,All present,Absence of Common Consonants,Tzeltal (Aguacatenango),,,Kaufman 1971
12,19A,None,Presence of Uncommon Consonants,Tzeltal (Aguacatenango),,,Kaufman 1971
