,ID,Name,Parameter,Language,Frequency,Confidence,References
0,26A,Strong prefixing,Prefixing vs. Suffixing in Inflectional Morphology,Tzutujil,,,Dayley 1985
1,33A,Plural word,Coding of Nominal Plurality,Tzutujil,,,Dayley 1985
2,34A,"All nouns, always obligatory",Occurrence of Nominal Plurality,Tzutujil,,,Dayley 1985
3,37A,Definite word distinct from demonstrative,Definite Articles,Tzutujil,,,Dayley 1985
4,38A,Indefinite word distinct from 'one',Indefinite Articles,Tzutujil,,,Dayley 1985
5,41A,Three-way contrast,Distance Contrasts in Demonstratives,Tzutujil,,,Dayley 1985
6,42A,Identical,Pronominal and Adnominal Demonstratives,Tzutujil,,,Dayley 1985
7,43A,Related for all demonstratives,Third Person Pronouns and Demonstratives,Tzutujil,,,Dayley 1985
8,44A,No gender distinctions,Gender Distinctions in Independent Personal Pronouns,Tzutujil,,,Dayley 1985
9,48A,Pronouns and nouns,Person Marking on Adpositions,Tzutujil,,,Dayley 1985
10,51A,No case affixes or adpositional clitics,Position of Case Affixes,Tzutujil,,,Dayley 1985
11,57A,Possessive prefixes,Position of Pronominal Possessive Affixes,Tzutujil,,,Dayley 1985
12,58A,Exists,Obligatory Possessive Inflection,Tzutujil,,,Dayley 1985
13,59A,Three to five classes,Possessive Classification,Tzutujil,,,Dayley 1985
14,63A,'And' identical to 'with',Noun Phrase Conjunction,Tzutujil,,,Dayley 1981
15,64A,Identity,Nominal and Verbal Conjunction,Tzutujil,,,Dayley 1985
16,69A,Mixed type,Position of Tense-Aspect Affixes,Tzutujil,,,Dayley 1985
17,70A,Second singular and second plural,The Morphological Imperative,Tzutujil,,,Dayley 1985
18,72A,Maximal system,Imperative-Hortative Systems,Tzutujil,,,Dayley 1985
19,73A,Inflectional optative absent,The Optative,Tzutujil,,,Dayley 1985
20,77A,Indirect only,Semantic Distinctions of Evidentiality,Tzutujil,,,Dayley 1985
21,78A,Separate particle,Coding of Evidentiality,Tzutujil,,,Dayley 1985
22,81A,No dominant order,"Order of Subject, Object and Verb",Tzutujil,,,Dayley 1985
23,81B,SVO or VOS,"Languages with two Dominant Orders of Subject, Object, and Verb",Tzutujil,,,Dayley 1985
24,82A,No dominant order,Order of Subject and Verb,Tzutujil,,,Dayley 1985
25,83A,VO,Order of Object and Verb,Tzutujil,,,Dayley 1985
26,84A,VOX,"Order of Object, Oblique, and Verb",Tzutujil,,,Dayley 1985
27,85A,Prepositions,Order of Adposition and Noun Phrase,Tzutujil,,,Dayley 1985
28,86A,Noun-Genitive,Order of Genitive and Noun,Tzutujil,,,Dayley 1985
29,87A,No dominant order,Order of Adjective and Noun,Tzutujil,,,Dayley 1985
30,88A,Mixed,Order of Demonstrative and Noun,Tzutujil,,,Dayley 1985
31,89A,Numeral-Noun,Order of Numeral and Noun,Tzutujil,,,Dayley 1985
